"path","original_main_exact","protected_reader_content_exact","images_exact"
"_build/nathealth/index.html",TRUE,TRUE,TRUE
"_build/nathealth/supplementary_information.html",TRUE,TRUE,TRUE
"_build/nathealth/notebooks/preparation/01_import_state_alignment.html",TRUE,TRUE,TRUE
"_build/nathealth/notebooks/preparation/02_coverage_sample_flow.html",TRUE,TRUE,TRUE
"_build/nathealth/notebooks/preparation/03_reference_profiles.html",TRUE,TRUE,TRUE
"_build/nathealth/notebooks/preparation/04_metric_derivation.html",TRUE,TRUE,TRUE
"_build/nathealth/notebooks/preparation/05_model_input_acquisition.html",TRUE,TRUE,TRUE
"_build/nathealth/notebooks/preparation/06_model_ready_datasets.html",TRUE,TRUE,TRUE
"_build/nathealth/notebooks/preparation/07_example_days.html",TRUE,TRUE,TRUE
"_build/nathealth/notebooks/placement_decision.html",TRUE,TRUE,TRUE
"_build/nathealth/notebooks/descriptives.html",TRUE,TRUE,TRUE
"_build/nathealth/notebooks/preregistration_deviations.html",TRUE,TRUE,TRUE
"_build/nathealth/notebooks/hypotheses/H01.html",TRUE,TRUE,TRUE
"_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html",TRUE,TRUE,TRUE
"_build/nathealth/notebooks/hypotheses/H02.html",TRUE,TRUE,TRUE
"_build/nathealth/audit/hypotheses/H02/H02_analysis_preparation.html",TRUE,TRUE,TRUE
"_build/nathealth/notebooks/hypotheses/H03.html",TRUE,TRUE,TRUE
"_build/nathealth/audit/hypotheses/H03/H03_analysis_preparation.html",TRUE,TRUE,TRUE
"_build/nathealth/notebooks/hypotheses/H04.html",TRUE,TRUE,TRUE
"_build/nathealth/audit/hypotheses/H04/H04_analysis_preparation.html",TRUE,TRUE,TRUE
"_build/nathealth/notebooks/hypotheses/H05.html",TRUE,TRUE,TRUE
"_build/nathealth/audit/hypotheses/H05/H05_analysis_preparation.html",TRUE,TRUE,TRUE
"_build/nathealth/notebooks/hypotheses/H06.html",TRUE,TRUE,TRUE
"_build/nathealth/audit/hypotheses/H06/H06_analysis_preparation.html",TRUE,TRUE,TRUE
"_build/nathealth/notebooks/hypotheses/H06_daily.html",TRUE,TRUE,TRUE
"_build/nathealth/audit/hypotheses/H06_daily/H06_daily_analysis_preparation.html",TRUE,TRUE,TRUE
"_build/nathealth/notebooks/hypotheses/H07.html",TRUE,TRUE,TRUE
"_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation.html",TRUE,TRUE,TRUE
"_build/nathealth/notebooks/hypotheses/H08.html",TRUE,TRUE,TRUE
"_build/nathealth/audit/hypotheses/H08/H08_analysis_preparation.html",TRUE,TRUE,TRUE
"_build/nathealth/notebooks/hypotheses/H09.html",TRUE,TRUE,TRUE
"_build/nathealth/audit/hypotheses/H09/H09_analysis_preparation.html",TRUE,TRUE,TRUE
"_build/nathealth/notebooks/hypotheses/H10.html",TRUE,TRUE,TRUE
"_build/nathealth/audit/hypotheses/H10/H10_analysis_preparation.html",TRUE,TRUE,TRUE
"_build/nathealth/notebooks/hypotheses/H11.html",TRUE,TRUE,TRUE
"_build/nathealth/audit/hypotheses/H11/H11_analysis_preparation.html",TRUE,TRUE,TRUE
