run_id,stage,lag_30_minute_bins,lag_minutes,correlation,eligible_pairs
main__glasses__all_available,preliminary_rho0_response,1,30,0.6227014676337104,36398
main__glasses__all_available,preliminary_rho0_response,2,60,0.3408816490100001,35084
main__glasses__all_available,preliminary_rho0_response,3,90,0.18898992457880698,33793
main__glasses__all_available,preliminary_rho0_response,4,120,0.10659325227838425,32528
main__glasses__all_available,preliminary_rho0_response,5,150,0.05948714992946193,31293
main__glasses__all_available,preliminary_rho0_response,6,180,0.023745874333057828,30084
main__glasses__all_available,preliminary_rho0_response,7,210,0.003717819678451271,28908
main__glasses__all_available,preliminary_rho0_response,8,240,-0.011717210529577592,27761
main__glasses__all_available,preliminary_rho0_response,9,270,-0.03211472308555635,26642
main__glasses__all_available,preliminary_rho0_response,10,300,-0.04882439861210863,25555
main__glasses__all_available,preliminary_rho0_response,11,330,-0.06779655604202439,24493
main__glasses__all_available,preliminary_rho0_response,12,360,-0.09079819411655568,23456
main__glasses__all_available,final_AR1_standardized,1,30,0.08253838126814109,36398
main__glasses__all_available,final_AR1_standardized,2,60,-0.01865915412275923,35084
main__glasses__all_available,final_AR1_standardized,3,90,-0.005055915604429519,33793
main__glasses__all_available,final_AR1_standardized,4,120,-0.0012240503147895074,32528
main__glasses__all_available,final_AR1_standardized,5,150,0.004750887185631356,31293
main__glasses__all_available,final_AR1_standardized,6,180,-0.01348005529011308,30084
main__glasses__all_available,final_AR1_standardized,7,210,-0.008204791812316089,28908
main__glasses__all_available,final_AR1_standardized,8,240,-2.7890053450163176e-4,27761
main__glasses__all_available,final_AR1_standardized,9,270,-0.007938038075442798,26642
main__glasses__all_available,final_AR1_standardized,10,300,0.001339536437103597,25555
main__glasses__all_available,final_AR1_standardized,11,330,0.00464228611046836,24493
main__glasses__all_available,final_AR1_standardized,12,360,-0.0010513773790013267,23456
main__chest__all_available,preliminary_rho0_response,1,30,0.6065255316441134,40335
main__chest__all_available,preliminary_rho0_response,2,60,0.33251923626180163,38871
main__chest__all_available,preliminary_rho0_response,3,90,0.1903447605108275,37442
main__chest__all_available,preliminary_rho0_response,4,120,0.10450599332063672,36035
main__chest__all_available,preliminary_rho0_response,5,150,0.060305639529903754,34653
main__chest__all_available,preliminary_rho0_response,6,180,0.031060515873546996,33298
main__chest__all_available,preliminary_rho0_response,7,210,0.006372000808278141,31975
main__chest__all_available,preliminary_rho0_response,8,240,-0.018086447611027713,30681
main__chest__all_available,preliminary_rho0_response,9,270,-0.042276372716671166,29418
main__chest__all_available,preliminary_rho0_response,10,300,-0.06405406277207878,28188
main__chest__all_available,preliminary_rho0_response,11,330,-0.0813135742696007,26986
main__chest__all_available,preliminary_rho0_response,12,360,-0.09992951521585912,25818
main__chest__all_available,final_AR1_standardized,1,30,0.06986847325475244,40335
main__chest__all_available,final_AR1_standardized,2,60,-0.00883261274597497,38871
main__chest__all_available,final_AR1_standardized,3,90,0.01692847239083354,37442
main__chest__all_available,final_AR1_standardized,4,120,-0.002234868249084852,36035
main__chest__all_available,final_AR1_standardized,5,150,0.0017522956280725114,34653
main__chest__all_available,final_AR1_standardized,6,180,-0.002798498474156836,33298
main__chest__all_available,final_AR1_standardized,7,210,-0.005471501897598438,31975
main__chest__all_available,final_AR1_standardized,8,240,-0.011343130958663902,30681
main__chest__all_available,final_AR1_standardized,9,270,-0.014956757672603176,29418
main__chest__all_available,final_AR1_standardized,10,300,-0.013339712801790238,28188
main__chest__all_available,final_AR1_standardized,11,330,-0.00678461222140945,26986
main__chest__all_available,final_AR1_standardized,12,360,-0.010356284686261034,25818
alternative_preprocessing__glasses__all_available,preliminary_rho0_response,1,30,0.6206682533484421,36424
alternative_preprocessing__glasses__all_available,preliminary_rho0_response,2,60,0.339037539868219,35255
alternative_preprocessing__glasses__all_available,preliminary_rho0_response,3,90,0.18646410140552586,34114
alternative_preprocessing__glasses__all_available,preliminary_rho0_response,4,120,0.10386037394557264,32978
alternative_preprocessing__glasses__all_available,preliminary_rho0_response,5,150,0.05498643446733888,31877
alternative_preprocessing__glasses__all_available,preliminary_rho0_response,6,180,0.021004518310671856,30777
alternative_preprocessing__glasses__all_available,preliminary_rho0_response,7,210,0.0017222685979425777,29716
alternative_preprocessing__glasses__all_available,preliminary_rho0_response,8,240,-0.01180978178241597,28658
alternative_preprocessing__glasses__all_available,preliminary_rho0_response,9,270,-0.031203398121243904,27629
alternative_preprocessing__glasses__all_available,preliminary_rho0_response,10,300,-0.04835490748948978,26603
alternative_preprocessing__glasses__all_available,preliminary_rho0_response,11,330,-0.06762775466513445,25611
alternative_preprocessing__glasses__all_available,preliminary_rho0_response,12,360,-0.0893964490265198,24622
alternative_preprocessing__glasses__all_available,final_AR1_standardized,1,30,0.08192172069986946,36424
alternative_preprocessing__glasses__all_available,final_AR1_standardized,2,60,-0.01637773725766002,35255
alternative_preprocessing__glasses__all_available,final_AR1_standardized,3,90,-0.004644212587929855,34114
alternative_preprocessing__glasses__all_available,final_AR1_standardized,4,120,-7.474175522786024e-4,32978
alternative_preprocessing__glasses__all_available,final_AR1_standardized,5,150,-4.5879548903854806e-4,31877
alternative_preprocessing__glasses__all_available,final_AR1_standardized,6,180,-0.013514261890172772,30777
alternative_preprocessing__glasses__all_available,final_AR1_standardized,7,210,-0.010290863291537776,29716
alternative_preprocessing__glasses__all_available,final_AR1_standardized,8,240,-8.009705781538043e-6,28658
alternative_preprocessing__glasses__all_available,final_AR1_standardized,9,270,-0.006662367062693554,27629
alternative_preprocessing__glasses__all_available,final_AR1_standardized,10,300,8.227580261480634e-5,26603
alternative_preprocessing__glasses__all_available,final_AR1_standardized,11,330,0.001138096373103659,25611
alternative_preprocessing__glasses__all_available,final_AR1_standardized,12,360,-0.0019245556571534264,24622
alternative_preprocessing__chest__all_available,preliminary_rho0_response,1,30,0.6008576376044172,40382
alternative_preprocessing__chest__all_available,preliminary_rho0_response,2,60,0.32522772907377157,39107
alternative_preprocessing__chest__all_available,preliminary_rho0_response,3,90,0.18288569953159758,37868
alternative_preprocessing__chest__all_available,preliminary_rho0_response,4,120,0.09930027258206713,36634
alternative_preprocessing__chest__all_available,preliminary_rho0_response,5,150,0.05359168312256948,35426
alternative_preprocessing__chest__all_available,preliminary_rho0_response,6,180,0.024387697123486755,34221
alternative_preprocessing__chest__all_available,preliminary_rho0_response,7,210,7.075949005171473e-4,33052
alternative_preprocessing__chest__all_available,preliminary_rho0_response,8,240,-0.02167678338980504,31886
alternative_preprocessing__chest__all_available,preliminary_rho0_response,9,270,-0.04421346798328228,30751
alternative_preprocessing__chest__all_available,preliminary_rho0_response,10,300,-0.0670372172503356,29620
alternative_preprocessing__chest__all_available,preliminary_rho0_response,11,330,-0.08437322475389882,28524
alternative_preprocessing__chest__all_available,preliminary_rho0_response,12,360,-0.10122267271648443,27430
alternative_preprocessing__chest__all_available,final_AR1_standardized,1,30,0.07056220210092531,40382
alternative_preprocessing__chest__all_available,final_AR1_standardized,2,60,-0.007110063844477581,39107
alternative_preprocessing__chest__all_available,final_AR1_standardized,3,90,0.01480761637678938,37868
alternative_preprocessing__chest__all_available,final_AR1_standardized,4,120,-4.6577830444998863e-4,36634
alternative_preprocessing__chest__all_available,final_AR1_standardized,5,150,-0.0016111412110250255,35426
alternative_preprocessing__chest__all_available,final_AR1_standardized,6,180,-0.004714955759655652,34221
alternative_preprocessing__chest__all_available,final_AR1_standardized,7,210,-0.008244468011177723,33052
alternative_preprocessing__chest__all_available,final_AR1_standardized,8,240,-0.01180460357220683,31886
alternative_preprocessing__chest__all_available,final_AR1_standardized,9,270,-0.013595457704756899,30751
alternative_preprocessing__chest__all_available,final_AR1_standardized,10,300,-0.01658617043158231,29620
alternative_preprocessing__chest__all_available,final_AR1_standardized,11,330,-0.011073952434171279,28524
alternative_preprocessing__chest__all_available,final_AR1_standardized,12,360,-0.011133508334317277,27430
