run_id,method,elapsed_seconds,.type,.term,.concurvity
main__glasses__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),133.70900000000006,worst,para,1
main__glasses__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),133.70900000000006,worst,s(time_hour),0.9999999741136425
main__glasses__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),133.70900000000006,worst,s(time_hour):sex_smoothFemale,0.9999999736283605
main__glasses__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),133.70900000000006,worst,"s(time_hour,site)",1.0000000000002789
main__glasses__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),133.70900000000006,worst,"s(time_hour,participant)",1.0000000000000049
main__glasses__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),133.70900000000006,worst,s(participant_day),1.0000000000000062
main__glasses__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),133.70900000000006,observed,para,1.0000000000000002
main__glasses__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),133.70900000000006,observed,s(time_hour),0.9996462644736537
main__glasses__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),133.70900000000006,observed,s(time_hour):sex_smoothFemale,0.9957126687628128
main__glasses__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),133.70900000000006,observed,"s(time_hour,site)",0.9920238139677396
main__glasses__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),133.70900000000006,observed,"s(time_hour,participant)",0.4111854273507226
main__glasses__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),133.70900000000006,observed,s(participant_day),0.031388435646841184
main__glasses__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),133.70900000000006,estimate,para,1
main__glasses__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),133.70900000000006,estimate,s(time_hour),0.9657570601620219
main__glasses__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),133.70900000000006,estimate,s(time_hour):sex_smoothFemale,0.9550552602801543
main__glasses__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),133.70900000000006,estimate,"s(time_hour,site)",0.9987834201454396
main__glasses__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),133.70900000000006,estimate,"s(time_hour,participant)",0.1685354420273983
main__glasses__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),133.70900000000006,estimate,s(participant_day),0.17760903616435963
main__chest__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),173,worst,para,0.9999999999999998
main__chest__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),173,worst,s(time_hour),0.9999999732914786
main__chest__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),173,worst,s(time_hour):sex_smoothFemale,0.9999999731374105
main__chest__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),173,worst,"s(time_hour,site)",1.0000000000003353
main__chest__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),173,worst,"s(time_hour,participant)",1.0000000000000062
main__chest__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),173,worst,s(participant_day),1.0000000000000058
main__chest__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),173,observed,para,0.9999999999999999
main__chest__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),173,observed,s(time_hour),0.999822325210467
main__chest__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),173,observed,s(time_hour):sex_smoothFemale,0.9999769440366784
main__chest__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),173,observed,"s(time_hour,site)",0.9894491963558415
main__chest__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),173,observed,"s(time_hour,participant)",0.4053925120576086
main__chest__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),173,observed,s(participant_day),0.04692109441744338
main__chest__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),173,estimate,para,1
main__chest__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),173,estimate,s(time_hour),0.9624223361582485
main__chest__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),173,estimate,s(time_hour):sex_smoothFemale,0.9556794938521757
main__chest__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),173,estimate,"s(time_hour,site)",0.9988073068825923
main__chest__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),173,estimate,"s(time_hour,participant)",0.15583425925917072
main__chest__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),173,estimate,s(participant_day),0.17474674493229395
alternative_preprocessing__glasses__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),135.87599999999998,worst,para,1.0000000000000004
alternative_preprocessing__glasses__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),135.87599999999998,worst,s(time_hour),0.9999999742616569
alternative_preprocessing__glasses__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),135.87599999999998,worst,s(time_hour):sex_smoothFemale,0.9999999737111245
alternative_preprocessing__glasses__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),135.87599999999998,worst,"s(time_hour,site)",1.0000000000002163
alternative_preprocessing__glasses__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),135.87599999999998,worst,"s(time_hour,participant)",1.0000000000000053
alternative_preprocessing__glasses__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),135.87599999999998,worst,s(participant_day),1.000000000000007
alternative_preprocessing__glasses__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),135.87599999999998,observed,para,1.0000000000000004
alternative_preprocessing__glasses__all_available,gratia::model_concurvity() wrapper around mgcv::concurvity(full = TRUE),135.87599999999998,observed,s(time_hour),0.9996441791717487
