run_id,biological_sex,observations,mean,sd,rmse,q01,q05,q25,median,q75,q95,q99,skewness,excess_kurtosis,correlation_absolute_residual_fitted,maximum_absolute_residual
main__glasses__all_available,Overall,37756,-0.0020997203405829865,0.7015988952671939,0.701592746000753,-1.9625654574703346,-1.1047214766784181,-0.2965002391039704,-0.009919936073608762,0.262759407228822,1.1529041808677039,2.1062168706613544,0.1843927835594902,5.107211803798103,0.20221562438906734,5.664221192341213
main__glasses__all_available,Female,21181,-0.0017438758328774844,0.7056036078367814,0.7055891061307613,-1.9696188118429572,-1.1055031263837,-0.29082842749516746,-0.006792756661836274,0.25506702851914065,1.1453490382844387,2.1383816614863345,0.24471127084017394,5.47541014517487,0.19718146491096347,5.664221192341213
main__glasses__all_available,Male,16575,-0.0025544499042457437,0.6964687940025001,0.6964524686931488,-1.9550012609919336,-1.1027379004162914,-0.30274595977508467,-0.014241234716489656,0.2742606281227631,1.1592187037952408,2.067637502606635,0.10414420883280898,4.606960801880671,0.20890411812355142,5.615454593330782
main__chest__all_available,Overall,41842,-0.003295373540550366,0.7746538521951554,0.7746516045498013,-2.1491690863980817,-1.219310113131221,-0.3323227084194516,-0.01546962129576766,0.29886173727832843,1.2926082974617517,2.3116551402446888,0.1481581142124304,4.3121715652771835,0.22429194222671361,5.438959724878272
main__chest__all_available,Female,23100,-0.002419359782125787,0.7749302363774192,0.7749172395503668,-2.144491767668331,-1.2229557274787175,-0.33672644629173665,-0.0036325267035344708,0.29744967878470685,1.2804326408637412,2.296474995953464,0.17869743312553824,4.279657728048501,0.24017001690527878,5.32768806100607
main__chest__all_available,Male,18742,-0.004375083167036719,0.7743323749772071,0.7743240771627519,-2.1550163779918434,-1.2146982276651626,-0.32657169387501395,-0.029153564020826223,0.30012074904394614,1.3075022984084408,2.32824830932519,0.11041269511567993,4.351225707376307,0.20533722756499997,5.438959724878272
alternative_preprocessing__glasses__all_available,Overall,37603,-6.721125100860238e-4,0.7047484775986292,0.7047394271268436,-1.9708556242957107,-1.1099639461354909,-0.2949219219493355,-0.00868919387978031,0.2689228356466131,1.155958287517195,2.1175777122261596,0.18772079611286055,5.143962590203312,0.20138327376450396,5.648078028723034
alternative_preprocessing__glasses__all_available,Female,21086,-7.77595813651893e-4,0.7092753736973262,0.7092589811238874,-1.9938533444452031,-1.1111339151285224,-0.28990167120378796,-0.004928946451056725,0.26101787022252443,1.1469387795207797,2.146828335584797,0.24018050642191127,5.483130657883642,0.19760854239145076,5.648078028723034
alternative_preprocessing__glasses__all_available,Male,16517,-5.374499842647497e-4,0.6989481389318177,0.6989271868044622,-1.9551970331579491,-1.1082305381004918,-0.3000869692863024,-0.012866445526832509,0.2773736208169332,1.163234284666608,2.0694126237977843,0.11770190719640036,4.679849936301756,0.2065858505028779,5.603923477407491
alternative_preprocessing__chest__all_available,Overall,41664,-9.5620417518168e-4,0.7780724203062322,0.7780636703490824,-2.160490886631014,-1.217373804182366,-0.3308884351763157,-0.014963996943544774,0.3022493220833283,1.3046945913510144,2.3190698795037394,0.15669649482505865,4.335821921881005,0.22395625299959784,5.421359686459153
alternative_preprocessing__chest__all_available,Female,22939,-8.487928466087223e-4,0.7788722409293442,0.778855726218151,-2.170592460041019,-1.2293434000257697,-0.3364601455639013,-0.00326680288614422,0.3011735217618218,1.2904699670647009,2.304314524238641,0.17856506487007726,4.298436564439901,0.24004347203750914,5.298945194511858
alternative_preprocessing__chest__all_available,Male,18725,-0.001087788071904509,0.7771122542090938,0.7770922646243164,-2.1512647887908463,-1.205917395982068,-0.32472002691697477,-0.029146092125286422,0.3035819752764369,1.3161451937222575,2.3421611359188375,0.1297084871625519,4.381133426617379,0.20488470148712962,5.421359686459153
