run_id,smooth,edf,Ref.df,F,p-value
main__glasses__all_available,s(time_hour),9.788714157124836,10,194.9919377052875,0
main__glasses__all_available,s(time_hour):sex_smoothFemale,7.54528968766199,10,3.2752418797932905,0
main__glasses__all_available,"s(time_hour,site)",66.5726459064852,73.53741431227924,6.166460996418957,0
main__glasses__all_available,"s(time_hour,participant)",706.2924981054157,1393,3.8540716687013035,0
main__glasses__all_available,s(participant_day),340.4060965797417,808,0.8156749429689503,0
main__chest__all_available,s(time_hour),9.838323357902636,10,468.08844175945205,0
main__chest__all_available,s(time_hour):sex_smoothFemale,0.0019248232228004257,10,1.2200714802520643e-4,0.18071318552429028
main__chest__all_available,"s(time_hour,site)",69.15066104329684,76.7090195671182,8.689335316207456,0
main__chest__all_available,"s(time_hour,participant)",639.0411271837739,1524,2.7611249332469767,0
main__chest__all_available,s(participant_day),431.6687292103109,894,1.0582152748299252,0
alternative_preprocessing__glasses__all_available,s(time_hour),9.794491348983323,10,200.22798118804374,0
alternative_preprocessing__glasses__all_available,s(time_hour):sex_smoothFemale,7.426835876160745,10,3.2390746510224924,0
alternative_preprocessing__glasses__all_available,"s(time_hour,site)",66.84003109217629,74.06408410580224,6.096312588804287,0
alternative_preprocessing__glasses__all_available,"s(time_hour,participant)",682.9216333683393,1392,3.724029376793719,0
alternative_preprocessing__glasses__all_available,s(participant_day),338.2678617179866,801,0.8182342223497868,0
alternative_preprocessing__chest__all_available,s(time_hour),9.835428191553206,10,489.2780698683033,0
alternative_preprocessing__chest__all_available,s(time_hour):sex_smoothFemale,0.003248653652000022,10,2.0410942366720321e-4,0.19912309350317725
alternative_preprocessing__chest__all_available,"s(time_hour,site)",68.3838666056708,76.13479717882392,8.698629703268855,0
alternative_preprocessing__chest__all_available,"s(time_hour,participant)",623.8272312064665,1524,2.7688051355878045,0
alternative_preprocessing__chest__all_available,s(participant_day),424.94768075114854,886,1.0480548840357744,0
