run_id,seed,subsample,randomizations,smooth,k',edf,k-index,p-value
main__glasses__all_available,20302671,5000,200,s(time_hour),10,9.788714157124836,0.9730954106151662,0.02
main__glasses__all_available,20302671,5000,200,s(time_hour):sex_smoothFemale,10,7.54528968766199,0.9730954106151662,0.025
main__glasses__all_available,20302671,5000,200,"s(time_hour,site)",96,66.5726459064852,,
main__glasses__all_available,20302671,5000,200,"s(time_hour,participant)",1410,706.2924981054157,0.9730954106151662,0.05
main__glasses__all_available,20302671,5000,200,s(participant_day),816,340.4060965797417,,
main__chest__all_available,20296897,5000,200,s(time_hour),10,9.838323357902636,1.001774115234046,0.54
main__chest__all_available,20296897,5000,200,s(time_hour):sex_smoothFemale,10,0.0019248232228004257,1.001774115234046,0.545
main__chest__all_available,20296897,5000,200,"s(time_hour,site)",84,69.15066104329684,,
main__chest__all_available,20296897,5000,200,"s(time_hour,participant)",1540,639.0411271837739,1.001774115234046,0.605
main__chest__all_available,20296897,5000,200,s(participant_day),902,431.6687292103109,,
alternative_preprocessing__glasses__all_available,20382412,5000,200,s(time_hour),10,9.794491348983323,1.00718242098256,0.68
alternative_preprocessing__glasses__all_available,20382412,5000,200,s(time_hour):sex_smoothFemale,10,7.426835876160745,1.00718242098256,0.74
alternative_preprocessing__glasses__all_available,20382412,5000,200,"s(time_hour,site)",96,66.84003109217629,,
alternative_preprocessing__glasses__all_available,20382412,5000,200,"s(time_hour,participant)",1410,682.9216333683393,1.00718242098256,0.665
alternative_preprocessing__glasses__all_available,20382412,5000,200,s(participant_day),809,338.2678617179866,,
alternative_preprocessing__chest__all_available,20372258,5000,200,s(time_hour),10,9.835428191553206,1.005576480350075,0.695
alternative_preprocessing__chest__all_available,20372258,5000,200,s(time_hour):sex_smoothFemale,10,0.003248653652000022,1.005576480350075,0.665
alternative_preprocessing__chest__all_available,20372258,5000,200,"s(time_hour,site)",84,68.3838666056708,,
alternative_preprocessing__chest__all_available,20372258,5000,200,"s(time_hour,participant)",1540,623.8272312064665,1.005576480350075,0.675
alternative_preprocessing__chest__all_available,20372258,5000,200,s(participant_day),894,424.94768075114854,,
