"source","required_module"
"_extensions/kapsner/authors-block//authors-block.lua","pandoc.List"
"_extensions/kapsner/authors-block//authors-block.lua","utils"
"_extensions/kapsner/authors-block//authors-block.lua","from_author_info_blocks"
"_extensions/kapsner/authors-block/utils.lua","pandoc.List"
"_extensions/kapsner/authors-block/utils.lua","pandoc.utils"
"_extensions/kapsner/authors-block/utils.lua","from_scholarly_metadata"
"_extensions/kapsner/authors-block/from_author_info_blocks.lua","utils"
"_extensions/kapsner/authors-block/from_author_info_blocks.lua","pandoc.List"
"_extensions/kapsner/authors-block/from_author_info_blocks.lua","pandoc.utils"
"_extensions/kapsner/authors-block/from_scholarly_metadata.lua","pandoc.List"
"_extensions/kapsner/authors-block/from_scholarly_metadata.lua","pandoc.utils"
