"check","status","detail"
"stopped_package_263","PASS","263 manifest rows rehashed against expected SHA-256 and bytes"
"original_release_216","PASS","216 manifest rows rehashed against expected SHA-256 and bytes"
"original_inputs_186","PASS","186 manifest rows rehashed against expected SHA-256 and bytes"
"original_dispatch_6","PASS","6 manifest rows rehashed against expected SHA-256 and bytes"
"direct_dependencies_21","PASS","21 manifest rows rehashed against expected SHA-256 and bytes"
"stopped_note_identity","PASS","Writer return note matches delivered identity"
"main_html_identity","PASS","Initial manuscript HTML, not a corrected or final preview"
"selection_html_identity","PASS","Initial selection HTML, not a corrected or final preview"
"stopped_not_promoted","PASS","No final acceptance or canonical promotion claimed"
"resource_copy_identities.csv","PASS","138 source-to-copy byte identities independently rehashed"
"lua_copy_identities.csv","PASS","3 source-to-copy byte identities independently rehashed"
"served_output_identities.csv","PASS","12 source-to-copy byte identities independently rehashed"
"candidate_qmd_3","PASS","All three candidate authoring sources match stopped-state pins"
"svg_map_22_sources_23_appearances","PASS","Frozen source/copy SVG identities and structural appearance mapping; historical S5 remains held"
"table3_protected","PASS","Approved Table 3 exact bytes, including Descriptives ordering"
"s2_failed_output_absent","PASS","No correction capture output is claimed"
"no_new_manuscript_docx","PASS","No Order72k manuscript DOCX exists; copied reference DOCX is not counted as an output"
"lease_release_recorded","PASS","Explicit Writer teardown record; no Harmonizer browser/native-app inspection performed"
