"check","pass"
"335_member_owner_seal_exact_noncircular",TRUE
"exact_three_live_postimages_and_preimages",TRUE
"2309_historical_rows_only_three_exact_preimage_aliases",TRUE
"exact_one_partial_source_no_capture_outputs",TRUE
"244_exact_cells_main_prior_and_partial",TRUE
"original_fragment_whitespace_only",TRUE
"17_image_payloads_exact_across_sources",TRUE
"17_metric_rows_6_groups_14_columns",TRUE
"17_exact_hidden_span_locations_and_image_associations",TRUE
"seven_flags_only_exact_first_part_hidden_spans",TRUE
"19_initial_capture_and_eight_attempt3_files_preserved",TRUE
"12_served_source_pairs_immutable",TRUE
"Table3_protected",TRUE
"honest_stop_budgets_and_lease003_release",TRUE
