"source_body_row","source_column","parent_tag","description_tag","description","style","image_payload_sha256","image_alt","image_aria_hidden"
2,14,"td","span","Time above 1,000 lx melEDI distribution by site. Exact numerical summaries are in the adjacent cells.","position:absolute;width:1px;height:1px;padding:0;margin:-1px;overflow:hidden;clip:rect(0,0,0,0);clip-path:inset(50%);white-space:nowrap;border:0","fe47619e411cd55ac5de9a59ac4a149866be86331e340872e5d14c3e8a33ea3d",NA,"true"
3,14,"td","span","Time above 250 lx melEDI during wake distribution by site. Exact numerical summaries are in the adjacent cells.","position:absolute;width:1px;height:1px;padding:0;margin:-1px;overflow:hidden;clip:rect(0,0,0,0);clip-path:inset(50%);white-space:nowrap;border:0","1036bb5970943489ba41944679ee69c016e3d058e6cbcd6e6e5e868a207a0653",NA,"true"
4,14,"td","span","Time below 10 lx melEDI before sleep distribution by site. Exact numerical summaries are in the adjacent cells.","position:absolute;width:1px;height:1px;padding:0;margin:-1px;overflow:hidden;clip:rect(0,0,0,0);clip-path:inset(50%);white-space:nowrap;border:0","a9466832fbe118c043032f2b9891ec3932b8db50060790401e3452e0c82bda7f",NA,"true"
5,14,"td","span","Time below 1 lx melEDI during sleep distribution by site. Exact numerical summaries are in the adjacent cells.","position:absolute;width:1px;height:1px;padding:0;margin:-1px;overflow:hidden;clip:rect(0,0,0,0);clip-path:inset(50%);white-space:nowrap;border:0","fd641c08bb3f4dc03ca796fe5f14e93768333caa2c6ee234d6c0e017ffb285f2",NA,"true"
6,14,"td","span","Longest period above 250 lx melEDI distribution by site. Exact numerical summaries are in the adjacent cells.","position:absolute;width:1px;height:1px;padding:0;margin:-1px;overflow:hidden;clip:rect(0,0,0,0);clip-path:inset(50%);white-space:nowrap;border:0","6eb4de282ffa499a5d56b2860c0ce407bf2288bf3182616dfde4cb30e0dce0a9",NA,"true"
8,14,"td","span","Interdaily stability distribution by site. Exact numerical summaries are in the adjacent cells.","position:absolute;width:1px;height:1px;padding:0;margin:-1px;overflow:hidden;clip:rect(0,0,0,0);clip-path:inset(50%);white-space:nowrap;border:0","d11653fb6c70ac47e6dee9ffcf994647f2629c206ea363eae0e7caae9f5e2460",NA,"true"
9,14,"td","span","Intradaily variability distribution by site. Exact numerical summaries are in the adjacent cells.","position:absolute;width:1px;height:1px;padding:0;margin:-1px;overflow:hidden;clip:rect(0,0,0,0);clip-path:inset(50%);white-space:nowrap;border:0","1995b69ca3a26391a2e3caa55de7c58b498e935af7229cbe38063c3f3b99d85e",NA,"true"
11,14,"td","span","melEDI dose distribution by site. Exact numerical summaries are in the adjacent cells.","position:absolute;width:1px;height:1px;padding:0;margin:-1px;overflow:hidden;clip:rect(0,0,0,0);clip-path:inset(50%);white-space:nowrap;border:0","069be4e2f3ecf89617e8eec3c2a97b2bec5dd94bf9db7f423a847023cf168e96",NA,"true"
13,14,"td","span","Mean melEDI distribution by site. Exact numerical summaries are in the adjacent cells.","position:absolute;width:1px;height:1px;padding:0;margin:-1px;overflow:hidden;clip:rect(0,0,0,0);clip-path:inset(50%);white-space:nowrap;border:0","f92fbd7538e69e8d131bb85c9eabc861370df3179887fe6292fd470803187071",NA,"true"
14,14,"td","span","Brightest 10 h mean distribution by site. Exact numerical summaries are in the adjacent cells.","position:absolute;width:1px;height:1px;padding:0;margin:-1px;overflow:hidden;clip:rect(0,0,0,0);clip-path:inset(50%);white-space:nowrap;border:0","ec4b8ab22e653dd66a1b5ac93b098f89583449cc3a788eae8b72cb2315b212d9",NA,"true"
