check,observed,expected,status
root element is svg,svg,svg,PASS
width is 648.00pt,648.00pt,648.00pt,PASS
height is 648.00pt,648.00pt,648.00pt,PASS
viewBox is 0 0 648.00 648.00,0 0 648.00 648.00,0 0 648.00 648.00,PASS
native vector elements present,386,> 0,PASS
text elements present,101,> 0,PASS
no raster image element,0,0,PASS
no script element,0,0,PASS
no foreignObject element,0,0,PASS
no metadata or description payload,0,0,PASS
no forbidden hidden-data or identifier token,,none,PASS
only standard SVG namespace URLs,http://www.w3.org/2000/svg; http://www.w3.org/1999/xlink,standard namespaces only,PASS
all url references are internal,url(#cpMC4wMHw2NDguMDB8MC4wMHw2NDguMDA=); url(#cpMTk3LjE2fDUzMS40OXw1MC43M3w1MjAuNTU=); url(#cpMC4wMHw2NDguMDB8MC4wMHw2NDguMDA=),internal fragments only,PASS
no external font declaration,absent,absent,PASS
serialized font families resolve locally,Arial,all locally resolved,PASS
