site,display_name,display_order,color_hex,effect,predictor_id,ratio,conf_low,conf_high,inferential_role
RISE,Borås (SE),1,#88CCEE,Free day versus work day,work_free_day,1.950161239352829,1.2640250296136155,3.008744898537882,Site-specific estimate and 95% CI; no site-specific p-value screen
RISE,Borås (SE),1,#88CCEE,Active versus sedentary,activity_status,3.0766538341482152,0.984683332795796,9.61303852712,Site-specific estimate and 95% CI; no site-specific p-value screen
RISE,Borås (SE),1,#88CCEE,Per additional hour of previous sleep,previous_sleep_duration_centered_h,1.204114869018232,0.7999187384150142,1.8125498855842028,Site-specific estimate and 95% CI; no site-specific p-value screen
THUAS,Delft (NL),2,#117733,Free day versus work day,work_free_day,2.117137521992942,1.08795634926811,4.119899929850793,Site-specific estimate and 95% CI; no site-specific p-value screen
THUAS,Delft (NL),2,#117733,Active versus sedentary,activity_status,2.263431052654143,0.6478938489963909,7.907344911600759,Site-specific estimate and 95% CI; no site-specific p-value screen
THUAS,Delft (NL),2,#117733,Per additional hour of previous sleep,previous_sleep_duration_centered_h,0.9719837988448754,0.6201468461066307,1.5234335402142325,Site-specific estimate and 95% CI; no site-specific p-value screen
BAUA,Dortmund (DE),3,#DDCC77,Free day versus work day,work_free_day,2.4437918153335674,1.4163051763639785,4.216688985083923,Site-specific estimate and 95% CI; no site-specific p-value screen
BAUA,Dortmund (DE),3,#DDCC77,Active versus sedentary,activity_status,2.1724586556048333,1.0540658782447327,4.477496812790832,Site-specific estimate and 95% CI; no site-specific p-value screen
BAUA,Dortmund (DE),3,#DDCC77,Per additional hour of previous sleep,previous_sleep_duration_centered_h,0.921624656260421,0.529361950862454,1.6045581017738084,Site-specific estimate and 95% CI; no site-specific p-value screen
MPI,Tübingen (DE),4,#DDCC77,Free day versus work day,work_free_day,1.0241702008280742,0.6264966701142197,1.674270032549388,Site-specific estimate and 95% CI; no site-specific p-value screen
MPI,Tübingen (DE),4,#DDCC77,Active versus sedentary,activity_status,2.858142317149305,1.4938047360062965,5.4685711647423565,Site-specific estimate and 95% CI; no site-specific p-value screen
MPI,Tübingen (DE),4,#DDCC77,Per additional hour of previous sleep,previous_sleep_duration_centered_h,0.9916324309177084,0.8226156529343001,1.1953758411235822,Site-specific estimate and 95% CI; no site-specific p-value screen
TUM,Munich (DE),5,#DDCC77,Free day versus work day,work_free_day,1.112802965269975,0.6308698176895677,1.9628937774338,Site-specific estimate and 95% CI; no site-specific p-value screen
TUM,Munich (DE),5,#DDCC77,Active versus sedentary,activity_status,1.729687669703004,0.7917696272187812,3.77864890477279,Site-specific estimate and 95% CI; no site-specific p-value screen
TUM,Munich (DE),5,#DDCC77,Per additional hour of previous sleep,previous_sleep_duration_centered_h,0.9884591810098268,0.7743676877827387,1.2617411185120946,Site-specific estimate and 95% CI; no site-specific p-value screen
FUSPCEU,Madrid (ES),6,#CC6677,Free day versus work day,work_free_day,0.8639392820783751,0.3048794565300897,2.4481514484870974,Site-specific estimate and 95% CI; no site-specific p-value screen
FUSPCEU,Madrid (ES),6,#CC6677,Active versus sedentary,activity_status,1.1826399345093352,0.7261526397098776,1.926092584687218,Site-specific estimate and 95% CI; no site-specific p-value screen
FUSPCEU,Madrid (ES),6,#CC6677,Per additional hour of previous sleep,previous_sleep_duration_centered_h,0.9013938812276472,0.773843164210266,1.0499684777132297,Site-specific estimate and 95% CI; no site-specific p-value screen
IZTECH,Izmir (TR),7,#332288,Free day versus work day,work_free_day,0.8290996634943207,0.5508410979175137,1.247921142059252,Site-specific estimate and 95% CI; no site-specific p-value screen
IZTECH,Izmir (TR),7,#332288,Active versus sedentary,activity_status,1.1933075411119742,0.6512476793149611,2.186545814908047,Site-specific estimate and 95% CI; no site-specific p-value screen
IZTECH,Izmir (TR),7,#332288,Per additional hour of previous sleep,previous_sleep_duration_centered_h,0.8969340480451962,0.8115988332335627,0.9912417977949768,Site-specific estimate and 95% CI; no site-specific p-value screen
UCR,San José (CR),8,#44AA99,Free day versus work day,work_free_day,0.8341970464703221,0.427855674492212,1.6264473134911657,Site-specific estimate and 95% CI; no site-specific p-value screen
UCR,San José (CR),8,#44AA99,Active versus sedentary,activity_status,1.4595197336976593,0.5960804356758309,3.573675171267257,Site-specific estimate and 95% CI; no site-specific p-value screen
UCR,San José (CR),8,#44AA99,Per additional hour of previous sleep,previous_sleep_duration_centered_h,1.0058121344452504,0.8284382118707665,1.2211629489093698,Site-specific estimate and 95% CI; no site-specific p-value screen
KNUST,Kumasi (GH),9,#AA4499,Free day versus work day,work_free_day,0.5321823273682171,0.22411782029765465,1.263701517295258,Site-specific estimate and 95% CI; no site-specific p-value screen
KNUST,Kumasi (GH),9,#AA4499,Active versus sedentary,activity_status,2.4357548893136727,0.6206703345731882,9.55886168604352,Site-specific estimate and 95% CI; no site-specific p-value screen
KNUST,Kumasi (GH),9,#AA4499,Per additional hour of previous sleep,previous_sleep_duration_centered_h,0.9131975793936932,0.7319921769788457,1.1392605621174563,Site-specific estimate and 95% CI; no site-specific p-value screen
