"manuscript_display","action","current_src","proposed_src","svg_path","sha256"
"Main Figure 1","SVG_reference_and_numbering","../../artifacts/10_figures/descriptives/descriptive_overview.png","../../artifacts/10_figures/descriptives/descriptive_overview.svg","artifacts/10_figures/descriptives/descriptive_overview.svg","4304aa487b3c7f6b27b533952315fc9b790d4d00334aeb519a97d28c50d98936"
"Main Figure 2","SVG_reference_and_numbering","../../artifacts/10_figures/H02/figure4_exact_layout_replication.png","../hypotheses/H02/report018_order72_svg_export/candidate/figure4_exact_layout_replication.svg","audit/hypotheses/H02/report018_order72_svg_export/candidate/figure4_exact_layout_replication.svg","2f9493540f12c9c660d213ee619bc726f1e3a0e34ce52c0e59bdf6bd8102a5cd"
"Main Figure 3","SVG_reference_and_numbering","figure_table_selection_assets/H04_manuscript_figure3_selection_candidate.png","figure_table_selection_assets/H04_manuscript_figure3_selection_candidate.svg","audit/manuscript_nature_health/figure_table_selection_assets/H04_manuscript_figure3_selection_candidate.svg","012453debcd7994ab8b8437bd1b829a4935b26d97803963c6621ee2093bd72dd"
"Supplementary Figure S1","SVG_reference_and_numbering","../../artifacts/10_figures/descriptives/near_eye_metric_distributions.png","../../artifacts/10_figures/descriptives/near_eye_metric_distributions.svg","artifacts/10_figures/descriptives/near_eye_metric_distributions.svg","63c21b0d084b76e63e50d24f097ab3a881c7056ca4d73c7def5f7a064d1daf05"
"Supplementary Figure S2","SVG_reference_and_numbering","../../artifacts/10_figures/descriptives/time_series_to_metrics.png","../../artifacts/10_figures/descriptives/time_series_to_metrics.svg","artifacts/10_figures/descriptives/time_series_to_metrics.svg","61de5a9df7dda373d27935a9905bde99c2857c52787dafaedbb11a240efa7bbe"
"Supplementary Figure S3","SVG_reference_and_numbering","../../artifacts/10_figures/descriptives/latitude_photoperiod_diagnostic.png","../../artifacts/10_figures/descriptives/latitude_photoperiod_diagnostic.svg","artifacts/10_figures/descriptives/latitude_photoperiod_diagnostic.svg","58b7263ac915e910c268d840f00cb1a036fcc7036ed7b1ef0a201bb4202117fa"
"Supplementary Figure S4","retain","figure_table_selection_assets/brown_adherence_levels.svg","figure_table_selection_assets/brown_adherence_levels.svg","audit/manuscript_nature_health/figure_table_selection_assets/brown_adherence_levels.svg","65c262ff90dbf458549a417d722e625fba5d30ed892edabd34e81c37b55c1433"
"Supplementary Figure S5","SVG_reference_and_numbering","figure_table_selection_assets/brown_supplementary_figure_s5.png","figure_table_selection_assets/brown_supplementary_figure_s5.svg","audit/manuscript_nature_health/figure_table_selection_assets/brown_supplementary_figure_s5.svg","61e8d4671939659ecf5eca6c6688c03414bb849d15b9d3f59f39c96ca7069cfd"
"Supplementary Figure S6","insert_approved_selection",NA,"../../manuscript/R0_NatHealth/display_assets/brown_participant_state_raincloud.svg","manuscript/R0_NatHealth/display_assets/brown_participant_state_raincloud.svg","200e85cb494e28865cafe677c860ec8a6e4eb426c86c78b37819a4bd19e08653"
"Supplementary Figure S7","retain","figure_table_selection_assets/supplementary_figure_s6.svg","figure_table_selection_assets/supplementary_figure_s6.svg","audit/manuscript_nature_health/figure_table_selection_assets/supplementary_figure_s6.svg","2dde6fd681f21feecf2acb6d693679bc56f68f809691172bb755e7aac47fa032"
"Supplementary Figure S8","SVG_reference_and_numbering","../../artifacts/10_figures/H03/H03_manuscript_supplementary_figure_S7.png","../../artifacts/10_figures/H03/H03_manuscript_supplementary_figure_S7.svg","artifacts/10_figures/H03/H03_manuscript_supplementary_figure_S7.svg","a510c6bc356bba1ed748d4f0f4a308669b218af36af0b06e0fc18f82014674b3"
"Supplementary Figure S9","SVG_reference_and_numbering","../../artifacts/10_figures/H06/H06_paired_placement_effects.png","../hypotheses/H06/report018_order72_svg_export/candidate/H06_paired_placement_effects.svg","audit/hypotheses/H06/report018_order72_svg_export/candidate/H06_paired_placement_effects.svg","e9d44034ace69fc82f67079fdabb266827cc06e053f948bd47e90d6ce1a47e14"
"Supplementary Figure S10","SVG_reference_and_numbering","../../artifacts/10_figures/H06/H06_reader_temporal_day_type.png","../../artifacts/10_figures/H06/H06_reader_temporal_day_type.svg","artifacts/10_figures/H06/H06_reader_temporal_day_type.svg","3005cbcd8c8b7a40339542fbe776853567d0ff56ae4d98fa6d2ebee6118110d3"
"Supplementary Figure S11","SVG_reference_and_numbering","../../artifacts/10_figures/H06/H06_reader_temporal_activity.png","../../artifacts/10_figures/H06/H06_reader_temporal_activity.svg","artifacts/10_figures/H06/H06_reader_temporal_activity.svg","07b54b298f8c159432f08fc81b0ca2025915c1eb2128d6b02783f14987c58fb0"
"Supplementary Figure S12","insert_approved_selection",NA,"../hypotheses/H06/report018_order72_svg_export/candidate/H06_stage3_site_specific_significance_screen.svg","audit/hypotheses/H06/report018_order72_svg_export/candidate/H06_stage3_site_specific_significance_screen.svg","2b955196ce35eae1c973201a00523e538a6535ac59c8abe240160611a74c8b83"
"Supplementary Figure S13","SVG_reference_and_numbering","../../artifacts/10_figures/H05/H05_reader_near_eye_effects.png","../hypotheses/H05/report018_order72_svg_export/vector_legend_repair/candidate/H05_reader_near_eye_effects.svg","audit/hypotheses/H05/report018_order72_svg_export/vector_legend_repair/candidate/H05_reader_near_eye_effects.svg","e9d7d60100403aea3ac25282f9be33f981b182a09e74479cd160bdc296ae63b3"
