"row","column","before","after"
3,"work_sleep","**+5.7 pp**<br><span class='ci'>(+3.8 pp to +7.7 pp)</span><br>**p = <0.001**<br>**96.2%**<br><span class='ci'>(94.4% to 97.9%)</span>","**+5.7 pp**<br><span class='ci'>(+3.8 pp to +7.7 pp)</span><br>**p <0.001**<br>**96.2%**<br><span class='ci'>(94.4% to 97.9%)</span>"
7,"work_sleep","**-13.8 pp**<br><span class='ci'>(-20.7 pp to -7.0 pp)</span><br>**p = <0.001**<br>**76.6%**<br><span class='ci'>(69.0% to 84.2%)</span>","**-13.8 pp**<br><span class='ci'>(-20.7 pp to -7.0 pp)</span><br>**p <0.001**<br>**76.6%**<br><span class='ci'>(69.0% to 84.2%)</span>"
8,"work_sleep","**+7.1 pp**<br><span class='ci'>(+5.6 pp to +8.7 pp)</span><br>**p = <0.001**<br>**97.6%**<br><span class='ci'>(96.5% to 98.6%)</span>","**+7.1 pp**<br><span class='ci'>(+5.6 pp to +8.7 pp)</span><br>**p <0.001**<br>**97.6%**<br><span class='ci'>(96.5% to 98.6%)</span>"
11,"work_sleep","**+7.6 pp**<br><span class='ci'>(+6.0 pp to +9.1 pp)</span><br>**p = <0.001**<br>**98.0%**<br><span class='ci'>(96.8% to 99.1%)</span>","**+7.6 pp**<br><span class='ci'>(+6.0 pp to +9.1 pp)</span><br>**p <0.001**<br>**98.0%**<br><span class='ci'>(96.8% to 99.1%)</span>"
1,"free_daytime","**-5.1 pp**<br><span class='ci'>(-7.8 pp to -2.4 pp)</span><br>**p = <0.001**<br>**21.5%**<br><span class='ci'>(19.2% to 23.8%)</span>","**-5.1 pp**<br><span class='ci'>(-7.8 pp to -2.4 pp)</span><br>**p <0.001**<br>**21.5%**<br><span class='ci'>(19.2% to 23.8%)</span>"
5,"free_daytime","**+17.0 pp**<br><span class='ci'>(+9.8 pp to +24.2 pp)</span><br>**p = <0.001**<br>**38.5%**<br><span class='ci'>(30.7% to 46.3%)</span>","**+17.0 pp**<br><span class='ci'>(+9.8 pp to +24.2 pp)</span><br>**p <0.001**<br>**38.5%**<br><span class='ci'>(30.7% to 46.3%)</span>"
11,"free_daytime","**-11.8 pp**<br><span class='ci'>(-15.8 pp to -7.8 pp)</span><br>**p = <0.001**<br>**9.7%**<br><span class='ci'>(6.0% to 13.4%)</span>","**-11.8 pp**<br><span class='ci'>(-15.8 pp to -7.8 pp)</span><br>**p <0.001**<br>**9.7%**<br><span class='ci'>(6.0% to 13.4%)</span>"
11,"free_pre","**+15.5 pp**<br><span class='ci'>(+9.0 pp to +22.0 pp)</span><br>**p = <0.001**<br>**83.4%**<br><span class='ci'>(77.2% to 89.6%)</span>","**+15.5 pp**<br><span class='ci'>(+9.0 pp to +22.0 pp)</span><br>**p <0.001**<br>**83.4%**<br><span class='ci'>(77.2% to 89.6%)</span>"
1,"free_sleep","**-6.5 pp**<br><span class='ci'>(-9.1 pp to -3.8 pp)</span><br>**p = <0.001**<br>**83.9%**<br><span class='ci'>(81.4% to 86.5%)</span>","**-6.5 pp**<br><span class='ci'>(-9.1 pp to -3.8 pp)</span><br>**p <0.001**<br>**83.9%**<br><span class='ci'>(81.4% to 86.5%)</span>"
7,"free_sleep","**-17.2 pp**<br><span class='ci'>(-26.1 pp to -8.3 pp)</span><br>**p = <0.001**<br>**66.7%**<br><span class='ci'>(57.0% to 76.5%)</span>","**-17.2 pp**<br><span class='ci'>(-26.1 pp to -8.3 pp)</span><br>**p <0.001**<br>**66.7%**<br><span class='ci'>(57.0% to 76.5%)</span>"
8,"free_sleep","**+10.5 pp**<br><span class='ci'>(+7.3 pp to +13.8 pp)</span><br>**p = <0.001**<br>**94.5%**<br><span class='ci'>(91.9% to 97.0%)</span>","**+10.5 pp**<br><span class='ci'>(+7.3 pp to +13.8 pp)</span><br>**p <0.001**<br>**94.5%**<br><span class='ci'>(91.9% to 97.0%)</span>"
11,"free_sleep","**+13.9 pp**<br><span class='ci'>(+11.3 pp to +16.4 pp)</span><br>**p = <0.001**<br>**97.8%**<br><span class='ci'>(96.5% to 99.1%)</span>","**+13.9 pp**<br><span class='ci'>(+11.3 pp to +16.4 pp)</span><br>**p <0.001**<br>**97.8%**<br><span class='ci'>(96.5% to 99.1%)</span>"
