"check","passed"
"frozen_current_QMD_internal_HTML_leaf",TRUE
"one_formatter_relation_prefix",TRUE
"formatter_exact_reverse",TRUE
"display_CSV_exact_reverse",TRUE
"only_relation_prefix_cells",TRUE
"complete_table_set_exact",TRUE
"all_other_tables_exact",TRUE
"all_source_bindings_notes_exact",TRUE
"old_and_new_compact_formatter_exact",TRUE
"one_raincloud_image_reference",TRUE
"QMD_extension_only_reverse",TRUE
"already_frozen_correct_SVG",TRUE
"SVG_correct_labels",TRUE
"SVG_no_external_or_script_content",TRUE
"one_affected_internal_compact_table",TRUE
"HTML_literal_changes_only_in_compact_cells",TRUE
"internal_HTML_exact_relation_reverse",TRUE
"internal_IDs_headers_unchanged",TRUE
"two_direct_leaf_rows_only",TRUE
"one_leaf_row_1",TRUE
"one_leaf_row_2",TRUE
"leaf_other_209_rows_exact",TRUE
"all_author_inputs_unchanged",TRUE
