family_id,data_scenario,placement,comparison_id,planned_n,adjustment_method,registered_rows,observed_raw_p,observed_adjusted_p,raw_significant_n,adjusted_significant_n,complete_17_member_family,independent_recalculation_matches
gap_timing_unaware__H10-C1-age-main,gap_timing_unaware,chest,AGE-MAIN,17,BH,17,17,17,8,7,TRUE,TRUE
gap_timing_unaware__H10-C2-sex-main,gap_timing_unaware,chest,SEX-MAIN,17,BH,17,17,17,4,2,TRUE,TRUE
gap_timing_unaware__H10-C3-age-site-interaction,gap_timing_unaware,chest,AGE-SITE,17,BH,17,17,17,10,8,TRUE,TRUE
gap_timing_unaware__H10-C4-sex-site-interaction,gap_timing_unaware,chest,SEX-SITE,17,BH,17,17,17,0,0,TRUE,TRUE
gap_timing_unaware__H10-F1-age-main,gap_timing_unaware,glasses,AGE-MAIN,17,BH,17,17,17,6,3,TRUE,TRUE
gap_timing_unaware__H10-F2-sex-main,gap_timing_unaware,glasses,SEX-MAIN,17,BH,17,17,17,4,0,TRUE,TRUE
gap_timing_unaware__H10-F3-age-site-interaction,gap_timing_unaware,glasses,AGE-SITE,17,BH,17,17,17,5,0,TRUE,TRUE
gap_timing_unaware__H10-F4-sex-site-interaction,gap_timing_unaware,glasses,SEX-SITE,17,BH,17,17,17,0,0,TRUE,TRUE
primary__H10-C1-age-main,primary,chest,AGE-MAIN,17,BH,17,17,17,8,6,TRUE,TRUE
primary__H10-C2-sex-main,primary,chest,SEX-MAIN,17,BH,17,17,17,3,2,TRUE,TRUE
primary__H10-C3-age-site-interaction,primary,chest,AGE-SITE,17,BH,17,17,17,7,2,TRUE,TRUE
primary__H10-C4-sex-site-interaction,primary,chest,SEX-SITE,17,BH,17,17,17,1,0,TRUE,TRUE
primary__H10-F1-age-main,primary,glasses,AGE-MAIN,17,BH,17,17,17,5,3,TRUE,TRUE
primary__H10-F2-sex-main,primary,glasses,SEX-MAIN,17,BH,17,17,17,3,0,TRUE,TRUE
primary__H10-F3-age-site-interaction,primary,glasses,AGE-SITE,17,BH,17,17,17,1,0,TRUE,TRUE
primary__H10-F4-sex-site-interaction,primary,glasses,SEX-SITE,17,BH,17,17,17,0,0,TRUE,TRUE
