"endpoint","type","source_order"
"tbl-h11-prep-frame-integrity","table",1
"tbl-h11-prep-frame-content","table",2
"tbl-h11-prep-ar-boundaries-primary","table",3
"tbl-h11-prep-ar-boundaries-sensitivity","table",4
"tbl-h11-prep-samples","table",5
"tbl-h11-prep-site-summary","table",6
"tbl-h11-prep-melEDI-distribution","table",7
"tbl-h11-prep-global-tests","table",8
"tbl-h11-prep-decomposition","table",9
"tbl-h11-prep-effect-sizes","table",10
"tbl-h11-prep-parametric-level","table",11
"tbl-h11-prep-diagnostic-assessment","table",12
"tbl-h11-prep-robust-influence","table",13
"tbl-h11-prep-activity-attrition","table",14
"tbl-h11-prep-activity-global","table",15
"tbl-h11-prep-activity-attenuation","table",16
"tbl-h11-prep-activity-diagnostics","table",17
"tbl-h11-prep-placement-assessment","table",18
"tbl-h11-prep-deferred-analyses","table",19
"tbl-h11-prep-input-identities","table",20
"tbl-h11-prep-formula-registry","table",21
"tbl-h11-prep-fit-settings","table",22
"tbl-h11-prep-code-map","table",23
"tbl-h11-prep-output-map","table",24
"tbl-h11-prep-figure-qa","table",25
"tbl-h11-prep-environment","table",26
"fig-h11-prep-site-sex-support","figure",27
"fig-h11-prep-melEDI-distribution","figure",28
"fig-h11-prep-activity-attrition","figure",29
"mermaid:h11-preparation-flow","mermaid",30
