artifact_id,baseline_path,baseline_file_sha256,updated_file_sha256,invariant_scope,allowed_derived_fields,baseline_non_mder_digest,updated_non_mder_digest,invariant_verified,non_mder_rows,verification_basis,decision_id,r_version,scientific_recomputation
frames,artifacts/06_model_data/H05/H05_model_frame_index.csv,8e348daebd500ccaf214eb0588c0899c27dd379263c7b6ee228ffeefb1e9bfc0,1b6f7913734895b8fb5343ed387ec85c49da985d93623941655eb6252dca43d4,all non-MDER fields except declared complete-family BH derivatives,,e8773585daac12ada35500b17b75e3d1057896203e36edf03ef9bdff131fadc5,e8773585daac12ada35500b17b75e3d1057896203e36edf03ef9bdff131fadc5,TRUE,512,pre-install and post-merge serialized digests were asserted identical by refresh_h05_mder_metric010.R before atomic installation; this row records the installed digest,METRIC-010,4.6.1,FALSE
effects,artifacts/09_tables/H05/H05_model_effects.csv,73019626a516625929dca86fc4f1f679fd7c14ace39652d347b3ba46101a4676,e7a8be7fb95c173996096f790d22680ed25dd6af348cc213c1fb86c19102ea9b,all non-MDER fields except declared complete-family BH derivatives,,e1d376253bbb5c8d6c00cdf83fd9f59e24e55fd42b58eb2bbd50dfa9a646c5da,e1d376253bbb5c8d6c00cdf83fd9f59e24e55fd42b58eb2bbd50dfa9a646c5da,TRUE,512,pre-install and post-merge serialized digests were asserted identical by refresh_h05_mder_metric010.R before atomic installation; this row records the installed digest,METRIC-010,4.6.1,FALSE
tests,artifacts/09_tables/H05/H05_model_tests.csv,3244371ee19344a05ee8f78ca3449e11d5f1808d3e9f12fc0fe5f1f079b2aa37,84c2d8678dd20eebb55063239b98e8177eefe0129813f8611cddb80f53967f34,all non-MDER fields except declared complete-family BH derivatives,p_adjusted;family_rank,899ab8961f6ddde405d1e8b7c18ee3d2e620eb625bd4655ee912b94085f7d24d,899ab8961f6ddde405d1e8b7c18ee3d2e620eb625bd4655ee912b94085f7d24d,TRUE,512,pre-install and post-merge serialized digests were asserted identical by refresh_h05_mder_metric010.R before atomic installation; this row records the installed digest,METRIC-010,4.6.1,FALSE
master,artifacts/09_tables/H05/H05_model_results_master.csv,bf4e96e5a0827e393779d64bc012bf6731e524b15ef47466e780804a119f57e6,2901d35df7691919259aeb0541d9d3fd974cf53333b4046b33c003f350e7b0b4,all non-MDER fields except declared complete-family BH derivatives,p_adjusted;family_rank,f885d471bb1948ade4d255793380c263fb344c4e188809d348678643e211632f,f885d471bb1948ade4d255793380c263fb344c4e188809d348678643e211632f,TRUE,512,pre-install and post-merge serialized digests were asserted identical by refresh_h05_mder_metric010.R before atomic installation; this row records the installed digest,METRIC-010,4.6.1,FALSE
diagnostics,artifacts/08_diagnostics/H05/H05_model_diagnostics.csv,466afec1872dc6ea344921868ff26eedbcbe151b64c3b7c9111b3e7f5a1f7a64,c17a5ae4f26e27a8b7d4e21343a8673b4390dac078f291bfd7a16fd822acec89,all non-MDER fields except declared complete-family BH derivatives,,f0f03c640e5ba120acd5ac9274b905afc012d002b0437a1df90c4bf3dbcb7c0d,f0f03c640e5ba120acd5ac9274b905afc012d002b0437a1df90c4bf3dbcb7c0d,TRUE,512,pre-install and post-merge serialized digests were asserted identical by refresh_h05_mder_metric010.R before atomic installation; this row records the installed digest,METRIC-010,4.6.1,FALSE
model_manifest,artifacts/07_models/H05/H05_model_manifest.csv,ac4fb7bc4a99b6bd129b8b61bd33f5fe1feec8874a09047d26a1d2107dcfb5e4,8d716f90d15b284c7d9c961e083629877ee91ff21195c71712d7c145e0ff4b24,all non-MDER fields except declared complete-family BH derivatives,,897db68f535c264ccea561bba35a62e8120838d287145684b59c2a7eb38d3269,897db68f535c264ccea561bba35a62e8120838d287145684b59c2a7eb38d3269,TRUE,1536,pre-install and post-merge serialized digests were asserted identical by refresh_h05_mder_metric010.R before atomic installation; this row records the installed digest,METRIC-010,4.6.1,FALSE
influence,artifacts/08_diagnostics/H05/H05_participant_influence_screen.csv,8eb4878aa3cc7895df3b8c365bf0dcdf8bfefd119cbfd4c2af8beb49eeef9227,38af2998085a11228f53ecfff709e015cb867ded91c0ec525703156faec89efa,all non-MDER fields except declared complete-family BH derivatives,,ce29a20238666691cc9ec6f206773df0c4db73ac19ecf3c60aac73e439c55247,ce29a20238666691cc9ec6f206773df0c4db73ac19ecf3c60aac73e439c55247,TRUE,1536,pre-install and post-merge serialized digests were asserted identical by refresh_h05_mder_metric010.R before atomic installation; this row records the installed digest,METRIC-010,4.6.1,FALSE
random_site,artifacts/09_tables/H05/H05_random_site_sensitivity.csv,77b75a45b9ec39b21634b09868c3f94f89efcc546587c9f0e437f3da9a2b2353,99f2da27a8faf8994e0341606522e2eee2365d9929f3b6a88de7769635d737c6,all non-MDER fields except declared complete-family BH derivatives,,f1022643e99dcb2d693c8dd7215ee6ed73a3ebf328852f32b9f2db6f05b492a0,f1022643e99dcb2d693c8dd7215ee6ed73a3ebf328852f32b9f2db6f05b492a0,TRUE,128,pre-install and post-merge serialized digests were asserted identical by refresh_h05_mder_metric010.R before atomic installation; this row records the installed digest,METRIC-010,4.6.1,FALSE
loo,artifacts/09_tables/H05/H05_leave_one_site_out_refits.csv,b766c504e641e014b568874f7b84a4e316da13a18f883f77d29e729ccf876ade,9db54b9522c898a3de7cdcf2a29475957f5f9652fc86172805461c69df9d0e91,all non-MDER fields except declared complete-family BH derivatives,,6d4a78d782654ee239a45d3b0326bf951292d56d16bc0a80b149df728a295e2b,6d4a78d782654ee239a45d3b0326bf951292d56d16bc0a80b149df728a295e2b,TRUE,576,pre-install and post-merge serialized digests were asserted identical by refresh_h05_mder_metric010.R before atomic installation; this row records the installed digest,METRIC-010,4.6.1,FALSE
loo_summary,artifacts/09_tables/H05/H05_leave_one_site_out_summary.csv,32e020281202ac563e8085a69b4aa648d51127d6a3e7f40a05603a6cc2eb9fd2,2a4c74b1a44b709d65ac5878d90ad36927d55ff35878a49c408c7d2fb8097728,all non-MDER fields except declared complete-family BH derivatives,,a62d2bbe674f87bfdf7ba1ec4b0f643c1a9ddc868a5dc41de8baa8b70f916c27,a62d2bbe674f87bfdf7ba1ec4b0f643c1a9ddc868a5dc41de8baa8b70f916c27,TRUE,64,pre-install and post-merge serialized digests were asserted identical by refresh_h05_mder_metric010.R before atomic installation; this row records the installed digest,METRIC-010,4.6.1,FALSE
