run_id,data_scenario_id,placement,sample_scenario,analytical_role,family_id,inferential_family,family_n,metric_order,metric_id,manuscript_name,analysis_unit,response_family,response_transform,effect_scale,factor_order,factor_id,factor_label,site,spearman_rho,conf_low,conf_high,interval_method,pairs,sites,metric_tied_participants,leba_tied_participants,represented_days,p_value_reported
main__chest__all_available,main,chest,all_available,complementary_chest_all_available,H05-F2-complementary-chest,TRUE,68,1,interdaily_stability,Interdaily stability,participant,gaussian,logit,odds_ratio,1,leba_f2,Spending time outdoors,BAUA,0.36067524254313754,-0.11185901666546436,0.7001796647233743,asymptotic_fisher_z_for_spearman,19,1,0,8,112,FALSE
main__chest__all_available,main,chest,all_available,complementary_chest_all_available,H05-F2-complementary-chest,TRUE,68,1,interdaily_stability,Interdaily stability,participant,gaussian,logit,odds_ratio,1,leba_f2,Spending time outdoors,FUSPCEU,-0.4247655084876217,-0.7178228472192388,-0.0038457825289151485,asymptotic_fisher_z_for_spearman,22,1,0,9,123,FALSE
main__chest__all_available,main,chest,all_available,complementary_chest_all_available,H05-F2-complementary-chest,TRUE,68,1,interdaily_stability,Interdaily stability,participant,gaussian,logit,odds_ratio,1,leba_f2,Spending time outdoors,IZTECH,0.559783335767745,0.10826912926173905,0.8198435207030946,asymptotic_fisher_z_for_spearman,17,1,0,8,102,FALSE
main__chest__all_available,main,chest,all_available,complementary_chest_all_available,H05-F2-complementary-chest,TRUE,68,1,interdaily_stability,Interdaily stability,participant,gaussian,logit,odds_ratio,1,leba_f2,Spending time outdoors,KNUST,0.032552336799117856,-0.48784550292037204,0.5358792060059916,asymptotic_fisher_z_for_spearman,15,1,0,7,84,FALSE
main__chest__all_available,main,chest,all_available,complementary_chest_all_available,H05-F2-complementary-chest,TRUE,68,1,interdaily_stability,Interdaily stability,participant,gaussian,logit,odds_ratio,1,leba_f2,Spending time outdoors,RISE,-0.22519136335946474,-0.6485050130420337,0.30450547371721104,asymptotic_fisher_z_for_spearman,16,1,0,6,96,FALSE
main__chest__all_available,main,chest,all_available,complementary_chest_all_available,H05-F2-complementary-chest,TRUE,68,1,interdaily_stability,Interdaily stability,participant,gaussian,logit,odds_ratio,1,leba_f2,Spending time outdoors,THUAS,0.6469575606662202,0.2014615595676189,0.870669729613763,asymptotic_fisher_z_for_spearman,15,1,0,4,93,FALSE
main__chest__all_available,main,chest,all_available,complementary_chest_all_available,H05-F2-complementary-chest,TRUE,68,1,interdaily_stability,Interdaily stability,participant,gaussian,logit,odds_ratio,1,leba_f2,Spending time outdoors,TUM,0.1292460655282994,-0.5447066788815873,0.7017650282485541,asymptotic_fisher_z_for_spearman,10,1,0,3,60,FALSE
main__chest__all_available,main,chest,all_available,complementary_chest_all_available,H05-F2-complementary-chest,TRUE,68,1,interdaily_stability,Interdaily stability,participant,gaussian,logit,odds_ratio,1,leba_f2,Spending time outdoors,UCR,-0.13900680445231153,-0.4354264783180955,0.18460692501375917,asymptotic_fisher_z_for_spearman,39,1,0,26,230,FALSE
main__chest__all_available,main,chest,all_available,complementary_chest_all_available,H05-F2-complementary-chest,TRUE,68,1,interdaily_stability,Interdaily stability,participant,gaussian,logit,odds_ratio,2,leba_f3,Using phones and smartwatches in bed before sleep,BAUA,0.07610917498101478,-0.3916388689707176,0.512598200919502,asymptotic_fisher_z_for_spearman,19,1,0,9,112,FALSE
main__chest__all_available,main,chest,all_available,complementary_chest_all_available,H05-F2-complementary-chest,TRUE,68,1,interdaily_stability,Interdaily stability,participant,gaussian,logit,odds_ratio,2,leba_f3,Using phones and smartwatches in bed before sleep,FUSPCEU,-0.20103239156495367,-0.573991100884121,0.24100271109473223,asymptotic_fisher_z_for_spearman,22,1,0,10,123,FALSE
