run_id,data_scenario_id,placement,sample_scenario,analytical_role,family_id,inferential_family,family_n,metric_order,metric_id,manuscript_name,analysis_unit,response_family,response_transform,effect_scale,factor_order,factor_id,factor_label,participant_key,influence_screen,influence_score,screen_rank
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,supporting_sensitivity,,FALSE,,1,interdaily_stability,Interdaily stability,participant,gaussian,logit,odds_ratio,1,leba_f2,Spending time outdoors,TUM::TUM_S003,cooks_distance,0.1067252451412479,1
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,supporting_sensitivity,,FALSE,,1,interdaily_stability,Interdaily stability,participant,gaussian,logit,odds_ratio,1,leba_f2,Spending time outdoors,TUM::TUM_S009,cooks_distance,0.08449351683703166,2
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,supporting_sensitivity,,FALSE,,1,interdaily_stability,Interdaily stability,participant,gaussian,logit,odds_ratio,1,leba_f2,Spending time outdoors,KNUST::KNUST_S013,cooks_distance,0.05997264854717247,3
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,supporting_sensitivity,,FALSE,,1,interdaily_stability,Interdaily stability,participant,gaussian,logit,odds_ratio,2,leba_f3,Using phones and smartwatches in bed before sleep,TUM::TUM_S003,cooks_distance,0.10880863429377308,1
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,supporting_sensitivity,,FALSE,,1,interdaily_stability,Interdaily stability,participant,gaussian,logit,odds_ratio,2,leba_f3,Using phones and smartwatches in bed before sleep,KNUST::KNUST_S013,cooks_distance,0.10502338640816195,2
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,supporting_sensitivity,,FALSE,,1,interdaily_stability,Interdaily stability,participant,gaussian,logit,odds_ratio,2,leba_f3,Using phones and smartwatches in bed before sleep,BAUA::BAUA_S010,cooks_distance,0.09704349228069628,3
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,supporting_sensitivity,,FALSE,,1,interdaily_stability,Interdaily stability,participant,gaussian,logit,odds_ratio,3,leba_f4,Controlling and using ambient light before bedtime,TUM::TUM_S003,cooks_distance,0.1063427218019709,1
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,supporting_sensitivity,,FALSE,,1,interdaily_stability,Interdaily stability,participant,gaussian,logit,odds_ratio,3,leba_f4,Controlling and using ambient light before bedtime,TUM::TUM_S009,cooks_distance,0.07749865321277324,2
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,supporting_sensitivity,,FALSE,,1,interdaily_stability,Interdaily stability,participant,gaussian,logit,odds_ratio,3,leba_f4,Controlling and using ambient light before bedtime,KNUST::KNUST_S013,cooks_distance,0.06218309164398655,3
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,supporting_sensitivity,,FALSE,,1,interdaily_stability,Interdaily stability,participant,gaussian,logit,odds_ratio,4,leba_f5,Using light in the morning and during daytime,TUM::TUM_S003,cooks_distance,0.11144256452361595,1
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,supporting_sensitivity,,FALSE,,1,interdaily_stability,Interdaily stability,participant,gaussian,logit,odds_ratio,4,leba_f5,Using light in the morning and during daytime,TUM::TUM_S009,cooks_distance,0.07810115849228094,2
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,supporting_sensitivity,,FALSE,,1,interdaily_stability,Interdaily stability,participant,gaussian,logit,odds_ratio,4,leba_f5,Using light in the morning and during daytime,KNUST::KNUST_S013,cooks_distance,0.0578783774588331,3
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,supporting_sensitivity,,FALSE,,2,intradaily_variability,Intradaily variability,participant,gaussian,identity,difference,1,leba_f2,Spending time outdoors,TUM::TUM_S002,cooks_distance,0.04509219710492835,1
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,supporting_sensitivity,,FALSE,,2,intradaily_variability,Intradaily variability,participant,gaussian,identity,difference,1,leba_f2,Spending time outdoors,TUM::TUM_S010,cooks_distance,0.04381895039796762,2
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,supporting_sensitivity,,FALSE,,2,intradaily_variability,Intradaily variability,participant,gaussian,identity,difference,1,leba_f2,Spending time outdoors,FUSPCEU::FUSPCEU_S004,cooks_distance,0.03692266819522136,3
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,supporting_sensitivity,,FALSE,,2,intradaily_variability,Intradaily variability,participant,gaussian,identity,difference,2,leba_f3,Using phones and smartwatches in bed before sleep,FUSPCEU::FUSPCEU_S004,cooks_distance,0.06278897269720639,1
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,supporting_sensitivity,,FALSE,,2,intradaily_variability,Intradaily variability,participant,gaussian,identity,difference,2,leba_f3,Using phones and smartwatches in bed before sleep,TUM::TUM_S010,cooks_distance,0.03941567645841139,2
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,supporting_sensitivity,,FALSE,,2,intradaily_variability,Intradaily variability,participant,gaussian,identity,difference,2,leba_f3,Using phones and smartwatches in bed before sleep,BAUA::BAUA_S022,cooks_distance,0.03814800627655809,3
