run_id,data_scenario_id,placement,sample_scenario,analytical_role,family_id,inferential_family,family_n,metric_order,metric_id,manuscript_name,analysis_unit,response_family,response_transform,effect_scale,factor_order,factor_id,factor_label,omitted_site,spearman_rho,conf_low,conf_high,interval_method,pairs,sites,metric_tied_participants,leba_tied_participants,represented_days,p_value_reported
main__chest__all_available,main,chest,all_available,complementary_chest_all_available,H05-F2-complementary-chest,TRUE,68,1,interdaily_stability,Interdaily stability,participant,gaussian,logit,odds_ratio,1,leba_f2,Spending time outdoors,BAUA,-0.052680264207577515,-0.22030051137639367,0.11796200741814011,asymptotic_fisher_z_for_spearman,134,7,0,115,788,FALSE
main__chest__all_available,main,chest,all_available,complementary_chest_all_available,H05-F2-complementary-chest,TRUE,68,1,interdaily_stability,Interdaily stability,participant,gaussian,logit,odds_ratio,1,leba_f2,Spending time outdoors,FUSPCEU,0.1075897245267721,-0.06513784893969186,0.27405765501955454,asymptotic_fisher_z_for_spearman,131,7,0,113,777,FALSE
main__chest__all_available,main,chest,all_available,complementary_chest_all_available,H05-F2-complementary-chest,TRUE,68,1,interdaily_stability,Interdaily stability,participant,gaussian,logit,odds_ratio,1,leba_f2,Spending time outdoors,IZTECH,-0.034541737345973184,-0.20170182199131145,0.13457362431016495,asymptotic_fisher_z_for_spearman,136,7,0,117,798,FALSE
main__chest__all_available,main,chest,all_available,complementary_chest_all_available,H05-F2-complementary-chest,TRUE,68,1,interdaily_stability,Interdaily stability,participant,gaussian,logit,odds_ratio,1,leba_f2,Spending time outdoors,KNUST,-0.002148102274780946,-0.16919220623548256,0.1650159684775714,asymptotic_fisher_z_for_spearman,138,7,0,119,816,FALSE
main__chest__all_available,main,chest,all_available,complementary_chest_all_available,H05-F2-complementary-chest,TRUE,68,1,interdaily_stability,Interdaily stability,participant,gaussian,logit,odds_ratio,1,leba_f2,Spending time outdoors,RISE,0.04238322253655346,-0.1262295455991398,0.20861580184079326,asymptotic_fisher_z_for_spearman,137,7,0,119,804,FALSE
main__chest__all_available,main,chest,all_available,complementary_chest_all_available,H05-F2-complementary-chest,TRUE,68,1,interdaily_stability,Interdaily stability,participant,gaussian,logit,odds_ratio,1,leba_f2,Spending time outdoors,THUAS,-0.03627345055511404,-0.20215294365013275,0.13162925299059883,asymptotic_fisher_z_for_spearman,138,7,0,119,807,FALSE
main__chest__all_available,main,chest,all_available,complementary_chest_all_available,H05-F2-complementary-chest,TRUE,68,1,interdaily_stability,Interdaily stability,participant,gaussian,logit,odds_ratio,1,leba_f2,Spending time outdoors,TUM,0.01487242078750924,-0.14964146912410345,0.1785850157675421,asymptotic_fisher_z_for_spearman,143,7,0,124,840,FALSE
main__chest__all_available,main,chest,all_available,complementary_chest_all_available,H05-F2-complementary-chest,TRUE,68,1,interdaily_stability,Interdaily stability,participant,gaussian,logit,odds_ratio,1,leba_f2,Spending time outdoors,UCR,0.0778347197086995,-0.10762066812194271,0.25805546931602913,asymptotic_fisher_z_for_spearman,114,7,0,96,670,FALSE
main__chest__all_available,main,chest,all_available,complementary_chest_all_available,H05-F2-complementary-chest,TRUE,68,1,interdaily_stability,Interdaily stability,participant,gaussian,logit,odds_ratio,2,leba_f3,Using phones and smartwatches in bed before sleep,BAUA,-0.09563499839260366,-0.26099050480756003,0.07517259845815902,asymptotic_fisher_z_for_spearman,134,7,0,117,788,FALSE
main__chest__all_available,main,chest,all_available,complementary_chest_all_available,H05-F2-complementary-chest,TRUE,68,1,interdaily_stability,Interdaily stability,participant,gaussian,logit,odds_ratio,2,leba_f3,Using phones and smartwatches in bed before sleep,FUSPCEU,-0.039618099624060106,-0.2097184497350987,0.13280990677739604,asymptotic_fisher_z_for_spearman,131,7,0,114,777,FALSE
main__chest__all_available,main,chest,all_available,complementary_chest_all_available,H05-F2-complementary-chest,TRUE,68,1,interdaily_stability,Interdaily stability,participant,gaussian,logit,odds_ratio,2,leba_f3,Using phones and smartwatches in bed before sleep,IZTECH,-0.04079707276862836,-0.20770355288402464,0.12841771641054814,asymptotic_fisher_z_for_spearman,136,7,0,119,798,FALSE
main__chest__all_available,main,chest,all_available,complementary_chest_all_available,H05-F2-complementary-chest,TRUE,68,1,interdaily_stability,Interdaily stability,participant,gaussian,logit,odds_ratio,2,leba_f3,Using phones and smartwatches in bed before sleep,KNUST,-0.08431618651336091,-0.24792780919634086,0.0839717827984814,asymptotic_fisher_z_for_spearman,138,7,0,121,816,FALSE
main__chest__all_available,main,chest,all_available,complementary_chest_all_available,H05-F2-complementary-chest,TRUE,68,1,interdaily_stability,Interdaily stability,participant,gaussian,logit,odds_ratio,2,leba_f3,Using phones and smartwatches in bed before sleep,RISE,-0.056440419723302555,-0.22205395969759595,0.11233845629734766,asymptotic_fisher_z_for_spearman,137,7,0,121,804,FALSE
main__chest__all_available,main,chest,all_available,complementary_chest_all_available,H05-F2-complementary-chest,TRUE,68,1,interdaily_stability,Interdaily stability,participant,gaussian,logit,odds_ratio,2,leba_f3,Using phones and smartwatches in bed before sleep,THUAS,-0.08181860984985721,-0.24556599832685783,0.08646844836307477,asymptotic_fisher_z_for_spearman,138,7,0,121,807,FALSE
main__chest__all_available,main,chest,all_available,complementary_chest_all_available,H05-F2-complementary-chest,TRUE,68,1,interdaily_stability,Interdaily stability,participant,gaussian,logit,odds_ratio,2,leba_f3,Using phones and smartwatches in bed before sleep,TUM,-0.04703662700999885,-0.20956713238686367,0.11802320175267782,asymptotic_fisher_z_for_spearman,143,7,0,127,840,FALSE
main__chest__all_available,main,chest,all_available,complementary_chest_all_available,H05-F2-complementary-chest,TRUE,68,1,interdaily_stability,Interdaily stability,participant,gaussian,logit,odds_ratio,2,leba_f3,Using phones and smartwatches in bed before sleep,UCR,-0.1179084849248566,-0.29541713279465015,0.06746939939143236,asymptotic_fisher_z_for_spearman,114,7,0,97,670,FALSE
main__chest__all_available,main,chest,all_available,complementary_chest_all_available,H05-F2-complementary-chest,TRUE,68,1,interdaily_stability,Interdaily stability,participant,gaussian,logit,odds_ratio,3,leba_f4,Controlling and using ambient light before bedtime,BAUA,-0.04781364826185096,-0.21565339599451902,0.12277025511871946,asymptotic_fisher_z_for_spearman,134,7,0,117,788,FALSE
main__chest__all_available,main,chest,all_available,complementary_chest_all_available,H05-F2-complementary-chest,TRUE,68,1,interdaily_stability,Interdaily stability,participant,gaussian,logit,odds_ratio,3,leba_f4,Controlling and using ambient light before bedtime,FUSPCEU,-0.02826162047258652,-0.19882330173625787,0.14396174160302608,asymptotic_fisher_z_for_spearman,131,7,0,114,777,FALSE
