run_id,data_scenario_id,placement,sample_scenario,participant_key,site,Id,local_date,mder,viable_minutes,expected_minutes,tukey_outer_fence,outer_tail_flag,upper_tail_rank
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,KNUST::KNUST_S007,KNUST,KNUST_S007,2024-11-19,3.6450085362886075,,,1.2909345077198413,TRUE,1
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,UCR::UCR_S020,UCR,UCR_S020,2025-07-24,1.717271047644382,,,1.2909345077198413,TRUE,2
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,UCR::UCR_S028,UCR,UCR_S028,2025-08-13,1.335177196204089,,,1.2909345077198413,TRUE,3
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,UCR::UCR_S015,UCR,UCR_S015,2025-07-17,1.282345143548032,,,1.2909345077198413,FALSE,4
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,IZTECH::IZTECH_S011,IZTECH,IZTECH_S011,2025-04-16,1.1562328737640244,,,1.2909345077198413,FALSE,5
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,IZTECH::IZTECH_S017,IZTECH,IZTECH_S017,2025-05-27,1.0995896022215514,,,1.2909345077198413,FALSE,6
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,UCR::UCR_S029,UCR,UCR_S029,2025-08-16,1.092916135923486,,,1.2909345077198413,FALSE,7
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,UCR::UCR_S018,UCR,UCR_S018,2025-07-22,1.0813268688560842,,,1.2909345077198413,FALSE,8
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,IZTECH::IZTECH_S017,IZTECH,IZTECH_S017,2025-06-01,1.0720087955344595,,,1.2909345077198413,FALSE,9
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,RISE::RISE_S012,RISE,RISE_S012,2025-06-11,1.0645496973891768,,,1.2909345077198413,FALSE,10
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,RISE::RISE_S013,RISE,RISE_S013,2025-06-29,1.0602230789021303,,,1.2909345077198413,FALSE,11
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,FUSPCEU::FUSPCEU_S018,FUSPCEU,FUSPCEU_S018,2024-12-13,1.0284569946847268,,,1.2909345077198413,FALSE,12
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,RISE::RISE_S009,RISE,RISE_S009,2025-05-29,1.0171670192053974,,,1.2909345077198413,FALSE,13
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,UCR::UCR_S019,UCR,UCR_S019,2025-07-26,1.0157995127051225,,,1.2909345077198413,FALSE,14
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,BAUA::BAUA_S001,BAUA,BAUA_S001,2025-06-15,1.012614695644973,,,1.2909345077198413,FALSE,15
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,IZTECH::IZTECH_S017,IZTECH,IZTECH_S017,2025-05-31,1.010464753472712,,,1.2909345077198413,FALSE,16
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,BAUA::BAUA_S009,BAUA,BAUA_S009,2025-06-25,1.006392524119338,,,1.2909345077198413,FALSE,17
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,UCR::UCR_S038,UCR,UCR_S038,2025-08-30,1.0002969055799522,,,1.2909345077198413,FALSE,18
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,TUM::TUM_S009,TUM,TUM_S009,2024-07-18,0.9995426217598402,,,1.2909345077198413,FALSE,19
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,UCR::UCR_S019,UCR,UCR_S019,2025-07-25,0.9927707653346687,,,1.2909345077198413,FALSE,20
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,KNUST::KNUST_S015,KNUST,KNUST_S015,2025-01-30,0.9870846806007961,,,1.2909345077198413,FALSE,21
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,IZTECH::IZTECH_S017,IZTECH,IZTECH_S017,2025-05-29,0.9852335450387572,,,1.2909345077198413,FALSE,22
alternative_preprocessing__chest__all_available,alternative_preprocessing,chest,all_available,RISE::RISE_S007,RISE,RISE_S007,2025-04-15,0.9835075846818027,,,1.2909345077198413,FALSE,23
