run_id,working_power,formula,scenario_id,placement,observations,participants,participant_days,sites,exact_zero_hours,boundary_hours
main__near_eye,1.539919,geo_medi_1h ~ site + light_source,primary_dataset,Near-eye,17935,140,801,9,4977,2396
main__chest,1.539919,geo_medi_1h ~ site + light_source,primary_dataset,Chest,19512,151,880,8,5409,2570
paired__near_eye,1.539919,geo_medi_1h ~ site + light_source,paired_common_sample,Near-eye,14103,111,631,8,4006,1822
paired__chest,1.539919,geo_medi_1h ~ site + light_source,paired_common_sample,Chest,14103,111,631,8,4088,1822
gap__near_eye,1.539919,geo_medi_1h ~ site + light_source,gap_timing_unaware_dataset,Near-eye,17616,140,785,9,4888,0
gap__chest,1.539919,geo_medi_1h ~ site + light_source,gap_timing_unaware_dataset,Chest,19220,151,865,8,5332,0
boundary_excluded__near_eye,1.539919,geo_medi_1h ~ site + light_source,boundary_hours_excluded,Near-eye,15539,140,801,9,4683,0
boundary_excluded__chest,1.539919,geo_medi_1h ~ site + light_source,boundary_hours_excluded,Chest,16942,151,880,8,5045,0
supported_cells__near_eye,1.539919,geo_medi_1h ~ site + light_source,unsupported_cells_excluded,Near-eye,17818,140,801,9,4935,2361
supported_cells__chest,1.539919,geo_medi_1h ~ site + light_source,unsupported_cells_excluded,Chest,19416,151,880,8,5375,2545
power_1_30__near_eye,1.3,geo_medi_1h ~ site + light_source,working_power_1_30,Near-eye,17935,140,801,9,4977,2396
power_1_30__chest,1.3,geo_medi_1h ~ site + light_source,working_power_1_30,Chest,19512,151,880,8,5409,2570
power_1_80__near_eye,1.8,geo_medi_1h ~ site + light_source,working_power_1_80,Near-eye,17935,140,801,9,4977,2396
power_1_80__chest,1.8,geo_medi_1h ~ site + light_source,working_power_1_80,Chest,19512,151,880,8,5409,2570
mundlak__near_eye,1.539919,geo_medi_1h ~ site + light_source + between_source_1 + between_source_2 +      between_source_3 + between_source_4 + between_source_5 +      between_source_6,mundlak_within_between,Near-eye,17935,140,801,9,4977,2396
mundlak__chest,1.539919,geo_medi_1h ~ site + light_source + between_source_1 + between_source_2 +      between_source_3 + between_source_4 + between_source_5 +      between_source_6,mundlak_within_between,Chest,19512,151,880,8,5409,2570
influence__Chest__site__BAUA,1.539919,geo_medi_1h ~ site + light_source,delete_site,Chest,17014,132,772,7,4655,2249
influence__Chest__site__FUSPCEU,1.539919,geo_medi_1h ~ site + light_source,delete_site,Chest,16999,129,758,7,4566,2294
influence__Chest__site__IZTECH,1.539919,geo_medi_1h ~ site + light_source,delete_site,Chest,17274,135,784,7,4847,2298
influence__Chest__site__KNUST,1.539919,geo_medi_1h ~ site + light_source,delete_site,Chest,17581,136,796,7,4764,2293
influence__Chest__site__RISE,1.539919,geo_medi_1h ~ site + light_source,delete_site,Chest,17268,135,784,7,4750,2274
influence__Chest__site__THUAS,1.539919,geo_medi_1h ~ site + light_source,delete_site,Chest,17511,136,789,7,4840,2336
influence__Chest__site__TUM,1.539919,geo_medi_1h ~ site + light_source,delete_site,Chest,18122,141,820,7,5047,2364
influence__Chest__site__UCR,1.539919,geo_medi_1h ~ site + light_source,delete_site,Chest,14815,113,657,7,4394,1882
influence__Near-eye__site__BAUA,1.539919,geo_medi_1h ~ site + light_source,delete_site,Near-eye,15564,122,697,8,4341,2086
influence__Near-eye__site__FUSPCEU,1.539919,geo_medi_1h ~ site + light_source,delete_site,Near-eye,15382,117,676,8,4134,2114
influence__Near-eye__site__IZTECH,1.539919,geo_medi_1h ~ site + light_source,delete_site,Near-eye,15720,124,706,8,4421,2127
influence__Near-eye__site__KNUST,1.539919,geo_medi_1h ~ site + light_source,delete_site,Near-eye,16074,125,720,8,4276,2128
influence__Near-eye__site__MPI,1.539919,geo_medi_1h ~ site + light_source,delete_site,Near-eye,14511,114,651,8,4098,1872
