run_id,scenario_id,placement,frame_id,working_power,formula_id
paired__near_eye,paired_common_sample,Near-eye,paired_near,1.539919,primary_population_mean
paired__chest,paired_common_sample,Chest,paired_chest,1.539919,primary_population_mean
gap__near_eye,gap_timing_unaware_dataset,Near-eye,gap_near,1.539919,primary_population_mean
gap__chest,gap_timing_unaware_dataset,Chest,gap_chest,1.539919,primary_population_mean
boundary_excluded__near_eye,boundary_hours_excluded,Near-eye,boundary_near,1.539919,primary_population_mean
boundary_excluded__chest,boundary_hours_excluded,Chest,boundary_chest,1.539919,primary_population_mean
supported_cells__near_eye,unsupported_cells_excluded,Near-eye,supported_near,1.539919,primary_population_mean
supported_cells__chest,unsupported_cells_excluded,Chest,supported_chest,1.539919,primary_population_mean
power_1_30__near_eye,working_power_1_30,Near-eye,main_near,1.3,primary_population_mean
power_1_30__chest,working_power_1_30,Chest,main_chest,1.3,primary_population_mean
power_1_80__near_eye,working_power_1_80,Near-eye,main_near,1.8,primary_population_mean
power_1_80__chest,working_power_1_80,Chest,main_chest,1.8,primary_population_mean
mundlak__near_eye,mundlak_within_between,Near-eye,mundlak_near,1.539919,secondary_mundlak_audit
mundlak__chest,mundlak_within_between,Chest,mundlak_chest,1.539919,secondary_mundlak_audit
