change_id,date,status,category,files,description,rationale,verification,result_effect,decision_id
CHG-099,2026-08-11,structurally_verified,h06_stage2_approval_and_stage3_transition,"audit/decisions/h06_stage2_gate_and_stage3_transition.md; audit/hypotheses/H06/02_implementation_and_v0_comparison.qmd; audit/hypotheses/H06/02_implementation_and_v0_comparison.html; artifacts/12_manifests/H06/H06_stage2_artifacts.csv; audit/handoffs/H06_worker_handoff.md; audit/ledgers/hypothesis_stage_gates.csv; audit/ledgers/hypothesis_comparison_status.csv; audit/ledgers/decision_register.csv; audit/ledgers/change_log.csv","Closed H06-G2 under the author-accepted qualified Stage 2 result contract and opened Stage 3 with two separately labelled exploratory temporal contrasts derived from the frozen accepted two-part models","The author accepted Stage 2 and requested Active-versus-Sedentary and Free-day-versus-Work-day temporal difference displays; the additions contextualize time of day without changing the accepted primary inference","The coordinator matched the accepted Stage 2 QMD and HTML SHA-256 identities confirmed the 227-entry H06 manifest structure and passed the central comparison-ledger structural verifier after the transition","Accepts the H06 Stage 2 result and claim dispositions with their documented qualifications; authorizes reader-facing reporting and exploratory frozen-model contrasts but changes no fitted model primary estimate interval diagnostic sensitivity classification or primary claim","H06-003; H06-002; DEV-015; DEV-056"
CHG-098,2026-08-10,structurally_verified,h06_stage1a_approval_and_stage2_transition,"audit/decisions/h06_stage1a_gate_and_stage2_transition.md; audit/hypotheses/H06/01_audit_and_plan.qmd; audit/hypotheses/H06/01_audit_and_plan.html; audit/handoffs/H06_worker_handoff.md; audit/ledgers/hypothesis_stage_gates.csv; audit/ledgers/hypothesis_comparison_status.csv; audit/ledgers/decision_register.csv; audit/ledgers/change_log.csv","Closed revised gate H06-G1A and reauthorized Stage 2 under the preserved hourly estimand with quasi-Poisson log-mean models participant-cluster HC3 covariance and finite-cluster inference","The first Stage 2 route failed its adequacy gate; the author explicitly approved the H03-informed robust marginal-mean architecture while retaining the fixed predictors site hierarchy multiplicity placement source and sensitivity contract","The coordinator rechecked the approved Stage 1 source and HTML SHA-256 identities and the central comparison-ledger structural verifier passes after the gate update","No H06 model result estimate interval diagnostic sensitivity output or claim is accepted by this transition; earlier Stage 2 outputs remain diagnostic construction history and Stage 3 remains blocked","H06-002; H06-001; DEV-015; DEV-056"
CHG-097,2026-08-07,verified_with_open_provenance_item,current_base_model_input_gate,"audit/decisions/preparation06_current_base_model_gate.md; audit/reconciliation/preparation06/base_model_gate.md; audit/decisions/preparation04_version_specific_verification.md; audit/handoffs/H10_shared_change_request.md; artifacts/12_manifests/metric_artifacts.csv; artifacts/12_manifests/base_model_data_artifacts.csv; artifacts/12_manifests/mder_support_gate_artifacts.csv; artifacts/12_manifests/state_support_gate_artifacts.csv; audit/ledgers/decision_register.csv; audit/ledgers/change_log.csv","Superseded the earlier Preparation 06 gate only for current downstream input selection and authorized current 816/902 model-ready inputs with PREP-003/FIND-044 retained","The earlier 811/897 gate is historically valid but its metric identity is no longer the current downstream bundle","Fresh R 4.6.1 verify_base_model_data_artifacts returned PASS with base manifest 142d1044dd7e6a566e45e3a5c56033b1e8251e100c0d7c7523564c824950a0e4 and current manifest fingerprints and participant-day counts were rechecked","No data metric support classification model estimate interval diagnostic result or claim changed; Stage 2 fitting may proceed with the explicit provenance qualification","PREP06-BASE-002; PREP-003; FIND-044"
CHG-001,2026-07-29,verified,audit,"audit/baseline/*; audit/evidence/*; audit/journal/*; audit/ledgers/*","Captured the pre-repair commit, hashes, render DAG, journal requirements, preregistration contracts, external evidence, and reviewer dispositions","Establish an immutable comparison and decision record before analytical source changes","CSV parsing, SHA-256 manifests, and source-locator checks passed","None; structural baseline only",""
CHG-002,2026-07-30,in_progress,environment,"renv/library; .renvignore; scripts/environment/*; tests/test_environment_smoke.R; tests/test_environment_audit.R; tests/test_renv_status_timeout.R; audit/environment/*; audit/ledgers/software_versions.csv","Restored the project library under R 4.6.1 retained LightLogR 0.10.3 documented Matrix/sf compatibility versions installed the verified Shiny-parameter see and DHARMa closures and replaced unbounded status polling with deterministic reconciliation plus a timeout-controlled final status runner","Make clean execution and model diagnostics possible after the R upgrade without a blanket package update while preventing another unbounded renv::status process","Warnings-as-errors package diagnostics pass; deterministic dependency/lock/library reconciliation finishes in 2.024 seconds with no missing required or locked package; the child-process timeout retains output and terminates cleanly; final snapshot and one bounded post-snapshot status remain gated","No scientific result effect established; R Matrix sf see and DHARMa changes require confirmation through all clean model reruns",""
CHG-003,2026-07-30,verified,input_provenance,"config/site_sources.csv; scripts/pipeline/import_sources.R; audit/baseline/pinned_source_hashes.csv","Pinned 35 source files across nine site commits with DOI, URL, acquisition metadata, and SHA-256; identified and retained regular 1-second, 10-second, and 60-second participant streams","Prevent mutable-main drift and make the clean input set and epoch schedule auditable","All 35 files downloaded, hashed, uniquely keyed, and matched to the expected R object; full stream epoch audit passed with two documented non-10-second exceptions","Input identity changed from package-main retrieval to the recorded fixed releases; scientific effect pending clean comparison","PREP-001"
CHG-004,2026-07-30,unit_verified,time_and_state,"scripts/pipeline/time_axes.R; scripts/pipeline/state_alignment.R; tests/run_pipeline_tests.R; data_preparation.qmd","Introduced true UTC and shared wall-clock axes, DST-fold provenance, diary-authoritative half-open sleep states, wear-provenance handling, and joint invalid-nonwear channel masking","Repair fall-back key collisions and make the intended state precedence explicit","Synthetic DST/state tests and a nine-site interval audit passed; active preparation source now preserves both raw channels and applies the approved joint non-wear mask","Potentially affects DST participant-days and paired MEDI/LIGHT metrics; quantified result comparison pending","TIME-001; TIME-002; TIME-003; STATE-001; STATE-002; STATE-003"
CHG-005,2026-07-30,in_progress,signal_validity,"scripts/pipeline/state_alignment.R; scripts/pipeline/build_import_alignment.R; scripts/pipeline/build_coverage_sample_flow.R; data_preparation.qmd; index.qmd; audit/decisions/saturation_boundary.md; audit/evidence/ActLumus_User_Manual_EN_2_1_0.pdf","Changed the retained ActLumus operating range to MEDI <100000 lx after native-epoch-to-minute aggregation while preserving raw values and flags; aligned active preparation code and manuscript prose without applying the boundary to LIGHT","Use the official manufacturer's reported 1–100000-lx operating interval together with the companion paper's strict <100000 implementation and the author's approved boundary decision","Integrated aggregation/state regression retains a minute mean below 100000 and rejects a mean exactly at 100000; canonical source has no active 120000-lx rule outside historical contract records; tracked rendered and frozen outputs remain scheduled for clean regeneration","The clean rebuilt artifacts invalidate 39 near-eye and 87 chest minutes at or above the operating boundary; downstream metric and model effects remain pending","SIGNAL-001"
CHG-006,2026-07-30,unit_verified,multiplicity,"scripts/pipeline/multiplicity.R; tests/run_pipeline_tests.R","Added vector-wide planned-family Benjamini-Hochberg adjustment with explicit handling of non-estimable tests","Scalar p.adjust calls do not implement vector-wide BH even when n is supplied","Regression tests distinguish scalar Bonferroni-equivalent values from vector-wide BH values","H1 and other affected adjusted p-values will change; model/result gate pending",""
CHG-007,2026-07-30,unit_verified,metric_support,"scripts/pipeline/aggregation_coverage.R; scripts/pipeline/reference_profiles.R; scripts/pipeline/time_support.R; tests/test_aggregation_coverage.R; tests/test_reference_profiles.R; tests/test_time_support.R","Implemented explicit minute aggregation, wall-clock coverage, fixed participant-balanced relevance profiles, and support-aware gap/censor/window/dose/MDER/IS/IV helpers","Preserve good participant-days while making metric-specific temporal support and failure reasons explicit","Standalone synthetic suites pass where complete; full clean-data reconciliation pending","Metric values and estimable denominators may change; major-result gate pending","METRIC-002; PREP-001"
