site,location,modality,object_name,repository,commit,doi,source_url,source_sha256,source_bytes,source_timezone,source_rows,source_participants,source_columns,source_start_utc,source_end_utc
BAUA,"Dortmund, Germany",sleepdiaries,sleepdiary,BroszioEtAl_Dataset_2025,a69ff3835c2ddef1379903ca6089eeb1a57c67c2,10.5281/zenodo.18111232,https://raw.githubusercontent.com/MeLiDosProject/BroszioEtAl_Dataset_2025/a69ff3835c2ddef1379903ca6089eeb1a57c67c2/data/imported/continuous/sleepdiaries.RData,6ccb699677a438059de4ec4baac6f83ece121cd7f124d0de61554b4be6852f1a,6635,Europe/Berlin,149,22,14,2025-06-09 18:15:00 UTC,2025-10-20 08:00:00 UTC
BAUA,"Dortmund, Germany",wearlog,wearlog,BroszioEtAl_Dataset_2025,a69ff3835c2ddef1379903ca6089eeb1a57c67c2,10.5281/zenodo.18111232,https://raw.githubusercontent.com/MeLiDosProject/BroszioEtAl_Dataset_2025/a69ff3835c2ddef1379903ca6089eeb1a57c67c2/data/imported/continuous/wearlog.RData,1d737d2349443c11bd661399e4c0ec678dedc17ff826afd9ece03a316497e086,5277,Europe/Berlin,234,20,14,2025-06-10 18:20:00 UTC,2025-10-20 12:26:00 UTC
BAUA,"Dortmund, Germany",light_glasses,light_glasses,BroszioEtAl_Dataset_2025,a69ff3835c2ddef1379903ca6089eeb1a57c67c2,10.5281/zenodo.18111232,https://raw.githubusercontent.com/MeLiDosProject/BroszioEtAl_Dataset_2025/a69ff3835c2ddef1379903ca6089eeb1a57c67c2/data/imported/light/light_glasses.RData,ec45469dcd361e4d388126562adb427b79bd4dc210c486e7509a17fb10c0f0e8,27327915,Europe/Berlin,1252800,19,29,2025-06-09 22:00:02 UTC,2025-10-20 21:59:58 UTC
BAUA,"Dortmund, Germany",light_chest,light_chest,BroszioEtAl_Dataset_2025,a69ff3835c2ddef1379903ca6089eeb1a57c67c2,10.5281/zenodo.18111232,https://raw.githubusercontent.com/MeLiDosProject/BroszioEtAl_Dataset_2025/a69ff3835c2ddef1379903ca6089eeb1a57c67c2/data/imported/light/light_chest.RData,0dee22b55db716133d23d1ada89bebd600e70733dc85b930fb31f1582447ced6,29831102,Europe/Berlin,1408320,22,29,2025-06-09 22:00:00 UTC,2025-10-20 21:59:50 UTC
FUSPCEU,"Madrid, Spain",sleepdiaries,sleepdiary,BaezaEtAl_Dataset_2025,2badb6e3302e898a5801cb35a3719bd0ec4b9aad,10.5281/zenodo.16834951,https://raw.githubusercontent.com/MeLiDosProject/BaezaEtAl_Dataset_2025/2badb6e3302e898a5801cb35a3719bd0ec4b9aad/data/imported/continuous/sleepdiaries.RData,0d4ab12a552fd2e74b5a63dc204c404e9a0f25dbdf8185cd2c2c83ef51ba38cd,7323,Europe/Madrid,149,23,14,2024-10-07 20:40:00 UTC,2025-02-10 06:35:00 UTC
FUSPCEU,"Madrid, Spain",wearlog,wearlog,BaezaEtAl_Dataset_2025,2badb6e3302e898a5801cb35a3719bd0ec4b9aad,10.5281/zenodo.16834951,https://raw.githubusercontent.com/MeLiDosProject/BaezaEtAl_Dataset_2025/2badb6e3302e898a5801cb35a3719bd0ec4b9aad/data/imported/continuous/wearlog.RData,9d2757d092febb667c045f90d631ffa438f95931ad47525fc49c0391df10c4a0,3634,Europe/Madrid,151,19,14,2024-10-07 19:02:00 UTC,2025-02-10 11:58:00 UTC
FUSPCEU,"Madrid, Spain",light_glasses,light_glasses,BaezaEtAl_Dataset_2025,2badb6e3302e898a5801cb35a3719bd0ec4b9aad,10.5281/zenodo.16834951,https://raw.githubusercontent.com/MeLiDosProject/BaezaEtAl_Dataset_2025/2badb6e3302e898a5801cb35a3719bd0ec4b9aad/data/imported/light/light_glasses.RData,5bf6fb7f4e6be1c2312099f52d110c685209d5471d75430be428b1be08738d3b,29731666,Europe/Madrid,1522800,23,29,2024-10-06 22:00:03 UTC,2025-02-10 22:59:55 UTC
FUSPCEU,"Madrid, Spain",light_chest,light_chest,BaezaEtAl_Dataset_2025,2badb6e3302e898a5801cb35a3719bd0ec4b9aad,10.5281/zenodo.16834951,https://raw.githubusercontent.com/MeLiDosProject/BaezaEtAl_Dataset_2025/2badb6e3302e898a5801cb35a3719bd0ec4b9aad/data/imported/light/light_chest.RData,ea799a48593827bad7fdc5f43ba698f2e352bb5a990a3d10e521c65df7f66066,29210982,Europe/Madrid,1504080,22,29,2024-10-06 22:00:05 UTC,2025-02-10 22:59:56 UTC
IZTECH,"Izmir, Türkiye",sleepdiaries,sleepdiary,DidikogluEtAl_Dataset_2025,15b1150ce0c62339d299de24359b4257218560d8,10.5281/zenodo.16568109,https://raw.githubusercontent.com/MeLiDosProject/DidikogluEtAl_Dataset_2025/15b1150ce0c62339d299de24359b4257218560d8/data/imported/continuous/sleepdiaries.RData,63d207d3440472c98ca121c3913e86e092d5f38386e6bd50b5452a9b05d9a06e,6205,Europe/Istanbul,137,17,14,2024-12-22 22:40:00 UTC,2025-06-02 05:53:00 UTC
IZTECH,"Izmir, Türkiye",wearlog,wearlog,DidikogluEtAl_Dataset_2025,15b1150ce0c62339d299de24359b4257218560d8,10.5281/zenodo.16568109,https://raw.githubusercontent.com/MeLiDosProject/DidikogluEtAl_Dataset_2025/15b1150ce0c62339d299de24359b4257218560d8/data/imported/continuous/wearlog.RData,d0e025af8e912d6157349849d64e3072bb781b08ffec7fb97c7d67ee6052c0d8,4554,Europe/Istanbul,199,17,14,2024-12-23 21:30:00 UTC,2025-06-02 07:40:00 UTC
