placement,site,light_source,hours,participants,participant_days,reference_hours,reference_participants,shared_participants,site_present,supported,category_order,category_code,short_label,display_order,display_name,color_hex,support_status
Near-eye,RISE,Electric light source indoors,377,13,58,377,13,13,TRUE,TRUE,1,electric_indoor,Indoor electric,1,Borås (SE),#88CCEE,Supported
Near-eye,RISE,Electric light source outdoors,8,2,4,377,13,2,TRUE,FALSE,2,electric_outdoor,Outdoor electric,1,Borås (SE),#88CCEE,Observed but sparse
Near-eye,RISE,Daylight indoors,541,13,76,377,13,13,TRUE,TRUE,3,daylight_indoor,Indoor daylight,1,Borås (SE),#88CCEE,Supported
Near-eye,RISE,Daylight outdoors (including shade),161,13,51,377,13,13,TRUE,TRUE,4,daylight_outdoor,Outdoor daylight,1,Borås (SE),#88CCEE,Supported
Near-eye,RISE,Emissive display light,106,11,42,377,13,11,TRUE,TRUE,5,display,Emissive display,1,Borås (SE),#88CCEE,Supported
Near-eye,RISE,Darkness during sleep,512,13,76,377,13,13,TRUE,TRUE,6,sleep_darkness,Sleep darkness,1,Borås (SE),#88CCEE,Supported
Near-eye,RISE,Light entering from outside during sleep,111,8,33,377,13,8,TRUE,TRUE,7,sleep_external_light,External light during sleep,1,Borås (SE),#88CCEE,Supported
Near-eye,THUAS,Electric light source indoors,374,13,59,374,13,13,TRUE,TRUE,1,electric_indoor,Indoor electric,2,Delft (NL),#117733,Supported
Near-eye,THUAS,Electric light source outdoors,13,4,5,374,13,4,TRUE,FALSE,2,electric_outdoor,Outdoor electric,2,Delft (NL),#117733,Observed but sparse
Near-eye,THUAS,Daylight indoors,448,12,65,374,13,12,TRUE,TRUE,3,daylight_indoor,Indoor daylight,2,Delft (NL),#117733,Supported
Near-eye,THUAS,Daylight outdoors (including shade),167,13,57,374,13,13,TRUE,TRUE,4,daylight_outdoor,Outdoor daylight,2,Delft (NL),#117733,Supported
Near-eye,THUAS,Emissive display light,121,11,29,374,13,11,TRUE,TRUE,5,display,Emissive display,2,Delft (NL),#117733,Supported
Near-eye,THUAS,Darkness during sleep,511,13,67,374,13,13,TRUE,TRUE,6,sleep_darkness,Sleep darkness,2,Delft (NL),#117733,Supported
Near-eye,THUAS,Light entering from outside during sleep,13,4,6,374,13,4,TRUE,FALSE,7,sleep_external_light,External light during sleep,2,Delft (NL),#117733,Observed but sparse
Near-eye,BAUA,Electric light source indoors,338,16,64,338,16,16,TRUE,TRUE,1,electric_indoor,Indoor electric,3,Dortmund (DE),#DDCC77,Supported
Near-eye,BAUA,Electric light source outdoors,1,1,1,338,16,1,TRUE,FALSE,2,electric_outdoor,Outdoor electric,3,Dortmund (DE),#DDCC77,Observed but sparse
Near-eye,BAUA,Daylight indoors,770,18,98,338,16,16,TRUE,TRUE,3,daylight_indoor,Indoor daylight,3,Dortmund (DE),#DDCC77,Supported
Near-eye,BAUA,Daylight outdoors (including shade),331,18,78,338,16,16,TRUE,TRUE,4,daylight_outdoor,Outdoor daylight,3,Dortmund (DE),#DDCC77,Supported
Near-eye,BAUA,Emissive display light,94,11,23,338,16,11,TRUE,TRUE,5,display,Emissive display,3,Dortmund (DE),#DDCC77,Supported
Near-eye,BAUA,Darkness during sleep,690,16,93,338,16,14,TRUE,TRUE,6,sleep_darkness,Sleep darkness,3,Dortmund (DE),#DDCC77,Supported
Near-eye,BAUA,Light entering from outside during sleep,147,11,42,338,16,11,TRUE,TRUE,7,sleep_external_light,External light during sleep,3,Dortmund (DE),#DDCC77,Supported
Near-eye,MPI,Electric light source indoors,821,26,147,821,26,26,TRUE,TRUE,1,electric_indoor,Indoor electric,4,Tübingen (DE),#DDCC77,Supported
Near-eye,MPI,Electric light source outdoors,35,11,20,821,26,11,TRUE,TRUE,2,electric_outdoor,Outdoor electric,4,Tübingen (DE),#DDCC77,Supported
Near-eye,MPI,Daylight indoors,1054,25,140,821,26,25,TRUE,TRUE,3,daylight_indoor,Indoor daylight,4,Tübingen (DE),#DDCC77,Supported
Near-eye,MPI,Daylight outdoors (including shade),241,26,89,821,26,26,TRUE,TRUE,4,daylight_outdoor,Outdoor daylight,4,Tübingen (DE),#DDCC77,Supported
Near-eye,MPI,Emissive display light,47,16,31,821,26,16,TRUE,TRUE,5,display,Emissive display,4,Tübingen (DE),#DDCC77,Supported
