placement,log10_lower,log10_upper,log10_midpoint,mel_edi_lower_lx,mel_edi_upper_lx,mel_edi_midpoint_lx,interval,positive_hours
Near-eye,-5,-4.75,-4.875,1e-5,1.778279410038923e-5,1.333521432163324e-5,1,0
Near-eye,-4.75,-4.5,-4.625,1.778279410038923e-5,3.1622776601683795e-5,2.3713737056616554e-5,2,5
Near-eye,-4.5,-4.25,-4.375,3.1622776601683795e-5,5.623413251903491e-5,4.216965034285822e-5,3,3
Near-eye,-4.25,-4,-4.125,5.623413251903491e-5,1e-4,7.498942093324559e-5,4,6
Near-eye,-4,-3.75,-3.875,1e-4,1.7782794100389227e-4,1.333521432163324e-4,5,2
Near-eye,-3.75,-3.5,-3.625,1.7782794100389227e-4,3.1622776601683794e-4,2.3713737056616554e-4,6,8
Near-eye,-3.5,-3.25,-3.375,3.1622776601683794e-4,5.623413251903491e-4,4.2169650342858224e-4,7,16
Near-eye,-3.25,-3,-3.125,5.623413251903491e-4,0.001,7.498942093324559e-4,8,21
Near-eye,-3,-2.75,-2.875,0.001,0.0017782794100389228,0.001333521432163324,9,20
Near-eye,-2.75,-2.5,-2.625,0.0017782794100389228,0.0031622776601683794,0.0023713737056616554,10,24
Near-eye,-2.5,-2.25,-2.375,0.0031622776601683794,0.005623413251903491,0.004216965034285823,11,50
Near-eye,-2.25,-2,-2.125,0.005623413251903491,0.01,0.007498942093324558,12,65
Near-eye,-2,-1.75,-1.875,0.01,0.01778279410038923,0.01333521432163324,13,91
Near-eye,-1.75,-1.5,-1.625,0.01778279410038923,0.03162277660168379,0.023713737056616554,14,93
Near-eye,-1.5,-1.25,-1.375,0.03162277660168379,0.05623413251903491,0.042169650342858224,15,134
Near-eye,-1.25,-1,-1.125,0.05623413251903491,0.1,0.07498942093324558,16,158
Near-eye,-1,-0.75,-0.875,0.1,0.1778279410038923,0.1333521432163324,17,197
Near-eye,-0.75,-0.5,-0.625,0.1778279410038923,0.31622776601683794,0.23713737056616552,18,218
Near-eye,-0.5,-0.25,-0.375,0.31622776601683794,0.5623413251903491,0.4216965034285822,19,276
Near-eye,-0.25,0,-0.125,0.5623413251903491,1,0.7498942093324559,20,324
Near-eye,0,0.25,0.125,1,1.7782794100389228,1.333521432163324,21,373
Near-eye,0.25,0.5,0.375,1.7782794100389228,3.1622776601683795,2.371373705661655,22,521
Near-eye,0.5,0.75,0.625,3.1622776601683795,5.623413251903491,4.216965034285822,23,649
Near-eye,0.75,1,0.875,5.623413251903491,10,7.498942093324558,24,874
Near-eye,1,1.25,1.125,10,17.78279410038923,13.33521432163324,25,979
Near-eye,1.25,1.5,1.375,17.78279410038923,31.622776601683793,23.71373705661655,26,1080
Near-eye,1.5,1.75,1.625,31.622776601683793,56.23413251903491,42.169650342858226,27,1125
Near-eye,1.75,2,1.875,56.23413251903491,100,74.98942093324558,28,1177
Near-eye,2,2.25,2.125,100,177.82794100389228,133.3521432163324,29,1345
Near-eye,2.25,2.5,2.375,177.82794100389228,316.22776601683796,237.13737056616552,30,1300
Near-eye,2.5,2.75,2.625,316.22776601683796,562.341325190349,421.6965034285823,31,819
Near-eye,2.75,3,2.875,562.341325190349,1000,749.8942093324558,32,429
Near-eye,3,3.25,3.125,1000,1778.2794100389228,1333.521432163324,33,251
Near-eye,3.25,3.5,3.375,1778.2794100389228,3162.2776601683795,2371.373705661655,34,140
Near-eye,3.5,3.75,3.625,3162.2776601683795,5623.413251903491,4216.965034285822,35,93
Near-eye,3.75,4,3.875,5623.413251903491,10000,7498.942093324558,36,51
Near-eye,4,4.25,4.125,10000,17782.794100389227,13335.21432163324,37,28
Near-eye,4.25,4.5,4.375,17782.794100389227,31622.776601683792,23713.737056616552,38,12
