"check","status","detail"
"parseable_xml","PASS","xml2::read_xml succeeded"
"width_unchanged","PASS","756.00pt"
"origin_unchanged","PASS","0 0"
"bottom_extension_at_most_36_points","PASS","36 points"
"visible_text_identical","PASS","34 text nodes"
"graphical_element_counts_identical","PASS","rect=13; line=3; polyline=41; polygon=3; path=0; circle=11; text=34"
"unique_ids","PASS","6 unique IDs"
"local_references_resolve","PASS","11 local references"
"image_elements_absent","PASS","0"
"raster_payload_absent","PASS","0"
"script_elements_absent","PASS","0"
"foreign_objects_absent","PASS","0"
"metadata_absent","PASS","0"
"external_resources_absent","PASS","0"
