"participant_id","behavioral_day_id","participant_state_id","behavior_date","analysis_state","day_type","valid_minutes","lower_cdf","upper_cdf","pearson_residual","quantile_residual","conditional_mean","exact_zero_probability","exact_one_probability","conditional_variance"
"SYNTHETIC-1","SYNTHETIC-DAY-1","SYNTHETIC-STATE-1",2000-01-01,"Daytime","Work day",100,0.2,0.8,0,0,0.6,0.1,0.1,0.02
"SYNTHETIC-1","SYNTHETIC-DAY-1","SYNTHETIC-STATE-2",2000-01-01,"Pre-sleep","Work day",100,0.2,0.8,0,0,0.6,0.1,0.1,0.02
"SYNTHETIC-1","SYNTHETIC-DAY-1","SYNTHETIC-STATE-3",2000-01-01,"Sleep","Work day",100,0.2,0.8,0,0,0.6,0.1,0.1,0.02
"SYNTHETIC-2","SYNTHETIC-DAY-2","SYNTHETIC-STATE-4",2000-01-02,"Daytime","Work day",100,0.2,0.8,0,0,0.6,0.1,0.1,0.02
"SYNTHETIC-2","SYNTHETIC-DAY-2","SYNTHETIC-STATE-5",2000-01-02,"Pre-sleep","Work day",100,0.2,0.8,0,0,0.6,0.1,0.1,0.02
"SYNTHETIC-2","SYNTHETIC-DAY-2","SYNTHETIC-STATE-6",2000-01-02,"Sleep","Work day",100,0.2,0.8,0,0,0.6,0.1,0.1,0.02
"SYNTHETIC-3","SYNTHETIC-DAY-3","SYNTHETIC-STATE-7",2000-01-03,"Daytime","Work day",100,0.2,0.8,0,0,0.6,0.1,0.1,0.02
"SYNTHETIC-3","SYNTHETIC-DAY-3","SYNTHETIC-STATE-8",2000-01-03,"Pre-sleep","Work day",100,0.2,0.8,0,0,0.6,0.1,0.1,0.02
"SYNTHETIC-3","SYNTHETIC-DAY-3","SYNTHETIC-STATE-9",2000-01-03,"Sleep","Work day",100,0.2,0.8,0,0,0.6,0.1,0.1,0.02
"SYNTHETIC-4","SYNTHETIC-DAY-4","SYNTHETIC-STATE-10",2000-01-04,"Daytime","Free day",100,0.2,0.8,0,0,0.6,0.1,0.1,0.02
"SYNTHETIC-4","SYNTHETIC-DAY-4","SYNTHETIC-STATE-11",2000-01-04,"Pre-sleep","Free day",100,0.2,0.8,0,0,0.6,0.1,0.1,0.02
"SYNTHETIC-4","SYNTHETIC-DAY-4","SYNTHETIC-STATE-12",2000-01-04,"Sleep","Free day",100,0.2,0.8,0,0,0.6,0.1,0.1,0.02
"SYNTHETIC-5","SYNTHETIC-DAY-5","SYNTHETIC-STATE-13",2000-01-05,"Daytime","Free day",100,0.2,0.8,0,0,0.6,0.1,0.1,0.02
"SYNTHETIC-5","SYNTHETIC-DAY-5","SYNTHETIC-STATE-14",2000-01-05,"Pre-sleep","Free day",100,0.2,0.8,0,0,0.6,0.1,0.1,0.02
"SYNTHETIC-5","SYNTHETIC-DAY-5","SYNTHETIC-STATE-15",2000-01-05,"Sleep","Free day",100,0.2,0.8,0,0,0.6,0.1,0.1,0.02
"SYNTHETIC-6","SYNTHETIC-DAY-6","SYNTHETIC-STATE-16",2000-01-06,"Daytime","Free day",100,0.2,0.8,0,0,0.6,0.1,0.1,0.02
"SYNTHETIC-6","SYNTHETIC-DAY-6","SYNTHETIC-STATE-17",2000-01-06,"Pre-sleep","Free day",100,0.2,0.8,0,0,0.6,0.1,0.1,0.02
"SYNTHETIC-6","SYNTHETIC-DAY-6","SYNTHETIC-STATE-18",2000-01-06,"Sleep","Free day",100,0.2,0.8,0,0,0.6,0.1,0.1,0.02
