"table_index","table_endpoint","attribute","attribute_index","pre_value_start_byte","pre_value_end_byte","pre_value","post_value","intended_pre_ids","intended_post_ids","post_value_start_byte","post_value_end_byte","pre_value_bytes","post_value_bytes"
1,"tbl-h06-primary-effects","id",1,2490183,2490191,"Predictor","tbl-h06-primary-effects--gt-0001","","",2490183,2490214,9,32
1,"tbl-h06-primary-effects","id",2,2490318,2490331,"Ratio-(95%-CI)","tbl-h06-primary-effects--gt-0002","","",2490341,2490372,14,32
1,"tbl-h06-primary-effects","id",3,2490463,2490476,"FDR-adjusted-p","tbl-h06-primary-effects--gt-0003","","",2490504,2490535,14,32
1,"tbl-h06-primary-effects","headers",1,2490697,2490705,"Predictor","tbl-h06-primary-effects--gt-0001","Predictor","tbl-h06-primary-effects--gt-0001",2490756,2490787,9,32
1,"tbl-h06-primary-effects","headers",2,2490774,2490787,"Ratio (95% CI)","tbl-h06-primary-effects--gt-0002","Ratio-(95%-CI)","tbl-h06-primary-effects--gt-0002",2490856,2490887,14,32
1,"tbl-h06-primary-effects","headers",3,2490853,2490866,"FDR-adjusted p","tbl-h06-primary-effects--gt-0003","FDR-adjusted-p","tbl-h06-primary-effects--gt-0003",2490953,2490984,14,32
1,"tbl-h06-primary-effects","headers",4,2490968,2490976,"Predictor","tbl-h06-primary-effects--gt-0001","Predictor","tbl-h06-primary-effects--gt-0001",2491086,2491117,9,32
1,"tbl-h06-primary-effects","headers",5,2491055,2491068,"Ratio (95% CI)","tbl-h06-primary-effects--gt-0002","Ratio-(95%-CI)","tbl-h06-primary-effects--gt-0002",2491196,2491227,14,32
1,"tbl-h06-primary-effects","headers",6,2491145,2491158,"FDR-adjusted p","tbl-h06-primary-effects--gt-0003","FDR-adjusted-p","tbl-h06-primary-effects--gt-0003",2491304,2491335,14,32
1,"tbl-h06-primary-effects","headers",7,2491252,2491260,"Predictor","tbl-h06-primary-effects--gt-0001","Predictor","tbl-h06-primary-effects--gt-0001",2491429,2491460,9,32
1,"tbl-h06-primary-effects","headers",8,2491339,2491352,"Ratio (95% CI)","tbl-h06-primary-effects--gt-0002","Ratio-(95%-CI)","tbl-h06-primary-effects--gt-0002",2491539,2491570,14,32
1,"tbl-h06-primary-effects","headers",9,2491418,2491431,"FDR-adjusted p","tbl-h06-primary-effects--gt-0003","FDR-adjusted-p","tbl-h06-primary-effects--gt-0003",2491636,2491667,14,32
2,"tbl-h06-primary-site-interactions","id",1,2502981,2502989,"Predictor","tbl-h06-primary-site-interactions--gt-0001","","",2503217,2503258,9,42
2,"tbl-h06-primary-site-interactions","id",2,2503116,2503119,"Test","tbl-h06-primary-site-interactions--gt-0002","","",2503385,2503426,4,42
2,"tbl-h06-primary-site-interactions","id",3,2503241,2503254,"FDR-adjusted-p","tbl-h06-primary-site-interactions--gt-0003","","",2503548,2503589,14,42
2,"tbl-h06-primary-site-interactions","headers",1,2503476,2503484,"Predictor","tbl-h06-primary-site-interactions--gt-0001","Predictor","tbl-h06-primary-site-interactions--gt-0001",2503811,2503852,9,42
2,"tbl-h06-primary-site-interactions","headers",2,2503553,2503556,"Test","tbl-h06-primary-site-interactions--gt-0002","Test","tbl-h06-primary-site-interactions--gt-0002",2503921,2503962,4,42
2,"tbl-h06-primary-site-interactions","headers",3,2503618,2503631,"FDR-adjusted p","tbl-h06-primary-site-interactions--gt-0003","FDR-adjusted-p","tbl-h06-primary-site-interactions--gt-0003",2504024,2504065,14,42
2,"tbl-h06-primary-site-interactions","headers",4,2503733,2503741,"Predictor","tbl-h06-primary-site-interactions--gt-0001","Predictor","tbl-h06-primary-site-interactions--gt-0001",2504167,2504208,9,42
2,"tbl-h06-primary-site-interactions","headers",5,2503820,2503823,"Test","tbl-h06-primary-site-interactions--gt-0002","Test","tbl-h06-primary-site-interactions--gt-0002",2504287,2504328,4,42
2,"tbl-h06-primary-site-interactions","headers",6,2503896,2503909,"FDR-adjusted p","tbl-h06-primary-site-interactions--gt-0003","FDR-adjusted-p","tbl-h06-primary-site-interactions--gt-0003",2504401,2504442,14,42
2,"tbl-h06-primary-site-interactions","headers",7,2503982,2503990,"Predictor","tbl-h06-primary-site-interactions--gt-0001","Predictor","tbl-h06-primary-site-interactions--gt-0001",2504515,2504556,9,42
2,"tbl-h06-primary-site-interactions","headers",8,2504069,2504072,"Test","tbl-h06-primary-site-interactions--gt-0002","Test","tbl-h06-primary-site-interactions--gt-0002",2504635,2504676,4,42
2,"tbl-h06-primary-site-interactions","headers",9,2504134,2504147,"FDR-adjusted p","tbl-h06-primary-site-interactions--gt-0003","FDR-adjusted-p","tbl-h06-primary-site-interactions--gt-0003",2504738,2504779,14,42
3,"tbl-h06-site-specific-associations","id",1,2774023,2774030,"Location","tbl-h06-site-specific-associations--gt-0001","","",2774655,2774697,8,43
