item,observed,expected,status
order_48c_sha256,54f61abd4e377fc750bd878beb5939cbdb099913bfed9bca56d50a34a81098a8,54f61abd4e377fc750bd878beb5939cbdb099913bfed9bca56d50a34a81098a8,PASS
dispatch_manifest_sha256,5cec9bce6136fdc91e4d9fec3d044417460b2cbbb777374af41f6d7fefb01c91,5cec9bce6136fdc91e4d9fec3d044417460b2cbbb777374af41f6d7fefb01c91,PASS
central_checker_status,"H06_DAILY_ORDER48B_VERIFIER_STOP=PASS owner_rows=32 protected_unchanged=3368 html_transition=1 tables=14 substitutions=818 main_matches=1 prospective_test=4ca687f7731c",PASS,PASS
independent_manifest_rows,20,20,PASS
authorized_evidence_additions,10,10,PASS
protected_set_current_pre_edit,3379,3379,PASS
unauthorized_eleventh_addition,FALSE,FALSE,PASS
verifier_postimage_sha256,54ed2e2ece2e90d1e316f3a94869b280d0cc7487b88df9ba480f560f7b25f543,54ed2e2ece2e90d1e316f3a94869b280d0cc7487b88df9ba480f560f7b25f543,PASS
verifier_postimage_bytes,66167,66167,PASS
verifier_reverse_sha256,aca33f5815bb34979513caa7a50a9a38ba66e7bb22d228c8c04f6afb010e42f7,aca33f5815bb34979513caa7a50a9a38ba66e7bb22d228c8c04f6afb010e42f7,PASS
verifier_reverse_bytes,63149,63149,PASS
r_parse,TRUE,TRUE,PASS
air_format_check,TRUE,TRUE,PASS
postrender_verifier_runs,1,1,PASS
postrender_verifier_exit_code,1,0,FAIL_CLOSED
postrender_verifier_error,A current display-manifest member changed.,no error,FAIL_CLOSED
display_manifest_rows,29,29,PASS
display_manifest_mismatches,1,0,FAIL_CLOSED
failure_classification,DISPLAY_MANIFEST_SELF_TRANSITION_UNCLASSIFIED,no verifier-harness defect,FAIL_CLOSED
quarto_commands_under_order48c,0,0,PASS
browser_qa_started,FALSE,FALSE,PASS
postqa_verifier_started,FALSE,FALSE,PASS
sealed_utc,2026-08-21T07:21:27Z,recorded,PASS
