run_id,placement_label,placement,activity_code,activity_label,biological_sex,participants,participant_days,observations_30_minute,nominal_observation_hours
activity_context__glasses,Near eye,glasses,home,Home,Male,55,305,3834,1917
activity_context__glasses,Near eye,glasses,home,Home,Female,71,401,5436,2718
activity_context__glasses,Near eye,glasses,sleep,Sleep,Male,55,309,4758,2379
activity_context__glasses,Near eye,glasses,sleep,Sleep,Female,70,404,6693,3346.5
activity_context__glasses,Near eye,glasses,road_vehicle,Public transport/car,Male,44,120,494,247
activity_context__glasses,Near eye,glasses,road_vehicle,Public transport/car,Female,57,158,554,277
activity_context__glasses,Near eye,glasses,working_indoor,Indoor work/home office,Male,54,228,3142,1571
activity_context__glasses,Near eye,glasses,working_indoor,Indoor work/home office,Female,70,277,3601,1800.5
activity_context__glasses,Near eye,glasses,outdoor,Outdoors/active travel,Male,49,163,970,485
activity_context__glasses,Near eye,glasses,outdoor,Outdoors/active travel,Female,64,223,1017,508.5
activity_context__chest,Chest,chest,home,Home,Male,67,381,4799,2399.5
activity_context__chest,Chest,chest,home,Home,Female,83,468,6295,3147.5
activity_context__chest,Chest,chest,sleep,Sleep,Male,67,391,6117,3058.5
activity_context__chest,Chest,chest,sleep,Sleep,Female,82,476,7712,3856
activity_context__chest,Chest,chest,road_vehicle,Public transport/car,Male,53,149,607,303.5
activity_context__chest,Chest,chest,road_vehicle,Public transport/car,Female,72,209,784,392
activity_context__chest,Chest,chest,working_indoor,Indoor work/home office,Male,66,283,3948,1974
activity_context__chest,Chest,chest,working_indoor,Indoor work/home office,Female,81,316,4188,2094
activity_context__chest,Chest,chest,outdoor,Outdoors/active travel,Male,58,194,1159,579.5
activity_context__chest,Chest,chest,outdoor,Outdoors/active travel,Female,74,232,1102,551
