comparison_id,comparison_role,placement,metric_id,run_a,run_b,metric_order,manuscript_name,effect_scale,display_unit
paired_sample__chest,placement_sample_restriction,chest,daily_geometric_mean_medi,primary__chest,paired__chest,1,Mean melEDI,ratio,lx
paired_sample__chest,placement_sample_restriction,chest,dose_time_sensitive_corrected_medi,primary__chest,paired__chest,9,melEDI dose,ratio,lx·h
paired_sample__chest,placement_sample_restriction,chest,duration_above_1000,primary__chest,paired__chest,4,"Time above 1,000 lx melEDI",ratio,h
paired_sample__chest,placement_sample_restriction,chest,duration_above_250_wake,primary__chest,paired__chest,5,Time above 250 lx melEDI during wake,ratio,h
paired_sample__chest,placement_sample_restriction,chest,duration_below_1_sleep_environment,primary__chest,paired__chest,7,Time below 1 lx melEDI during sleep,ratio,h
paired_sample__chest,placement_sample_restriction,chest,duration_below_10_pre_sleep,primary__chest,paired__chest,6,Time below 10 lx melEDI before sleep,difference,h
paired_sample__chest,placement_sample_restriction,chest,l10_mean_medi,primary__chest,paired__chest,3,Darkest 10 h mean,ratio,lx
paired_sample__chest,placement_sample_restriction,chest,longest_bout_above_250,primary__chest,paired__chest,8,Longest continuous period above 250 lx melEDI,ratio,h
paired_sample__chest,placement_sample_restriction,chest,m10_mean_medi,primary__chest,paired__chest,2,Brightest 10 h mean,ratio,lx
paired_sample__near_eye,placement_sample_restriction,near_eye,daily_geometric_mean_medi,primary__near_eye,paired__near_eye,1,Mean melEDI,ratio,lx
paired_sample__near_eye,placement_sample_restriction,near_eye,dose_time_sensitive_corrected_medi,primary__near_eye,paired__near_eye,9,melEDI dose,ratio,lx·h
paired_sample__near_eye,placement_sample_restriction,near_eye,duration_above_1000,primary__near_eye,paired__near_eye,4,"Time above 1,000 lx melEDI",ratio,h
paired_sample__near_eye,placement_sample_restriction,near_eye,duration_above_250_wake,primary__near_eye,paired__near_eye,5,Time above 250 lx melEDI during wake,ratio,h
paired_sample__near_eye,placement_sample_restriction,near_eye,duration_below_1_sleep_environment,primary__near_eye,paired__near_eye,7,Time below 1 lx melEDI during sleep,ratio,h
paired_sample__near_eye,placement_sample_restriction,near_eye,duration_below_10_pre_sleep,primary__near_eye,paired__near_eye,6,Time below 10 lx melEDI before sleep,difference,h
paired_sample__near_eye,placement_sample_restriction,near_eye,l10_mean_medi,primary__near_eye,paired__near_eye,3,Darkest 10 h mean,ratio,lx
paired_sample__near_eye,placement_sample_restriction,near_eye,longest_bout_above_250,primary__near_eye,paired__near_eye,8,Longest continuous period above 250 lx melEDI,ratio,h
paired_sample__near_eye,placement_sample_restriction,near_eye,m10_mean_medi,primary__near_eye,paired__near_eye,2,Brightest 10 h mean,ratio,lx
gap_total__chest,preparation_total_difference,chest,daily_geometric_mean_medi,primary__chest,gap_timing_unaware__chest,1,Mean melEDI,ratio,lx
gap_total__chest,preparation_total_difference,chest,dose_time_sensitive_corrected_medi,primary__chest,gap_timing_unaware__chest,9,melEDI dose,ratio,lx·h
gap_total__chest,preparation_total_difference,chest,duration_above_1000,primary__chest,gap_timing_unaware__chest,4,"Time above 1,000 lx melEDI",ratio,h
gap_total__chest,preparation_total_difference,chest,duration_above_250_wake,primary__chest,gap_timing_unaware__chest,5,Time above 250 lx melEDI during wake,ratio,h
gap_total__chest,preparation_total_difference,chest,duration_below_1_sleep_environment,primary__chest,gap_timing_unaware__chest,7,Time below 1 lx melEDI during sleep,ratio,h
gap_total__chest,preparation_total_difference,chest,duration_below_10_pre_sleep,primary__chest,gap_timing_unaware__chest,6,Time below 10 lx melEDI before sleep,difference,h
gap_total__chest,preparation_total_difference,chest,l10_mean_medi,primary__chest,gap_timing_unaware__chest,3,Darkest 10 h mean,ratio,lx
gap_total__chest,preparation_total_difference,chest,longest_bout_above_250,primary__chest,gap_timing_unaware__chest,8,Longest continuous period above 250 lx melEDI,ratio,h
gap_total__chest,preparation_total_difference,chest,m10_mean_medi,primary__chest,gap_timing_unaware__chest,2,Brightest 10 h mean,ratio,lx
gap_total__near_eye,preparation_total_difference,near_eye,daily_geometric_mean_medi,primary__near_eye,gap_timing_unaware__near_eye,1,Mean melEDI,ratio,lx
gap_total__near_eye,preparation_total_difference,near_eye,dose_time_sensitive_corrected_medi,primary__near_eye,gap_timing_unaware__near_eye,9,melEDI dose,ratio,lx·h
gap_total__near_eye,preparation_total_difference,near_eye,duration_above_1000,primary__near_eye,gap_timing_unaware__near_eye,4,"Time above 1,000 lx melEDI",ratio,h
gap_total__near_eye,preparation_total_difference,near_eye,duration_above_250_wake,primary__near_eye,gap_timing_unaware__near_eye,5,Time above 250 lx melEDI during wake,ratio,h
gap_total__near_eye,preparation_total_difference,near_eye,duration_below_1_sleep_environment,primary__near_eye,gap_timing_unaware__near_eye,7,Time below 1 lx melEDI during sleep,ratio,h
gap_total__near_eye,preparation_total_difference,near_eye,duration_below_10_pre_sleep,primary__near_eye,gap_timing_unaware__near_eye,6,Time below 10 lx melEDI before sleep,difference,h
