within_omission_observed_range,difference_from_main,ratio_to_main,run_id,placement,metric_id,omitted_site,photoperiod_hours,response_estimate,response_lower_pointwise,response_upper_pointwise,main_response_estimate,main_pooled_eligible,main_loso_eligible
FALSE,0.015381015395410813,1.0073191269491528,loso__chest__omit_rise,chest,daily_geometric_mean_medi,RISE,10.3,2.1168632689845777,1.1892434230732178,3.71191221566068,2.101482253589167,FALSE,FALSE
TRUE,0.01561893239725931,1.0072745338375917,loso__chest__omit_rise,chest,daily_geometric_mean_medi,RISE,10.4,2.162688799135326,1.247912694107439,3.6982879930681767,2.1470698667380668,FALSE,FALSE
TRUE,0.015858478703805634,1.0072294321560635,loso__chest__omit_rise,chest,daily_geometric_mean_medi,RISE,10.5,2.2094579705400417,1.3084155570106928,3.68694774503292,2.193599491836236,FALSE,FALSE
TRUE,0.01609500925918539,1.0071817944459647,loso__chest__omit_rise,chest,daily_geometric_mean_medi,RISE,10.6,2.2571796546473233,1.3706106457115017,3.678223651845701,2.241084645388138,FALSE,FALSE
TRUE,0.016320326023986365,1.0071282307333504,loso__chest__omit_rise,chest,daily_geometric_mean_medi,RISE,10.7,2.305854241870657,1.4343010495782857,3.6724895219995752,2.2895339158466705,FALSE,FALSE
TRUE,0.016523613297219963,1.0070645379500376,loso__chest__omit_rise,chest,daily_geometric_mean_medi,RISE,10.8,2.355475348581167,1.4992431894618787,3.6701327898220355,2.338951735283947,FALSE,FALSE
TRUE,0.016691942662558468,1.006986009958385,loso__chest__omit_rise,chest,daily_geometric_mean_medi,RISE,10.9,2.406030458065635,1.5651542904333513,3.6715355825184557,2.3893385154030766,FALSE,FALSE
TRUE,0.016810821556554334,1.0068877303458426,loso__chest__omit_rise,chest,daily_geometric_mean_medi,RISE,11,2.457501834772732,1.6317215468245043,3.677059681944784,2.4406910132161777,FALSE,FALSE
TRUE,0.0168645682365125,1.0067647637852055,loso__chest__omit_rise,chest,daily_geometric_mean_medi,RISE,11.1,2.509866359872639,1.6986090586999303,3.687038869535259,2.4930017916361265,FALSE,FALSE
TRUE,0.016836740325568922,1.0066123443854547,loso__chest__omit_rise,chest,daily_geometric_mean_medi,RISE,11.2,2.563095577449208,1.7654650915065606,3.7017747353835113,2.546258837123639,FALSE,FALSE
TRUE,0.016710417729259852,1.0064259813154501,loso__chest__omit_rise,chest,daily_geometric_mean_medi,RISE,11.3,2.617156467748525,1.8319321325406575,3.7215313808764274,2.600446050019265,FALSE,FALSE
TRUE,0.016468396234646576,1.0062015161422029,loso__chest__omit_rise,chest,daily_geometric_mean_medi,RISE,11.4,2.6720119531682047,1.8976570664778474,3.746531217720704,2.655543556933558,FALSE,FALSE
TRUE,0.01609321329275959,1.005935108807179,loso__chest__omit_rise,chest,daily_geometric_mean_medi,RISE,11.5,2.7276211423668726,1.9623031547558107,3.7769476283455754,2.711527929074113,FALSE,FALSE
