run_id,placement,metric_id,metric_order,manuscript_name,primary_plateau_pattern,primary_plateau_start,primary_disposition,comparison_plateau_pattern,comparison_plateau_start,comparison_disposition,classification_agrees,boundary_difference_hours
primary__near_eye,near_eye,daily_geometric_mean_medi,1,Mean melEDI,TRUE,16.199609975086318,DERIVATIVE_DEFINED_PLATEAU_PATTERN,TRUE,16.40557365870034,DERIVATIVE_DEFINED_PLATEAU_PATTERN,TRUE,-0.20596368361402284
primary__near_eye,near_eye,m10_mean_medi,2,Brightest 10 h mean,TRUE,15.272773398823208,DERIVATIVE_DEFINED_PLATEAU_PATTERN,TRUE,16.40557365870034,DERIVATIVE_DEFINED_PLATEAU_PATTERN,TRUE,-1.1328002598771327
primary__near_eye,near_eye,l10_mean_medi,3,Darkest 10 h mean,TRUE,14.96382787340217,DERIVATIVE_DEFINED_PLATEAU_PATTERN,TRUE,15.272773398823208,DERIVATIVE_DEFINED_PLATEAU_PATTERN,TRUE,-0.3089455254210378
primary__near_eye,near_eye,duration_above_1000,4,"Time above 1,000 lx melEDI",TRUE,14.96382787340217,DERIVATIVE_DEFINED_PLATEAU_PATTERN,TRUE,15.89066444966528,DERIVATIVE_DEFINED_PLATEAU_PATTERN,TRUE,-0.9268365762631099
primary__near_eye,near_eye,duration_above_250_wake,5,Time above 250 lx melEDI during wake,TRUE,14.44891866436711,DERIVATIVE_DEFINED_PLATEAU_PATTERN,TRUE,15.066809715209184,DERIVATIVE_DEFINED_PLATEAU_PATTERN,TRUE,-0.6178910508420739
primary__near_eye,near_eye,duration_below_10_pre_sleep,6,Time below 10 lx melEDI before sleep,FALSE,,NO_POINTWISE_DETECTED_PRIOR_INCREASE,FALSE,,NO_POINTWISE_DETECTED_PRIOR_INCREASE,TRUE,
primary__near_eye,near_eye,duration_below_1_sleep_environment,7,Time below 1 lx melEDI during sleep,FALSE,,NO_POINTWISE_DETECTED_PRIOR_INCREASE,FALSE,,NO_POINTWISE_DETECTED_PRIOR_INCREASE,TRUE,
primary__near_eye,near_eye,longest_bout_above_250,8,Longest continuous period above 250 lx melEDI,FALSE,,POINTWISE_DETECTED_INCREASE_AT_RECORDED_END,FALSE,,POINTWISE_DETECTED_INCREASE_AT_RECORDED_END,TRUE,
primary__near_eye,near_eye,dose_time_sensitive_corrected_medi,9,melEDI dose,TRUE,14.345936822560098,DERIVATIVE_DEFINED_PLATEAU_PATTERN,TRUE,16.30259181689333,DERIVATIVE_DEFINED_PLATEAU_PATTERN,TRUE,-1.9566549943332312
primary__chest,chest,daily_geometric_mean_medi,1,Mean melEDI,TRUE,15.684700766051257,DERIVATIVE_DEFINED_PLATEAU_PATTERN,TRUE,16.508555500507356,DERIVATIVE_DEFINED_PLATEAU_PATTERN,TRUE,-0.8238547344560985
primary__chest,chest,m10_mean_medi,2,Brightest 10 h mean,FALSE,,POINTWISE_DETECTED_INCREASE_AT_RECORDED_END,FALSE,,POINTWISE_DETECTED_INCREASE_AT_RECORDED_END,TRUE,
primary__chest,chest,l10_mean_medi,3,Darkest 10 h mean,TRUE,14.242954980753087,DERIVATIVE_DEFINED_PLATEAU_PATTERN,TRUE,14.551900506174123,DERIVATIVE_DEFINED_PLATEAU_PATTERN,TRUE,-0.30894552542103604
primary__chest,chest,duration_above_1000,4,"Time above 1,000 lx melEDI",TRUE,13.522082088104,DERIVATIVE_DEFINED_PLATEAU_PATTERN,TRUE,14.036991297139062,DERIVATIVE_DEFINED_PLATEAU_PATTERN,TRUE,-0.5149092090350624
primary__chest,chest,duration_above_250_wake,5,Time above 250 lx melEDI during wake,TRUE,13.110154720875952,DERIVATIVE_DEFINED_PLATEAU_PATTERN,TRUE,13.419100246296988,DERIVATIVE_DEFINED_PLATEAU_PATTERN,TRUE,-0.30894552542103604
primary__chest,chest,duration_below_10_pre_sleep,6,Time below 10 lx melEDI before sleep,FALSE,,NO_POINTWISE_DETECTED_PRIOR_INCREASE,FALSE,,NO_POINTWISE_DETECTED_PRIOR_INCREASE,TRUE,
primary__chest,chest,duration_below_1_sleep_environment,7,Time below 1 lx melEDI during sleep,TRUE,18.465210494840587,DERIVATIVE_DEFINED_PLATEAU_PATTERN,TRUE,18.877137862068636,DERIVATIVE_DEFINED_PLATEAU_PATTERN,TRUE,-0.41192736722804923
primary__chest,chest,longest_bout_above_250,8,Longest continuous period above 250 lx melEDI,TRUE,13.831027613525038,DERIVATIVE_DEFINED_PLATEAU_PATTERN,TRUE,15.066809715209184,DERIVATIVE_DEFINED_PLATEAU_PATTERN,TRUE,-1.235782101684146
primary__chest,chest,dose_time_sensitive_corrected_medi,9,melEDI dose,TRUE,13.213136562682964,DERIVATIVE_DEFINED_PLATEAU_PATTERN,TRUE,13.728045771718026,DERIVATIVE_DEFINED_PLATEAU_PATTERN,TRUE,-0.5149092090350624
