key_set,placement,metric_id,participants,participant_days,sites,metric_order,manuscript_name
longest_period_exact_only,chest,longest_bout_above_250,150,564,8,8,Longest continuous period above 250 lx melEDI
longest_period_exact_only,near_eye,longest_bout_above_250,132,500,9,8,Longest continuous period above 250 lx melEDI
observed_dose_common_sample,chest,dose_time_sensitive_corrected_medi,154,851,8,9,melEDI dose
observed_dose_common_sample,near_eye,dose_time_sensitive_corrected_medi,141,761,9,9,melEDI dose
paired_common_placement,both,daily_geometric_mean_medi,112,643,8,1,Mean melEDI
paired_common_placement,both,m10_mean_medi,112,643,8,2,Brightest 10 h mean
paired_common_placement,both,l10_mean_medi,112,643,8,3,Darkest 10 h mean
paired_common_placement,both,duration_above_1000,112,643,8,4,"Time above 1,000 lx melEDI"
paired_common_placement,both,duration_above_250_wake,112,578,8,5,Time above 250 lx melEDI during wake
paired_common_placement,both,duration_below_10_pre_sleep,110,505,8,6,Time below 10 lx melEDI before sleep
paired_common_placement,both,duration_below_1_sleep_environment,112,608,8,7,Time below 1 lx melEDI during sleep
paired_common_placement,both,longest_bout_above_250,112,643,8,8,Longest continuous period above 250 lx melEDI
paired_common_placement,both,dose_time_sensitive_corrected_medi,112,598,8,9,melEDI dose
preparation_exact_common,chest,daily_geometric_mean_medi,154,894,8,1,Mean melEDI
preparation_exact_common,chest,m10_mean_medi,154,894,8,2,Brightest 10 h mean
preparation_exact_common,chest,l10_mean_medi,154,894,8,3,Darkest 10 h mean
preparation_exact_common,chest,duration_above_1000,154,894,8,4,"Time above 1,000 lx melEDI"
preparation_exact_common,chest,duration_above_250_wake,153,800,8,5,Time above 250 lx melEDI during wake
preparation_exact_common,chest,duration_below_10_pre_sleep,153,740,8,6,Time below 10 lx melEDI before sleep
preparation_exact_common,chest,duration_below_1_sleep_environment,154,853,8,7,Time below 1 lx melEDI during sleep
preparation_exact_common,chest,longest_bout_above_250,154,894,8,8,Longest continuous period above 250 lx melEDI
preparation_exact_common,chest,dose_time_sensitive_corrected_medi,154,847,8,9,melEDI dose
preparation_exact_common,near_eye,daily_geometric_mean_medi,141,809,9,1,Mean melEDI
preparation_exact_common,near_eye,m10_mean_medi,141,809,9,2,Brightest 10 h mean
preparation_exact_common,near_eye,l10_mean_medi,141,809,9,3,Darkest 10 h mean
preparation_exact_common,near_eye,duration_above_1000,141,809,9,4,"Time above 1,000 lx melEDI"
preparation_exact_common,near_eye,duration_above_250_wake,140,719,9,5,Time above 250 lx melEDI during wake
preparation_exact_common,near_eye,duration_below_10_pre_sleep,139,653,9,6,Time below 10 lx melEDI before sleep
preparation_exact_common,near_eye,duration_below_1_sleep_environment,141,771,9,7,Time below 1 lx melEDI during sleep
preparation_exact_common,near_eye,longest_bout_above_250,141,809,9,8,Longest continuous period above 250 lx melEDI
preparation_exact_common,near_eye,dose_time_sensitive_corrected_medi,141,757,9,9,melEDI dose
