run_id,placement,metric_id,metric_order,manuscript_name,observed_grid_min,observed_grid_max,pooled_eligible_points,loso_eligible_points,supported_grid_min,supported_grid_max,supported_response_first,supported_response_last,supported_response_difference,supported_response_ratio,any_negative_point_estimate,any_negative_pointwise_lower,any_above_24_hour_point_estimate,support_disposition
primary__near_eye,near_eye,daily_geometric_mean_medi,1,Mean melEDI,10.3,20.6,4,0,10.600000000000001,11,2.3035497177118858,2.5664146820993414,0.26286496438745566,1.114112998024874,FALSE,FALSE,,NO_LOSO_STABLE_GRID_POINT
primary__near_eye,near_eye,m10_mean_medi,2,Brightest 10 h mean,10.3,20.6,4,0,10.600000000000001,11,35.267251831557495,40.523968725687084,5.256716894129589,1.1490537714488382,FALSE,FALSE,,NO_LOSO_STABLE_GRID_POINT
primary__near_eye,near_eye,l10_mean_medi,3,Darkest 10 h mean,10.3,20.6,4,0,10.600000000000001,11,0.06469371055542711,0.06712861891393215,0.0024349083585050446,1.037637481875752,FALSE,FALSE,,NO_LOSO_STABLE_GRID_POINT
primary__near_eye,near_eye,duration_above_1000,4,"Time above 1,000 lx melEDI",10.3,20.6,4,0,10.600000000000001,11,0.403338528214713,0.46270805954147787,0.05936953132676487,1.1471952892513162,FALSE,FALSE,FALSE,NO_LOSO_STABLE_GRID_POINT
primary__near_eye,near_eye,duration_above_250_wake,5,Time above 250 lx melEDI during wake,10.3,20.6,5,0,10.600000000000001,11,1.4439239419361585,1.5810799987795263,0.13715605684336785,1.0949884220767578,FALSE,FALSE,FALSE,NO_LOSO_STABLE_GRID_POINT
primary__near_eye,near_eye,duration_below_10_pre_sleep,6,Time below 10 lx melEDI before sleep,10.3,20.6,5,0,10.600000000000001,11,2.158186489477918,2.124232228966151,-0.033954260511766865,0.9842672258966922,FALSE,FALSE,FALSE,NO_LOSO_STABLE_GRID_POINT
primary__near_eye,near_eye,duration_below_1_sleep_environment,7,Time below 1 lx melEDI during sleep,10.3,20.6,5,0,10.600000000000001,11,7.679497729370064,7.558969711936924,-0.12052801743314046,0.9843052212943323,FALSE,FALSE,FALSE,NO_LOSO_STABLE_GRID_POINT
primary__near_eye,near_eye,longest_bout_above_250,8,Longest continuous period above 250 lx melEDI,10.3,20.6,4,0,10.600000000000001,11,0.40849264093752446,0.4282841953495127,0.01979155441198821,1.048450210428675,FALSE,FALSE,FALSE,NO_LOSO_STABLE_GRID_POINT
primary__near_eye,near_eye,dose_time_sensitive_corrected_medi,9,melEDI dose,10.3,20.6,4,0,10.600000000000001,11,2178.80204540849,2443.9702492187703,265.1682038102804,1.1217036693944198,FALSE,FALSE,,NO_LOSO_STABLE_GRID_POINT
primary__chest,chest,daily_geometric_mean_medi,1,Mean melEDI,10.3,20.6,0,0,,,,,,,FALSE,FALSE,,NO_LOSO_STABLE_GRID_POINT
primary__chest,chest,m10_mean_medi,2,Brightest 10 h mean,10.3,20.6,0,0,,,,,,,FALSE,FALSE,,NO_LOSO_STABLE_GRID_POINT
primary__chest,chest,l10_mean_medi,3,Darkest 10 h mean,10.3,20.6,0,0,,,,,,,FALSE,TRUE,,NO_LOSO_STABLE_GRID_POINT
primary__chest,chest,duration_above_1000,4,"Time above 1,000 lx melEDI",10.3,20.6,0,0,,,,,,,FALSE,FALSE,FALSE,NO_LOSO_STABLE_GRID_POINT
primary__chest,chest,duration_above_250_wake,5,Time above 250 lx melEDI during wake,10.3,20.6,0,0,,,,,,,FALSE,FALSE,FALSE,NO_LOSO_STABLE_GRID_POINT
primary__chest,chest,duration_below_10_pre_sleep,6,Time below 10 lx melEDI before sleep,10.3,20.6,0,0,,,,,,,FALSE,FALSE,FALSE,NO_LOSO_STABLE_GRID_POINT
primary__chest,chest,duration_below_1_sleep_environment,7,Time below 1 lx melEDI during sleep,10.3,20.6,0,0,,,,,,,FALSE,FALSE,FALSE,NO_LOSO_STABLE_GRID_POINT
primary__chest,chest,longest_bout_above_250,8,Longest continuous period above 250 lx melEDI,10.3,20.6,0,0,,,,,,,FALSE,FALSE,FALSE,NO_LOSO_STABLE_GRID_POINT
primary__chest,chest,dose_time_sensitive_corrected_medi,9,melEDI dose,10.3,20.6,0,0,,,,,,,FALSE,FALSE,,NO_LOSO_STABLE_GRID_POINT
