run_id,data_scenario,placement,sensitivity,key_rule,metric_id,metric_order,manuscript_name,method_id,grid_points,recorded_photoperiod_min,recorded_photoperiod_max,any_pointwise_detected_increase,any_pointwise_detected_decrease,plateau_pattern,last_detected_increase,plateau_transition_lower,plateau_start,plateau_tail_span_hours,plateau_start_fraction_of_recorded_range,derivative_before_transition,derivative_before_lower,derivative_before_upper,derivative_at_plateau_start,derivative_at_plateau_start_lower,derivative_at_plateau_start_upper,derivative_at_recorded_end,derivative_at_recorded_end_lower,derivative_at_recorded_end_upper,disposition
paired__near_eye,primary,near_eye,paired_common_placement,paired,daily_geometric_mean_medi,1,Mean melEDI,CENTRAL_UNCONDITIONAL_POINTWISE,100,10.329644992086623,20.52484733098083,TRUE,FALSE,TRUE,16.30259181689333,16.30259181689333,16.40557365870034,4.119273672280489,0.5959595959595958,0.05255128911910335,6.517293540860697e-5,0.10503740530279809,0.05098518459404247,-0.0032001998238671836,0.10517056901195213,0.01710907287390132,-0.11525337455955845,0.14947152030736108,DERIVATIVE_DEFINED_PLATEAU_PATTERN
paired__near_eye,primary,near_eye,paired_common_placement,paired,m10_mean_medi,2,Brightest 10 h mean,CENTRAL_UNCONDITIONAL_POINTWISE,100,10.329644992086623,20.52484733098083,TRUE,FALSE,FALSE,20.52484733098083,,,,,,,,,,,0.08102275254885415,0.043566117565798805,0.11847938753190948,POINTWISE_DETECTED_INCREASE_AT_RECORDED_END
paired__near_eye,primary,near_eye,paired_common_placement,paired,l10_mean_medi,3,Darkest 10 h mean,CENTRAL_UNCONDITIONAL_POINTWISE,100,10.329644992086623,20.52484733098083,TRUE,TRUE,FALSE,14.860846031595159,,,,,,,,,,,-0.09656565792540421,-0.24070506919848672,0.04757375334767831,LATER_POINTWISE_DETECTED_DECREASE
paired__near_eye,primary,near_eye,paired_common_placement,paired,duration_above_1000,4,"Time above 1,000 lx melEDI",CENTRAL_UNCONDITIONAL_POINTWISE,100,10.329644992086623,20.52484733098083,TRUE,FALSE,FALSE,20.52484733098083,,,,,,,,,,,0.15269041564390373,0.09270866948655752,0.21267216180124993,POINTWISE_DETECTED_INCREASE_AT_RECORDED_END
paired__near_eye,primary,near_eye,paired_common_placement,paired,duration_above_250_wake,5,Time above 250 lx melEDI during wake,CENTRAL_UNCONDITIONAL_POINTWISE,100,10.329644992086623,20.52484733098083,TRUE,FALSE,FALSE,20.52484733098083,,,,,,,,,,,0.0953253172439391,0.043632626675050586,0.14701800781282762,POINTWISE_DETECTED_INCREASE_AT_RECORDED_END
paired__near_eye,primary,near_eye,paired_common_placement,paired,duration_below_10_pre_sleep,6,Time below 10 lx melEDI before sleep,CENTRAL_UNCONDITIONAL_POINTWISE,100,10.329644992086623,20.52484733098083,FALSE,FALSE,FALSE,,,,,,,,,,,,-0.1465347416292633,-0.4037787481169811,0.11070926485845453,NO_POINTWISE_DETECTED_PRIOR_INCREASE
paired__near_eye,primary,near_eye,paired_common_placement,paired,duration_below_1_sleep_environment,7,Time below 1 lx melEDI during sleep,CENTRAL_UNCONDITIONAL_POINTWISE,100,10.329644992086623,20.52484733098083,FALSE,TRUE,FALSE,,,,,,,,,,,,0.07780841184760043,-0.021599471675491574,0.17721629537069244,NO_POINTWISE_DETECTED_PRIOR_INCREASE
paired__near_eye,primary,near_eye,paired_common_placement,paired,longest_bout_above_250,8,Longest continuous period above 250 lx melEDI,CENTRAL_UNCONDITIONAL_POINTWISE,100,10.329644992086623,20.52484733098083,TRUE,FALSE,FALSE,20.52484733098083,,,,,,,,,,,0.038485028166390566,0.02024179221518574,0.05672826411759539,POINTWISE_DETECTED_INCREASE_AT_RECORDED_END
paired__near_eye,primary,near_eye,paired_common_placement,paired,dose_time_sensitive_corrected_medi,9,melEDI dose,CENTRAL_UNCONDITIONAL_POINTWISE,100,10.329644992086623,20.52484733098083,TRUE,FALSE,FALSE,20.52484733098083,,,,,,,,,,,0.06941818320949894,0.035820472131985935,0.10301589428701194,POINTWISE_DETECTED_INCREASE_AT_RECORDED_END
paired__chest,primary,chest,paired_common_placement,paired,daily_geometric_mean_medi,1,Mean melEDI,CENTRAL_UNCONDITIONAL_POINTWISE,100,10.329644992086623,20.52484733098083,TRUE,FALSE,TRUE,16.199609975086318,16.199609975086318,16.30259181689333,4.2222555140875,0.5858585858585859,0.05477685635653974,6.076891050609545e-4,0.10894602360801853,0.054350579044038214,-0.0015032024262311844,0.11020436051430761,0.04680619586300425,-0.0614714271010754,0.1550838188270839,DERIVATIVE_DEFINED_PLATEAU_PATTERN
