run_id,metric_id,participants,participant_days,observations,sites,first_date,last_date,photoperiod_min,photoperiod_max,unique_photoperiod,unique_latitude,placement,omitted_site
loso__near_eye__omit_rise,daily_geometric_mean_medi,128,738,738,8,2023-08-15,2025-10-19,10.329644992086623,18.223782843152684,466,8,near_eye,RISE
loso__near_eye__omit_thuas,daily_geometric_mean_medi,128,738,738,8,2023-08-15,2025-10-19,10.329644992086623,20.52484733098083,461,8,near_eye,THUAS
loso__near_eye__omit_baua,daily_geometric_mean_medi,123,709,709,8,2023-08-15,2025-10-12,10.329644992086623,20.52484733098083,484,8,near_eye,BAUA
loso__near_eye__omit_mpi,daily_geometric_mean_medi,115,666,666,8,2024-05-14,2025-10-19,10.329644992086623,20.52484733098083,467,8,near_eye,MPI
loso__near_eye__omit_tum,daily_geometric_mean_medi,131,756,756,8,2023-08-15,2025-10-19,10.329644992086623,20.52484733098083,467,8,near_eye,TUM
loso__near_eye__omit_fuspceu,daily_geometric_mean_medi,118,687,687,8,2023-08-15,2025-10-19,10.489451321429677,20.52484733098083,455,8,near_eye,FUSPCEU
loso__near_eye__omit_iztech,daily_geometric_mean_medi,124,715,715,8,2023-08-15,2025-10-19,10.329644992086623,20.52484733098083,455,8,near_eye,IZTECH
loso__near_eye__omit_ucr,daily_geometric_mean_medi,135,784,784,8,2023-08-15,2025-10-19,10.329644992086623,20.52484733098083,515,8,near_eye,UCR
loso__near_eye__omit_knust,daily_geometric_mean_medi,126,735,735,8,2023-08-15,2025-10-19,10.329644992086623,20.52484733098083,446,8,near_eye,KNUST
loso__near_eye__omit_rise,m10_mean_medi,128,738,738,8,2023-08-15,2025-10-19,10.329644992086623,18.223782843152684,466,8,near_eye,RISE
loso__near_eye__omit_thuas,m10_mean_medi,128,738,738,8,2023-08-15,2025-10-19,10.329644992086623,20.52484733098083,461,8,near_eye,THUAS
loso__near_eye__omit_baua,m10_mean_medi,123,709,709,8,2023-08-15,2025-10-12,10.329644992086623,20.52484733098083,484,8,near_eye,BAUA
loso__near_eye__omit_mpi,m10_mean_medi,115,666,666,8,2024-05-14,2025-10-19,10.329644992086623,20.52484733098083,467,8,near_eye,MPI
loso__near_eye__omit_tum,m10_mean_medi,131,756,756,8,2023-08-15,2025-10-19,10.329644992086623,20.52484733098083,467,8,near_eye,TUM
loso__near_eye__omit_fuspceu,m10_mean_medi,118,687,687,8,2023-08-15,2025-10-19,10.489451321429677,20.52484733098083,455,8,near_eye,FUSPCEU
loso__near_eye__omit_iztech,m10_mean_medi,124,715,715,8,2023-08-15,2025-10-19,10.329644992086623,20.52484733098083,455,8,near_eye,IZTECH
loso__near_eye__omit_ucr,m10_mean_medi,135,784,784,8,2023-08-15,2025-10-19,10.329644992086623,20.52484733098083,515,8,near_eye,UCR
loso__near_eye__omit_knust,m10_mean_medi,126,735,735,8,2023-08-15,2025-10-19,10.329644992086623,20.52484733098083,446,8,near_eye,KNUST
loso__near_eye__omit_rise,l10_mean_medi,128,738,738,8,2023-08-15,2025-10-19,10.329644992086623,18.223782843152684,466,8,near_eye,RISE
loso__near_eye__omit_thuas,l10_mean_medi,128,738,738,8,2023-08-15,2025-10-19,10.329644992086623,20.52484733098083,461,8,near_eye,THUAS
loso__near_eye__omit_baua,l10_mean_medi,123,709,709,8,2023-08-15,2025-10-12,10.329644992086623,20.52484733098083,484,8,near_eye,BAUA
loso__near_eye__omit_mpi,l10_mean_medi,115,666,666,8,2024-05-14,2025-10-19,10.329644992086623,20.52484733098083,467,8,near_eye,MPI
loso__near_eye__omit_tum,l10_mean_medi,131,756,756,8,2023-08-15,2025-10-19,10.329644992086623,20.52484733098083,467,8,near_eye,TUM
loso__near_eye__omit_fuspceu,l10_mean_medi,118,687,687,8,2023-08-15,2025-10-19,10.489451321429677,20.52484733098083,455,8,near_eye,FUSPCEU
loso__near_eye__omit_iztech,l10_mean_medi,124,715,715,8,2023-08-15,2025-10-19,10.329644992086623,20.52484733098083,455,8,near_eye,IZTECH
loso__near_eye__omit_ucr,l10_mean_medi,135,784,784,8,2023-08-15,2025-10-19,10.329644992086623,20.52484733098083,515,8,near_eye,UCR
loso__near_eye__omit_knust,l10_mean_medi,126,735,735,8,2023-08-15,2025-10-19,10.329644992086623,20.52484733098083,446,8,near_eye,KNUST
loso__near_eye__omit_rise,duration_above_1000,128,738,738,8,2023-08-15,2025-10-19,10.329644992086623,18.223782843152684,466,8,near_eye,RISE
loso__near_eye__omit_thuas,duration_above_1000,128,738,738,8,2023-08-15,2025-10-19,10.329644992086623,20.52484733098083,461,8,near_eye,THUAS
loso__near_eye__omit_baua,duration_above_1000,123,709,709,8,2023-08-15,2025-10-12,10.329644992086623,20.52484733098083,484,8,near_eye,BAUA
loso__near_eye__omit_mpi,duration_above_1000,115,666,666,8,2024-05-14,2025-10-19,10.329644992086623,20.52484733098083,467,8,near_eye,MPI
loso__near_eye__omit_tum,duration_above_1000,131,756,756,8,2023-08-15,2025-10-19,10.329644992086623,20.52484733098083,467,8,near_eye,TUM
loso__near_eye__omit_fuspceu,duration_above_1000,118,687,687,8,2023-08-15,2025-10-19,10.489451321429677,20.52484733098083,455,8,near_eye,FUSPCEU
loso__near_eye__omit_iztech,duration_above_1000,124,715,715,8,2023-08-15,2025-10-19,10.329644992086623,20.52484733098083,455,8,near_eye,IZTECH
loso__near_eye__omit_ucr,duration_above_1000,135,784,784,8,2023-08-15,2025-10-19,10.329644992086623,20.52484733098083,515,8,near_eye,UCR
loso__near_eye__omit_knust,duration_above_1000,126,735,735,8,2023-08-15,2025-10-19,10.329644992086623,20.52484733098083,446,8,near_eye,KNUST
loso__near_eye__omit_rise,duration_above_250_wake,128,664,664,8,2023-08-15,2025-10-19,10.329644992086623,18.223782843152684,433,8,near_eye,RISE
loso__near_eye__omit_thuas,duration_above_250_wake,128,673,673,8,2023-08-15,2025-10-19,10.329644992086623,20.52484733098083,436,8,near_eye,THUAS
loso__near_eye__omit_baua,duration_above_250_wake,123,647,647,8,2023-08-15,2025-10-12,10.329644992086623,20.52484733098083,451,8,near_eye,BAUA
loso__near_eye__omit_mpi,duration_above_250_wake,115,596,596,8,2024-05-14,2025-10-19,10.329644992086623,20.52484733098083,429,8,near_eye,MPI
loso__near_eye__omit_tum,duration_above_250_wake,131,683,683,8,2023-08-15,2025-10-19,10.329644992086623,20.52484733098083,435,8,near_eye,TUM
loso__near_eye__omit_fuspceu,duration_above_250_wake,118,624,624,8,2023-08-15,2025-10-19,10.489451321429677,20.52484733098083,421,8,near_eye,FUSPCEU
loso__near_eye__omit_iztech,duration_above_250_wake,124,643,643,8,2023-08-15,2025-10-19,10.329644992086623,20.52484733098083,419,8,near_eye,IZTECH
loso__near_eye__omit_ucr,duration_above_250_wake,135,707,707,8,2023-08-15,2025-10-19,10.329644992086623,20.52484733098083,477,8,near_eye,UCR
loso__near_eye__omit_knust,duration_above_250_wake,126,659,659,8,2023-08-15,2025-10-19,10.329644992086623,20.52484733098083,411,8,near_eye,KNUST
loso__near_eye__omit_rise,duration_below_10_pre_sleep,126,588,588,8,2023-08-15,2025-10-19,10.329644992086623,18.217757501800854,396,8,near_eye,RISE
loso__near_eye__omit_thuas,duration_below_10_pre_sleep,127,605,605,8,2023-08-15,2025-10-19,10.329644992086623,20.52484733098083,407,8,near_eye,THUAS
loso__near_eye__omit_baua,duration_below_10_pre_sleep,121,571,571,8,2023-08-15,2025-10-11,10.329644992086623,20.52484733098083,411,8,near_eye,BAUA
loso__near_eye__omit_mpi,duration_below_10_pre_sleep,113,523,523,8,2024-05-14,2025-10-19,10.329644992086623,20.52484733098083,390,8,near_eye,MPI
