placement,metric_id,omitted_site,omitted_site_slug,run_id
chest,daily_geometric_mean_medi,RISE,rise,loso__chest__omit_rise
chest,daily_geometric_mean_medi,THUAS,thuas,loso__chest__omit_thuas
chest,daily_geometric_mean_medi,BAUA,baua,loso__chest__omit_baua
chest,daily_geometric_mean_medi,TUM,tum,loso__chest__omit_tum
chest,daily_geometric_mean_medi,FUSPCEU,fuspceu,loso__chest__omit_fuspceu
chest,daily_geometric_mean_medi,IZTECH,iztech,loso__chest__omit_iztech
chest,daily_geometric_mean_medi,UCR,ucr,loso__chest__omit_ucr
chest,daily_geometric_mean_medi,KNUST,knust,loso__chest__omit_knust
chest,dose_time_sensitive_corrected_medi,RISE,rise,loso__chest__omit_rise
chest,dose_time_sensitive_corrected_medi,THUAS,thuas,loso__chest__omit_thuas
chest,dose_time_sensitive_corrected_medi,BAUA,baua,loso__chest__omit_baua
chest,dose_time_sensitive_corrected_medi,TUM,tum,loso__chest__omit_tum
chest,dose_time_sensitive_corrected_medi,FUSPCEU,fuspceu,loso__chest__omit_fuspceu
chest,dose_time_sensitive_corrected_medi,IZTECH,iztech,loso__chest__omit_iztech
chest,dose_time_sensitive_corrected_medi,UCR,ucr,loso__chest__omit_ucr
chest,dose_time_sensitive_corrected_medi,KNUST,knust,loso__chest__omit_knust
chest,duration_above_1000,RISE,rise,loso__chest__omit_rise
chest,duration_above_1000,THUAS,thuas,loso__chest__omit_thuas
chest,duration_above_1000,BAUA,baua,loso__chest__omit_baua
chest,duration_above_1000,TUM,tum,loso__chest__omit_tum
chest,duration_above_1000,FUSPCEU,fuspceu,loso__chest__omit_fuspceu
chest,duration_above_1000,IZTECH,iztech,loso__chest__omit_iztech
chest,duration_above_1000,UCR,ucr,loso__chest__omit_ucr
chest,duration_above_1000,KNUST,knust,loso__chest__omit_knust
chest,duration_above_250_wake,RISE,rise,loso__chest__omit_rise
chest,duration_above_250_wake,THUAS,thuas,loso__chest__omit_thuas
chest,duration_above_250_wake,BAUA,baua,loso__chest__omit_baua
chest,duration_above_250_wake,TUM,tum,loso__chest__omit_tum
chest,duration_above_250_wake,FUSPCEU,fuspceu,loso__chest__omit_fuspceu
chest,duration_above_250_wake,IZTECH,iztech,loso__chest__omit_iztech
chest,duration_above_250_wake,UCR,ucr,loso__chest__omit_ucr
chest,duration_above_250_wake,KNUST,knust,loso__chest__omit_knust
chest,duration_below_1_sleep_environment,RISE,rise,loso__chest__omit_rise
chest,duration_below_1_sleep_environment,THUAS,thuas,loso__chest__omit_thuas
chest,duration_below_1_sleep_environment,BAUA,baua,loso__chest__omit_baua
chest,duration_below_1_sleep_environment,TUM,tum,loso__chest__omit_tum
chest,duration_below_1_sleep_environment,FUSPCEU,fuspceu,loso__chest__omit_fuspceu
chest,duration_below_1_sleep_environment,IZTECH,iztech,loso__chest__omit_iztech
chest,duration_below_1_sleep_environment,UCR,ucr,loso__chest__omit_ucr
chest,duration_below_1_sleep_environment,KNUST,knust,loso__chest__omit_knust
chest,duration_below_10_pre_sleep,RISE,rise,loso__chest__omit_rise
chest,duration_below_10_pre_sleep,THUAS,thuas,loso__chest__omit_thuas
chest,duration_below_10_pre_sleep,BAUA,baua,loso__chest__omit_baua
chest,duration_below_10_pre_sleep,TUM,tum,loso__chest__omit_tum
chest,duration_below_10_pre_sleep,FUSPCEU,fuspceu,loso__chest__omit_fuspceu
chest,duration_below_10_pre_sleep,IZTECH,iztech,loso__chest__omit_iztech
chest,duration_below_10_pre_sleep,UCR,ucr,loso__chest__omit_ucr
chest,duration_below_10_pre_sleep,KNUST,knust,loso__chest__omit_knust
chest,l10_mean_medi,RISE,rise,loso__chest__omit_rise
chest,l10_mean_medi,THUAS,thuas,loso__chest__omit_thuas
chest,l10_mean_medi,BAUA,baua,loso__chest__omit_baua
chest,l10_mean_medi,TUM,tum,loso__chest__omit_tum
chest,l10_mean_medi,FUSPCEU,fuspceu,loso__chest__omit_fuspceu
chest,l10_mean_medi,IZTECH,iztech,loso__chest__omit_iztech
chest,l10_mean_medi,UCR,ucr,loso__chest__omit_ucr
chest,l10_mean_medi,KNUST,knust,loso__chest__omit_knust
chest,longest_bout_above_250,RISE,rise,loso__chest__omit_rise
chest,longest_bout_above_250,THUAS,thuas,loso__chest__omit_thuas
chest,longest_bout_above_250,BAUA,baua,loso__chest__omit_baua
chest,longest_bout_above_250,TUM,tum,loso__chest__omit_tum
chest,longest_bout_above_250,FUSPCEU,fuspceu,loso__chest__omit_fuspceu
chest,longest_bout_above_250,IZTECH,iztech,loso__chest__omit_iztech
chest,longest_bout_above_250,UCR,ucr,loso__chest__omit_ucr
chest,longest_bout_above_250,KNUST,knust,loso__chest__omit_knust
chest,m10_mean_medi,RISE,rise,loso__chest__omit_rise
chest,m10_mean_medi,THUAS,thuas,loso__chest__omit_thuas
chest,m10_mean_medi,BAUA,baua,loso__chest__omit_baua
chest,m10_mean_medi,TUM,tum,loso__chest__omit_tum
chest,m10_mean_medi,FUSPCEU,fuspceu,loso__chest__omit_fuspceu
chest,m10_mean_medi,IZTECH,iztech,loso__chest__omit_iztech
chest,m10_mean_medi,UCR,ucr,loso__chest__omit_ucr
chest,m10_mean_medi,KNUST,knust,loso__chest__omit_knust
near_eye,daily_geometric_mean_medi,RISE,rise,loso__near_eye__omit_rise
near_eye,daily_geometric_mean_medi,THUAS,thuas,loso__near_eye__omit_thuas
near_eye,daily_geometric_mean_medi,BAUA,baua,loso__near_eye__omit_baua
near_eye,daily_geometric_mean_medi,MPI,mpi,loso__near_eye__omit_mpi
near_eye,daily_geometric_mean_medi,TUM,tum,loso__near_eye__omit_tum
near_eye,daily_geometric_mean_medi,FUSPCEU,fuspceu,loso__near_eye__omit_fuspceu
near_eye,daily_geometric_mean_medi,IZTECH,iztech,loso__near_eye__omit_iztech
near_eye,daily_geometric_mean_medi,UCR,ucr,loso__near_eye__omit_ucr
near_eye,daily_geometric_mean_medi,KNUST,knust,loso__near_eye__omit_knust
near_eye,dose_time_sensitive_corrected_medi,RISE,rise,loso__near_eye__omit_rise
near_eye,dose_time_sensitive_corrected_medi,THUAS,thuas,loso__near_eye__omit_thuas
near_eye,dose_time_sensitive_corrected_medi,BAUA,baua,loso__near_eye__omit_baua
near_eye,dose_time_sensitive_corrected_medi,MPI,mpi,loso__near_eye__omit_mpi
near_eye,dose_time_sensitive_corrected_medi,TUM,tum,loso__near_eye__omit_tum
near_eye,dose_time_sensitive_corrected_medi,FUSPCEU,fuspceu,loso__near_eye__omit_fuspceu
near_eye,dose_time_sensitive_corrected_medi,IZTECH,iztech,loso__near_eye__omit_iztech
near_eye,dose_time_sensitive_corrected_medi,UCR,ucr,loso__near_eye__omit_ucr
near_eye,dose_time_sensitive_corrected_medi,KNUST,knust,loso__near_eye__omit_knust
near_eye,duration_above_1000,RISE,rise,loso__near_eye__omit_rise
near_eye,duration_above_1000,THUAS,thuas,loso__near_eye__omit_thuas
near_eye,duration_above_1000,BAUA,baua,loso__near_eye__omit_baua
near_eye,duration_above_1000,MPI,mpi,loso__near_eye__omit_mpi
near_eye,duration_above_1000,TUM,tum,loso__near_eye__omit_tum
near_eye,duration_above_1000,FUSPCEU,fuspceu,loso__near_eye__omit_fuspceu
near_eye,duration_above_1000,IZTECH,iztech,loso__near_eye__omit_iztech
near_eye,duration_above_1000,UCR,ucr,loso__near_eye__omit_ucr
near_eye,duration_above_1000,KNUST,knust,loso__near_eye__omit_knust
near_eye,duration_above_250_wake,RISE,rise,loso__near_eye__omit_rise
near_eye,duration_above_250_wake,THUAS,thuas,loso__near_eye__omit_thuas
near_eye,duration_above_250_wake,BAUA,baua,loso__near_eye__omit_baua
near_eye,duration_above_250_wake,MPI,mpi,loso__near_eye__omit_mpi
near_eye,duration_above_250_wake,TUM,tum,loso__near_eye__omit_tum
near_eye,duration_above_250_wake,FUSPCEU,fuspceu,loso__near_eye__omit_fuspceu
near_eye,duration_above_250_wake,IZTECH,iztech,loso__near_eye__omit_iztech
near_eye,duration_above_250_wake,UCR,ucr,loso__near_eye__omit_ucr
near_eye,duration_above_250_wake,KNUST,knust,loso__near_eye__omit_knust
near_eye,duration_below_1_sleep_environment,RISE,rise,loso__near_eye__omit_rise
near_eye,duration_below_1_sleep_environment,THUAS,thuas,loso__near_eye__omit_thuas
near_eye,duration_below_1_sleep_environment,BAUA,baua,loso__near_eye__omit_baua
near_eye,duration_below_1_sleep_environment,MPI,mpi,loso__near_eye__omit_mpi
near_eye,duration_below_1_sleep_environment,TUM,tum,loso__near_eye__omit_tum
near_eye,duration_below_1_sleep_environment,FUSPCEU,fuspceu,loso__near_eye__omit_fuspceu
near_eye,duration_below_1_sleep_environment,IZTECH,iztech,loso__near_eye__omit_iztech
near_eye,duration_below_1_sleep_environment,UCR,ucr,loso__near_eye__omit_ucr
near_eye,duration_below_1_sleep_environment,KNUST,knust,loso__near_eye__omit_knust
near_eye,duration_below_10_pre_sleep,RISE,rise,loso__near_eye__omit_rise
near_eye,duration_below_10_pre_sleep,THUAS,thuas,loso__near_eye__omit_thuas
near_eye,duration_below_10_pre_sleep,BAUA,baua,loso__near_eye__omit_baua
near_eye,duration_below_10_pre_sleep,MPI,mpi,loso__near_eye__omit_mpi
near_eye,duration_below_10_pre_sleep,TUM,tum,loso__near_eye__omit_tum
near_eye,duration_below_10_pre_sleep,FUSPCEU,fuspceu,loso__near_eye__omit_fuspceu
near_eye,duration_below_10_pre_sleep,IZTECH,iztech,loso__near_eye__omit_iztech
near_eye,duration_below_10_pre_sleep,UCR,ucr,loso__near_eye__omit_ucr
near_eye,duration_below_10_pre_sleep,KNUST,knust,loso__near_eye__omit_knust
near_eye,l10_mean_medi,RISE,rise,loso__near_eye__omit_rise
near_eye,l10_mean_medi,THUAS,thuas,loso__near_eye__omit_thuas
near_eye,l10_mean_medi,BAUA,baua,loso__near_eye__omit_baua
near_eye,l10_mean_medi,MPI,mpi,loso__near_eye__omit_mpi
near_eye,l10_mean_medi,TUM,tum,loso__near_eye__omit_tum
near_eye,l10_mean_medi,FUSPCEU,fuspceu,loso__near_eye__omit_fuspceu
near_eye,l10_mean_medi,IZTECH,iztech,loso__near_eye__omit_iztech
near_eye,l10_mean_medi,UCR,ucr,loso__near_eye__omit_ucr
near_eye,l10_mean_medi,KNUST,knust,loso__near_eye__omit_knust
near_eye,longest_bout_above_250,RISE,rise,loso__near_eye__omit_rise
near_eye,longest_bout_above_250,THUAS,thuas,loso__near_eye__omit_thuas
near_eye,longest_bout_above_250,BAUA,baua,loso__near_eye__omit_baua
near_eye,longest_bout_above_250,MPI,mpi,loso__near_eye__omit_mpi
near_eye,longest_bout_above_250,TUM,tum,loso__near_eye__omit_tum
near_eye,longest_bout_above_250,FUSPCEU,fuspceu,loso__near_eye__omit_fuspceu
near_eye,longest_bout_above_250,IZTECH,iztech,loso__near_eye__omit_iztech
near_eye,longest_bout_above_250,UCR,ucr,loso__near_eye__omit_ucr
near_eye,longest_bout_above_250,KNUST,knust,loso__near_eye__omit_knust
