run_id,placement,metric_id,metric_order,manuscript_name,model_id,fit_status,plateau_pattern,plateau_start,disposition,main_plateau_pattern,main_plateau_start,main_disposition,classification_agrees,boundary_difference_hours
primary__near_eye,near_eye,daily_geometric_mean_medi,1,Mean melEDI,adapted_photoperiod_expanded_basis,WARN_CONCURVITY,TRUE,15.993646291472293,DERIVATIVE_DEFINED_PLATEAU_PATTERN,TRUE,16.199609975086318,DERIVATIVE_DEFINED_PLATEAU_PATTERN,TRUE,-0.20596368361402462
primary__near_eye,near_eye,daily_geometric_mean_medi,1,Mean melEDI,adapted_photoperiod_fixed_site,WARN_CONCURVITY,TRUE,15.993646291472293,DERIVATIVE_DEFINED_PLATEAU_PATTERN,TRUE,16.199609975086318,DERIVATIVE_DEFINED_PLATEAU_PATTERN,TRUE,-0.20596368361402462
primary__near_eye,near_eye,m10_mean_medi,2,Brightest 10 h mean,adapted_photoperiod_expanded_basis,WARN_CONCURVITY,TRUE,14.96382787340217,DERIVATIVE_DEFINED_PLATEAU_PATTERN,TRUE,15.272773398823208,DERIVATIVE_DEFINED_PLATEAU_PATTERN,TRUE,-0.3089455254210378
primary__near_eye,near_eye,m10_mean_medi,2,Brightest 10 h mean,adapted_photoperiod_fixed_site,WARN_CONCURVITY,TRUE,14.139973138946074,DERIVATIVE_DEFINED_PLATEAU_PATTERN,TRUE,15.272773398823208,DERIVATIVE_DEFINED_PLATEAU_PATTERN,TRUE,-1.1328002598771345
primary__near_eye,near_eye,l10_mean_medi,3,Darkest 10 h mean,adapted_photoperiod_expanded_basis,WARN_CONCURVITY,TRUE,14.551900506174123,DERIVATIVE_DEFINED_PLATEAU_PATTERN,TRUE,14.96382787340217,DERIVATIVE_DEFINED_PLATEAU_PATTERN,TRUE,-0.41192736722804746
primary__near_eye,near_eye,l10_mean_medi,3,Darkest 10 h mean,adapted_photoperiod_fixed_site,WARN_CONCURVITY,TRUE,14.551900506174123,DERIVATIVE_DEFINED_PLATEAU_PATTERN,TRUE,14.96382787340217,DERIVATIVE_DEFINED_PLATEAU_PATTERN,TRUE,-0.41192736722804746
primary__near_eye,near_eye,duration_above_1000,4,"Time above 1,000 lx melEDI",adapted_photoperiod_expanded_basis,WARN_CONCURVITY,TRUE,14.551900506174123,DERIVATIVE_DEFINED_PLATEAU_PATTERN,TRUE,14.96382787340217,DERIVATIVE_DEFINED_PLATEAU_PATTERN,TRUE,-0.41192736722804746
primary__near_eye,near_eye,duration_above_1000,4,"Time above 1,000 lx melEDI",adapted_photoperiod_fixed_site,WARN_CONCURVITY,TRUE,14.96382787340217,DERIVATIVE_DEFINED_PLATEAU_PATTERN,TRUE,14.96382787340217,DERIVATIVE_DEFINED_PLATEAU_PATTERN,TRUE,0
primary__near_eye,near_eye,duration_above_250_wake,5,Time above 250 lx melEDI during wake,adapted_photoperiod_expanded_basis,WARN_CONCURVITY,TRUE,14.139973138946074,DERIVATIVE_DEFINED_PLATEAU_PATTERN,TRUE,14.44891866436711,DERIVATIVE_DEFINED_PLATEAU_PATTERN,TRUE,-0.30894552542103604
primary__near_eye,near_eye,duration_above_250_wake,5,Time above 250 lx melEDI during wake,adapted_photoperiod_fixed_site,WARN_CONCURVITY,TRUE,13.934009455332049,DERIVATIVE_DEFINED_PLATEAU_PATTERN,TRUE,14.44891866436711,DERIVATIVE_DEFINED_PLATEAU_PATTERN,TRUE,-0.5149092090350607
