comparison_id,comparison_role,placement,metric_id,run_a,run_b,metric_order,manuscript_name,effect_scale,display_unit,common_supported_points,common_support_min,common_support_max,net_change_a,net_change_b,maximum_absolute_difference,median_absolute_difference,maximum_absolute_log_ratio,direction_agreement,stability_classification,inferential_stability
exact_period__chest,longest_period_exact_only,chest,longest_bout_above_250,primary__chest,exact_period__chest,8,Longest continuous period above 250 lx melEDI,ratio,h,0,,,,,,,,,NON_ESTIMABLE_NO_COMMON_POOLED_SUPPORT,NON_ESTIMABLE_ALL_RELEVANT_SMOOTHS_WARN_CONCURVITY
exact_period__near_eye,longest_period_exact_only,near_eye,longest_bout_above_250,primary__near_eye,exact_period__near_eye,8,Longest continuous period above 250 lx melEDI,ratio,h,0,,,,,,,,,NON_ESTIMABLE_NO_COMMON_POOLED_SUPPORT,NON_ESTIMABLE_ALL_RELEVANT_SMOOTHS_WARN_CONCURVITY
observed_dose__chest,observed_vs_corrected_dose_exact_common_rows,chest,dose_time_sensitive_corrected_medi,dose_common_corrected__chest,dose_common_observed__chest,9,melEDI dose,ratio,lx·h,0,,,,,,,,,NON_ESTIMABLE_NO_COMMON_POOLED_SUPPORT,NON_ESTIMABLE_ALL_RELEVANT_SMOOTHS_WARN_CONCURVITY
observed_dose__near_eye,observed_vs_corrected_dose_exact_common_rows,near_eye,dose_time_sensitive_corrected_medi,dose_common_corrected__near_eye,dose_common_observed__near_eye,9,melEDI dose,ratio,lx·h,4,10.6,11,265.1682038102804,252.81441552860952,75.65682884270382,69.31592433453761,0.03144580340671664,TRUE,SAME_DIRECTION_MAGNITUDE_THRESHOLD_NOT_AVAILABLE,NON_ESTIMABLE_ALL_RELEVANT_SMOOTHS_WARN_CONCURVITY
paired_sample__chest,placement_sample_restriction,chest,daily_geometric_mean_medi,primary__chest,paired__chest,1,Mean melEDI,ratio,lx,0,,,,,,,,,NON_ESTIMABLE_NO_COMMON_POOLED_SUPPORT,NON_ESTIMABLE_ALL_RELEVANT_SMOOTHS_WARN_CONCURVITY
paired_sample__chest,placement_sample_restriction,chest,m10_mean_medi,primary__chest,paired__chest,2,Brightest 10 h mean,ratio,lx,0,,,,,,,,,NON_ESTIMABLE_NO_COMMON_POOLED_SUPPORT,NON_ESTIMABLE_ALL_RELEVANT_SMOOTHS_WARN_CONCURVITY
paired_sample__chest,placement_sample_restriction,chest,l10_mean_medi,primary__chest,paired__chest,3,Darkest 10 h mean,ratio,lx,0,,,,,,,,,NON_ESTIMABLE_NO_COMMON_POOLED_SUPPORT,NON_ESTIMABLE_ALL_RELEVANT_SMOOTHS_WARN_CONCURVITY
paired_sample__chest,placement_sample_restriction,chest,duration_above_1000,primary__chest,paired__chest,4,"Time above 1,000 lx melEDI",ratio,h,0,,,,,,,,,NON_ESTIMABLE_NO_COMMON_POOLED_SUPPORT,NON_ESTIMABLE_ALL_RELEVANT_SMOOTHS_WARN_CONCURVITY
paired_sample__chest,placement_sample_restriction,chest,duration_above_250_wake,primary__chest,paired__chest,5,Time above 250 lx melEDI during wake,ratio,h,0,,,,,,,,,NON_ESTIMABLE_NO_COMMON_POOLED_SUPPORT,NON_ESTIMABLE_ALL_RELEVANT_SMOOTHS_WARN_CONCURVITY
paired_sample__chest,placement_sample_restriction,chest,duration_below_10_pre_sleep,primary__chest,paired__chest,6,Time below 10 lx melEDI before sleep,difference,h,0,,,,,,,,,NON_ESTIMABLE_NO_COMMON_POOLED_SUPPORT,NON_ESTIMABLE_ALL_RELEVANT_SMOOTHS_WARN_CONCURVITY
