run_id,data_scenario,placement,sensitivity,key_rule,metric_id,value_column,expected_family_n
paired__near_eye,primary,near_eye,paired_common_placement,paired,,,9
paired__chest,primary,chest,paired_common_placement,paired,,,9
gap_timing_unaware__near_eye,gap_timing_unaware,near_eye,gap_timing_unaware,all_available,,,9
gap_timing_unaware__chest,gap_timing_unaware,chest,gap_timing_unaware,all_available,,,9
prep_common_primary__near_eye,primary,near_eye,preparation_exact_common,preparation_common,,,9
prep_common_primary__chest,primary,chest,preparation_exact_common,preparation_common,,,9
prep_common_gap__near_eye,gap_timing_unaware,near_eye,preparation_exact_common,preparation_common,,,9
prep_common_gap__chest,gap_timing_unaware,chest,preparation_exact_common,preparation_common,,,9
exact_period__near_eye,primary,near_eye,longest_period_exact_only,exact_period,longest_bout_above_250,exact_period_value,
exact_period__chest,primary,chest,longest_period_exact_only,exact_period,longest_bout_above_250,exact_period_value,
dose_common_corrected__near_eye,primary,near_eye,observed_dose_common_sample,dose_common,dose_time_sensitive_corrected_medi,,
dose_common_corrected__chest,primary,chest,observed_dose_common_sample,dose_common,dose_time_sensitive_corrected_medi,,
dose_common_observed__near_eye,primary,near_eye,observed_dose_common_sample,dose_common,dose_time_sensitive_corrected_medi,observed_dose_value,
dose_common_observed__chest,primary,chest,observed_dose_common_sample,dose_common,dose_time_sensitive_corrected_medi,observed_dose_value,
