placement,metric_id,metric_order,manuscript_name,effect_scale,display_unit,omission_fits,failed_omission_fits,direction_sensitive_omissions,largest_absolute_difference,site_largest_absolute_difference,largest_absolute_log_ratio,full_loso_support,pooled_support_available_for_numeric_influence,inferential_disposition
chest,daily_geometric_mean_medi,1,Mean melEDI,ratio,lx,8,0,0,,,,FALSE,FALSE,NON_ESTIMABLE_NO_POOLED_SUPPORT_AND_CONCURVITY
chest,m10_mean_medi,2,Brightest 10 h mean,ratio,lx,8,0,0,,,,FALSE,FALSE,NON_ESTIMABLE_NO_POOLED_SUPPORT_AND_CONCURVITY
chest,l10_mean_medi,3,Darkest 10 h mean,ratio,lx,8,0,0,,,,FALSE,FALSE,NON_ESTIMABLE_NO_POOLED_SUPPORT_AND_CONCURVITY
chest,duration_above_1000,4,"Time above 1,000 lx melEDI",ratio,h,8,0,0,,,,FALSE,FALSE,NON_ESTIMABLE_NO_POOLED_SUPPORT_AND_CONCURVITY
chest,duration_above_250_wake,5,Time above 250 lx melEDI during wake,ratio,h,8,0,0,,,,FALSE,FALSE,NON_ESTIMABLE_NO_POOLED_SUPPORT_AND_CONCURVITY
chest,duration_below_10_pre_sleep,6,Time below 10 lx melEDI before sleep,difference,h,8,0,0,,,,FALSE,FALSE,NON_ESTIMABLE_NO_POOLED_SUPPORT_AND_CONCURVITY
chest,duration_below_1_sleep_environment,7,Time below 1 lx melEDI during sleep,ratio,h,8,0,0,,,,FALSE,FALSE,NON_ESTIMABLE_NO_POOLED_SUPPORT_AND_CONCURVITY
chest,longest_bout_above_250,8,Longest continuous period above 250 lx melEDI,ratio,h,8,0,0,,,,FALSE,FALSE,NON_ESTIMABLE_NO_POOLED_SUPPORT_AND_CONCURVITY
chest,dose_time_sensitive_corrected_medi,9,melEDI dose,ratio,lx·h,8,0,0,,,,FALSE,FALSE,NON_ESTIMABLE_NO_POOLED_SUPPORT_AND_CONCURVITY
near_eye,daily_geometric_mean_medi,1,Mean melEDI,ratio,lx,9,0,0,0.4880430119232715,KNUST,0.17409220306797482,FALSE,TRUE,NON_ESTIMABLE_CONCURVITY_AND_NO_FULL_LOSO_SUPPORT
near_eye,m10_mean_medi,2,Brightest 10 h mean,ratio,lx,9,0,0,12.228827872297629,KNUST,0.28826348289644765,FALSE,TRUE,NON_ESTIMABLE_CONCURVITY_AND_NO_FULL_LOSO_SUPPORT
near_eye,l10_mean_medi,3,Darkest 10 h mean,ratio,lx,9,0,0,0.027939805640242288,MPI,0.5382191340346351,FALSE,TRUE,NON_ESTIMABLE_CONCURVITY_AND_NO_FULL_LOSO_SUPPORT
near_eye,duration_above_1000,4,"Time above 1,000 lx melEDI",ratio,h,9,0,0,0.13733464074705165,MPI,0.2930387426637719,FALSE,TRUE,NON_ESTIMABLE_CONCURVITY_AND_NO_FULL_LOSO_SUPPORT
near_eye,duration_above_250_wake,5,Time above 250 lx melEDI during wake,ratio,h,9,0,0,0.3885736982903365,MPI,0.23831549974925884,FALSE,TRUE,NON_ESTIMABLE_CONCURVITY_AND_NO_FULL_LOSO_SUPPORT
near_eye,duration_below_10_pre_sleep,6,Time below 10 lx melEDI before sleep,difference,h,9,0,1,0.1842970238880306,MPI,0.08926233653822516,FALSE,TRUE,NON_ESTIMABLE_CONCURVITY_AND_NO_FULL_LOSO_SUPPORT
near_eye,duration_below_1_sleep_environment,7,Time below 1 lx melEDI during sleep,ratio,h,9,0,0,0.5079267045001483,MPI,0.06404522626849933,FALSE,TRUE,NON_ESTIMABLE_CONCURVITY_AND_NO_FULL_LOSO_SUPPORT
near_eye,longest_bout_above_250,8,Longest continuous period above 250 lx melEDI,ratio,h,9,0,0,0.11037663758940952,FUSPCEU,0.31499121555838083,FALSE,TRUE,NON_ESTIMABLE_CONCURVITY_AND_NO_FULL_LOSO_SUPPORT
near_eye,dose_time_sensitive_corrected_medi,9,melEDI dose,ratio,lx·h,9,0,0,637.1176935504207,FUSPCEU,0.34589965159848884,FALSE,TRUE,NON_ESTIMABLE_CONCURVITY_AND_NO_FULL_LOSO_SUPPORT
