run_id,analysis_scope,test_id,expected_family_n,observed_family_n,status
gap_timing_unaware__chest,adapted_photoperiod,association,9,9,PASS
gap_timing_unaware__chest,adapted_photoperiod,nonlinear_shape,9,9,PASS
gap_timing_unaware__near_eye,adapted_photoperiod,association,9,9,PASS
gap_timing_unaware__near_eye,adapted_photoperiod,nonlinear_shape,9,9,PASS
paired__chest,adapted_photoperiod,association,9,9,PASS
paired__chest,adapted_photoperiod,nonlinear_shape,9,9,PASS
paired__near_eye,adapted_photoperiod,association,9,9,PASS
paired__near_eye,adapted_photoperiod,nonlinear_shape,9,9,PASS
prep_common_gap__chest,adapted_photoperiod,association,9,9,PASS
prep_common_gap__chest,adapted_photoperiod,nonlinear_shape,9,9,PASS
prep_common_gap__near_eye,adapted_photoperiod,association,9,9,PASS
prep_common_gap__near_eye,adapted_photoperiod,nonlinear_shape,9,9,PASS
prep_common_primary__chest,adapted_photoperiod,association,9,9,PASS
prep_common_primary__chest,adapted_photoperiod,nonlinear_shape,9,9,PASS
prep_common_primary__near_eye,adapted_photoperiod,association,9,9,PASS
prep_common_primary__near_eye,adapted_photoperiod,nonlinear_shape,9,9,PASS
