run_id,placement,metric_id,metric_order,manuscript_name,effect_scale,display_unit,model_id,fit_status,evaluated_grid_points,maximum_absolute_difference,maximum_absolute_log_ratio,main_net_change,alternative_net_change,direction_agreement,comparison_disposition
primary__near_eye,near_eye,daily_geometric_mean_medi,1,Mean melEDI,ratio,lx,adapted_photoperiod_expanded_basis,WARN_CONCURVITY,4,0.003686148320142024,0.0016014851928708787,0.26286496438745566,0.26941542431562526,TRUE,SAME_DIRECTION_MAGNITUDE_THRESHOLD_NOT_AVAILABLE
primary__near_eye,near_eye,daily_geometric_mean_medi,1,Mean melEDI,ratio,lx,adapted_photoperiod_fixed_site,WARN_CONCURVITY,4,0.021023302090119156,0.009168382183623357,0.26286496438745566,0.3003491058279728,TRUE,SAME_DIRECTION_MAGNITUDE_THRESHOLD_NOT_AVAILABLE
primary__near_eye,near_eye,m10_mean_medi,2,Brightest 10 h mean,ratio,lx,adapted_photoperiod_expanded_basis,WARN_CONCURVITY,4,0.0805150356593245,0.0022856071679900982,5.256716894129596,5.349603169763284,TRUE,SAME_DIRECTION_MAGNITUDE_THRESHOLD_NOT_AVAILABLE
primary__near_eye,near_eye,m10_mean_medi,2,Brightest 10 h mean,ratio,lx,adapted_photoperiod_fixed_site,WARN_CONCURVITY,4,2.6876679695204047,0.07926899290761626,5.256716894129596,6.695840765645215,TRUE,SAME_DIRECTION_MAGNITUDE_THRESHOLD_NOT_AVAILABLE
primary__near_eye,near_eye,l10_mean_medi,3,Darkest 10 h mean,ratio,lx,adapted_photoperiod_expanded_basis,WARN_CONCURVITY,4,9.15920586330693e-4,0.013552018980476232,0.0024349083585050446,0.003276846104572878,TRUE,SAME_DIRECTION_MAGNITUDE_THRESHOLD_NOT_AVAILABLE
primary__near_eye,near_eye,l10_mean_medi,3,Darkest 10 h mean,ratio,lx,adapted_photoperiod_fixed_site,WARN_CONCURVITY,4,0.005086538061208248,0.07303948983759406,0.0024349083585050446,0.005748929776940193,TRUE,SAME_DIRECTION_MAGNITUDE_THRESHOLD_NOT_AVAILABLE
primary__near_eye,near_eye,duration_above_1000,4,"Time above 1,000 lx melEDI",ratio,h,adapted_photoperiod_expanded_basis,WARN_CONCURVITY,4,5.559006354766693e-4,0.0012021291246688904,0.05936953132676487,0.0586818500644089,TRUE,SAME_DIRECTION_MAGNITUDE_THRESHOLD_NOT_AVAILABLE
primary__near_eye,near_eye,duration_above_1000,4,"Time above 1,000 lx melEDI",ratio,h,adapted_photoperiod_fixed_site,WARN_CONCURVITY,4,0.0482021301377486,0.12727429409397262,0.05936953132676487,0.06289898480999451,TRUE,SAME_DIRECTION_MAGNITUDE_THRESHOLD_NOT_AVAILABLE
primary__near_eye,near_eye,duration_above_250_wake,5,Time above 250 lx melEDI during wake,ratio,h,adapted_photoperiod_expanded_basis,WARN_CONCURVITY,5,0.0017702085289057479,0.0012267228744538554,0.13715605684336785,0.13944806424616507,TRUE,SAME_DIRECTION_MAGNITUDE_THRESHOLD_NOT_AVAILABLE
primary__near_eye,near_eye,duration_above_250_wake,5,Time above 250 lx melEDI during wake,ratio,h,adapted_photoperiod_fixed_site,WARN_CONCURVITY,5,0.13035151000973055,0.09461389445597267,0.13715605684336785,0.17533390147851535,TRUE,SAME_DIRECTION_MAGNITUDE_THRESHOLD_NOT_AVAILABLE
