placement,metric_id,expected_omissions,observed_omissions,status
chest,daily_geometric_mean_medi,8,8,PASS
chest,dose_time_sensitive_corrected_medi,8,8,PASS
chest,duration_above_1000,8,8,PASS
chest,duration_above_250_wake,8,8,PASS
chest,duration_below_10_pre_sleep,8,8,PASS
chest,duration_below_1_sleep_environment,8,8,PASS
chest,l10_mean_medi,8,8,PASS
chest,longest_bout_above_250,8,8,PASS
chest,m10_mean_medi,8,8,PASS
near_eye,daily_geometric_mean_medi,9,9,PASS
near_eye,dose_time_sensitive_corrected_medi,9,9,PASS
near_eye,duration_above_1000,9,9,PASS
near_eye,duration_above_250_wake,9,9,PASS
near_eye,duration_below_10_pre_sleep,9,9,PASS
near_eye,duration_below_1_sleep_environment,9,9,PASS
near_eye,l10_mean_medi,9,9,PASS
near_eye,longest_bout_above_250,9,9,PASS
near_eye,m10_mean_medi,9,9,PASS
