run_id,metric_id,model_id,fit_status,error,warnings,elapsed_seconds,observations,coefficients,model_edf,edf2_available,design_columns,design_rank,design_condition,target_smooth_design_rank,maximum_hat,maximum_participant_leverage_share,converged,optimizer_message,gradient_max_abs,hessian_min_eigenvalue,smooth_label,smooth_edf,smooth_reference_df,smooth_statistic,smooth_p_raw,k_prime,k_edf,k_index,k_p_value,concurvity_worst,concurvity_observed,concurvity_estimate,consecutive_day_pairs,participants_with_three_pairs,pooled_consecutive_day_lag1,median_participant_lag1,temporal_status,tweedie_power,dispersion,distance_to_lower_power_bound,distance_to_upper_power_bound,placement,omitted_site
loso__near_eye__omit_rise,daily_geometric_mean_medi,adapted_photoperiod_smooth,WARN_CONCURVITY,,,2.033000000000129,738,142,105.18004552935844,TRUE,142,133,67733065697253e3,5,0.23565946944887123,0.008284835612814817,TRUE,full convergence,5.312137147939211e-6,0.16379636913180431,s(photoperiod_hours),1.609194923661371,1.682984398399681,16.271788113464357,1.8689077685429822e-6,5,1.609194923661371,0.9135989998849018,0.01,0.9995177178709546,0.9991124365926695,0.9990374886685917,589,122,0.030535637003621784,-0.02313453985383184,PASS_DESCRIPTIVE_DEPENDENCE_CHECK,,0.08847390120356347,,,near_eye,RISE
loso__near_eye__omit_thuas,daily_geometric_mean_medi,adapted_photoperiod_smooth,WARN_CONCURVITY,,,2.4049999999999727,738,142,107.64260772932288,TRUE,142,133,90763296563592450,5,0.24448679519984484,0.008226470073187803,TRUE,full convergence,6.00749920920407e-7,0.4503743392506463,s(photoperiod_hours),2.140329867193982,2.23523497853967,16.12299936530382,0,5,2.140329867193982,0.9096627093282509,0.01,0.9993814803481768,0.9990979361195422,0.9988673759748093,592,122,0.05312709745178106,-0.021444905819125303,PASS_DESCRIPTIVE_DEPENDENCE_CHECK,,0.07466366951208309,,,near_eye,THUAS
loso__near_eye__omit_baua,daily_geometric_mean_medi,adapted_photoperiod_smooth,WARN_CONCURVITY,,,4.408999999999878,709,137,101.97332694943351,TRUE,137,128,88872528442197710,5,0.23858138027884243,0.00860919684302133,TRUE,full convergence,7.77780070393419e-6,0.5477745035993042,s(photoperiod_hours),2.1775429203114953,2.2802559256054002,12.564814922045244,2.713494286321616e-6,5,2.1775429203114953,0.9338417705327732,0.025,0.999227513053327,0.9986854821357233,0.9986215336801747,566,117,-0.016523023813634335,-0.029612522899156914,PASS_DESCRIPTIVE_DEPENDENCE_CHECK,,0.08213964952529859,,,near_eye,BAUA
loso__near_eye__omit_mpi,daily_geometric_mean_medi,adapted_photoperiod_smooth,WARN_CONCURVITY,,,1.9369999999998981,666,129,92.27036815296181,TRUE,129,120,91636114348922420,5,0.225524779379344,0.009267611236621936,TRUE,full convergence,2.9487393078397872e-6,0.33845342964046804,s(photoperiod_hours),1.9890229384105798,2.0934071763253748,14.14428447409777,1.3325759820048688e-6,5,1.9890229384105798,0.9035712876288614,0.0075,0.9994155715428747,0.9992040241370326,0.9988173854990386,535,111,0.017291367246865776,-0.06840132937415291,PASS_DESCRIPTIVE_DEPENDENCE_CHECK,,0.098082453853212,,,near_eye,MPI
loso__near_eye__omit_tum,daily_geometric_mean_medi,adapted_photoperiod_smooth,WARN_CONCURVITY,,,3.203999999999951,756,145,105.194606821446,TRUE,145,136,85405056527876820,5,0.22650551748842596,0.008138818826829756,TRUE,full convergence,6.716690847952123e-8,0.483873705692999,s(photoperiod_hours),2.1594277265645534,2.2745974940128844,17.84779030829613,0,5,2.1594277265645534,0.9137583574191497,0.01,0.9993176869804444,0.9988662872795907,0.9987326167912888,604,125,0.020137945877754693,-0.023719435450553703,PASS_DESCRIPTIVE_DEPENDENCE_CHECK,,0.08736577699361518,,,near_eye,TUM
loso__near_eye__omit_fuspceu,daily_geometric_mean_medi,adapted_photoperiod_smooth,WARN_CONCURVITY,,,1.844000000000051,687,132,98.48512390415857,TRUE,132,123,81991142527036220,5,0.24019959532151533,0.008932848893160558,TRUE,full convergence,3.705766665973442e-5,0.46355922053361237,s(photoperiod_hours),2.1363765394191923,2.2370331464937636,15.566947608057706,1.3245515073645464e-7,5,2.1363765394191923,0.9182469741216277,0.0125,0.9991964280184968,0.9987079765612228,0.9984458335324412,554,113,-0.012669173268559698,-0.09349131873543633,PASS_DESCRIPTIVE_DEPENDENCE_CHECK,,0.07981623777094568,,,near_eye,FUSPCEU
loso__near_eye__omit_iztech,daily_geometric_mean_medi,adapted_photoperiod_smooth,WARN_CONCURVITY,,,2.1289999999999054,715,138,100.3038160736316,TRUE,138,129,95611884867946180,5,0.22895305110090688,0.008593221206019129,TRUE,full convergence,3.442266915953951e-9,0.6229390807789394,s(photoperiod_hours),2.3356422833648307,2.4579629834404004,16.292435509237972,0,5,2.3356422833648307,0.9200826282911506,0.0275,0.9993492061554643,0.9988134409543338,0.9987331085131973,572,118,0.021920879034568578,-0.05091420933522961,PASS_DESCRIPTIVE_DEPENDENCE_CHECK,,0.08961948263315825,,,near_eye,IZTECH
loso__near_eye__omit_ucr,daily_geometric_mean_medi,adapted_photoperiod_smooth,WARN_CONCURVITY,,,3.8420000000000982,784,149,110.87972635028827,TRUE,149,140,101839105624547490,5,0.23466820454756449,0.007843598608061962,TRUE,full convergence,2.0081174056940654e-8,0.5176448405190807,s(photoperiod_hours),2.1803970156210646,2.289319674372027,17.043866774325526,0,5,2.1803970156210646,0.9301472338060209,0.0175,0.9993092047633633,0.9990295220505929,0.998740041873397,631,130,0.012273483259765143,-0.027230941500810985,PASS_DESCRIPTIVE_DEPENDENCE_CHECK,,0.0874083305837924,,,near_eye,UCR
loso__near_eye__omit_knust,daily_geometric_mean_medi,adapted_photoperiod_smooth,WARN_CONCURVITY,,,2.286000000000058,735,140,100.26650113431245,TRUE,140,131,71084781148975030,5,0.18225799571151297,0.008480634501908467,TRUE,full convergence,3.2933211713270794e-10,0.24339000988071113,s(photoperiod_hours),2.4026606375095936,2.532833955805157,22.08704524129371,0,5,2.4026606375095936,0.906432322167814,0.01,0.9993026164532962,0.9987555830878233,0.9987729255547875,589,122,0.004434947543299769,-0.06829780892750459,PASS_DESCRIPTIVE_DEPENDENCE_CHECK,,0.08320559258060367,,,near_eye,KNUST
loso__near_eye__omit_rise,m10_mean_medi,adapted_photoperiod_smooth,WARN_CONCURVITY,,,5.4809999999999945,738,142,98.32134468868551,TRUE,142,133,67733065697253e3,5,0.21110449701038966,0.00842602431587408,TRUE,full convergence,1.7596613588466425e-7,0.34036691798496044,s(photoperiod_hours),1.9393575477448375,2.0477147772315387,11.229860143458309,1.445109662623345e-5,5,1.9393575477448375,0.9699621239387801,0.19,0.9995177178709546,0.9987843909203288,0.9990374886685917,589,122,0.026652777603535207,0.008950202599414044,PASS_DESCRIPTIVE_DEPENDENCE_CHECK,,0.25334755578091533,,,near_eye,RISE
