placement,metric_id,metric_order,manuscript_name,main_plateau_pattern,main_plateau_start,omissions,omissions_with_pattern,omissions_matching_main,all_classifications_agree,discordant_omissions,plateau_start_min,plateau_start_max
chest,daily_geometric_mean_medi,1,Mean melEDI,TRUE,15.684700766051257,8,8,8,TRUE,None,13.758411937499154,16.096628133279307
chest,dose_time_sensitive_corrected_medi,9,melEDI dose,TRUE,13.213136562682964,8,7,7,FALSE,IZTECH,12.801209195454916,14.345936822560098
chest,duration_above_1000,4,"Time above 1,000 lx melEDI",TRUE,13.522082088104,8,8,8,TRUE,None,12.482591678741002,14.44891866436711
chest,duration_above_250_wake,5,Time above 250 lx melEDI during wake,TRUE,13.110154720875952,8,6,6,FALSE,THUAS; IZTECH,12.163636614051466,13.522082088104
chest,duration_below_10_pre_sleep,6,Time below 10 lx melEDI before sleep,FALSE,,8,0,8,TRUE,None,,
chest,duration_below_1_sleep_environment,7,Time below 1 lx melEDI during sleep,TRUE,18.465210494840587,8,3,3,FALSE,RISE; TUM; FUSPCEU; IZTECH; UCR,18.465210494840587,18.67117417845461
chest,l10_mean_medi,3,Darkest 10 h mean,TRUE,14.242954980753087,8,7,7,FALSE,IZTECH,13.359718106637231,14.44891866436711
chest,longest_bout_above_250,8,Longest continuous period above 250 lx melEDI,TRUE,13.831027613525038,8,7,7,FALSE,RISE,13.125009869392606,15.478737082437233
chest,m10_mean_medi,2,Brightest 10 h mean,FALSE,,8,2,6,FALSE,IZTECH; KNUST,12.698227353647903,15.066809715209184
near_eye,daily_geometric_mean_medi,1,Mean melEDI,TRUE,16.199609975086318,9,9,9,TRUE,None,15.37575524063022,16.40557365870034
near_eye,dose_time_sensitive_corrected_medi,9,melEDI dose,TRUE,14.345936822560098,9,8,8,FALSE,MPI,13.758411937499154,15.993646291472293
near_eye,duration_above_1000,4,"Time above 1,000 lx melEDI",TRUE,14.96382787340217,9,8,8,FALSE,MPI,13.439456872809616,16.508555500507356
near_eye,duration_above_250_wake,5,Time above 250 lx melEDI during wake,TRUE,14.44891866436711,9,8,8,FALSE,MPI,13.67867317132677,14.860846031595159
near_eye,duration_below_10_pre_sleep,6,Time below 10 lx melEDI before sleep,FALSE,,9,0,9,TRUE,None,,
near_eye,duration_below_1_sleep_environment,7,Time below 1 lx melEDI during sleep,FALSE,,9,0,9,TRUE,None,,
near_eye,l10_mean_medi,3,Darkest 10 h mean,TRUE,14.96382787340217,9,8,8,FALSE,MPI,14.242954980753087,15.066809715209184
near_eye,longest_bout_above_250,8,Longest continuous period above 250 lx melEDI,FALSE,,9,4,5,FALSE,BAUA; FUSPCEU; UCR; KNUST,15.050994962134746,16.199609975086318
near_eye,m10_mean_medi,2,Brightest 10 h mean,TRUE,15.272773398823208,9,8,8,FALSE,MPI,13.831027613525038,16.40557365870034
