"analysis_state","rows","mean_scaled_residual","sd_scaled_residual","q05_scaled_residual","q50_scaled_residual","q95_scaled_residual","mean_quantile_residual","sd_quantile_residual","grouping","site","day_type","sample_id"
"Sleep environment",734,0.494458835244696,0.289780603404435,0.064706692008852,0.476960130225042,0.948319058926974,-0.00939677448005497,0.965989184513509,"state",,,"support_80"
"Wake outside the three hours before sleep",718,0.507617958229047,0.281731897883432,0.0367540643898246,0.530353665125992,0.935889424893829,0.00809266115137532,0.977147051823455,"state",,,"support_80"
"Pre-sleep",617,0.495740997800826,0.288225447156391,0.0632428976153824,0.482967010552582,0.953434968828712,-0.00953707129313987,0.985655012994389,"state",,,"support_80"
,246,0.494172388670444,0.303239995493452,0.0335572166855152,0.496555328359691,0.946309318216042,-0.0268652633333656,1.08159100574245,"site","BAUA",,"support_80"
,317,0.516156929869012,0.290887424062814,0.0583235884612201,0.534010200140167,0.949462480948903,0.0482342372195209,0.976473352753954,"site","FUSPCEU",,"support_80"
,270,0.487417069720884,0.271811506349949,0.0907384407720765,0.449043702851235,0.943489379616792,-0.0280152176144027,0.919455644065316,"site","IZTECH",,"support_80"
,206,0.489265618910685,0.290103522268099,0.0229303846423053,0.488179200279617,0.955331898685876,-0.0521208048371649,1.05624162355923,"site","KNUST",,"support_80"
,412,0.495669747383226,0.29008719558195,0.0680554991303783,0.459777839645714,0.942428568882429,-0.00237984246720613,0.969289075795088,"site","MPI",,"support_80"
,207,0.512268414777537,0.275828924284123,0.0669316695880371,0.530286261680663,0.926555153192733,0.0281399114871126,0.899080428827602,"site","RISE",,"support_80"
,171,0.499132858221151,0.29268854503046,0.0424302887778272,0.499371567342368,0.944047198303547,-0.00863780933756979,0.989485369280979,"site","THUAS",,"support_80"
,160,0.506795874282873,0.288222093467527,0.0718377605339425,0.516734515843524,0.952321197779134,0.0315677606311155,0.964373227921107,"site","TUM",,"support_80"
,80,0.487507969970126,0.253334984821242,0.126205542949043,0.535560282144813,0.816257317408628,-0.0721215187671636,0.82490290934422,"site","UCR",,"support_80"
,1253,0.500917559330993,0.283692379997374,0.0590993740694804,0.505677415816523,0.942644416743011,-0.00434993447115408,0.951532770964912,"day_type",,"Work day","support_80"
,816,0.497089427548331,0.290843261493124,0.0539252545227931,0.477481849917355,0.949400015604105,-0.00186348879556879,1.01135116591367,"day_type",,"Free day","support_80"
