route,protected_main_exact,page_navigation_exact,header_count,navbar_routes,navbar_exact,breadcrumb_count,expected_breadcrumb_count,toc_count,layout_class_affected,main_column_page_left,title_meta_column_page_left,main_column_page_right,title_meta_column_page_right,old_sidebar_count,styles_count,mobile_script_count,duplicate_ids,candidate_duplicate_ids,gt_tables,header_tokens,unresolved_header_tokens,figures,error_nodes
index.html,TRUE,TRUE,1,37,TRUE,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,1,0,0,0,0,0,24,0
supplementary_information.html,TRUE,TRUE,1,37,TRUE,0,0,1,TRUE,TRUE,TRUE,FALSE,FALSE,0,1,1,0,0,0,0,0,0,0
notebooks/preparation/01_import_state_alignment.html,TRUE,TRUE,1,37,TRUE,1,1,1,TRUE,TRUE,TRUE,FALSE,FALSE,0,1,1,5,0,14,647,486,0,0
notebooks/preparation/02_coverage_sample_flow.html,TRUE,TRUE,1,37,TRUE,1,1,1,TRUE,TRUE,TRUE,FALSE,FALSE,0,1,1,6,0,11,950,615,0,0
notebooks/preparation/03_reference_profiles.html,TRUE,TRUE,1,37,TRUE,1,1,1,TRUE,TRUE,TRUE,FALSE,FALSE,0,1,1,2,0,11,549,497,1,0
notebooks/preparation/04_metric_derivation.html,TRUE,TRUE,1,37,TRUE,1,1,1,TRUE,TRUE,TRUE,FALSE,FALSE,0,1,1,3,0,14,1075,862,1,0
notebooks/preparation/05_model_input_acquisition.html,TRUE,TRUE,1,37,TRUE,1,1,1,TRUE,TRUE,TRUE,FALSE,FALSE,0,1,1,0,0,9,400,342,0,0
notebooks/preparation/06_model_ready_datasets.html,TRUE,TRUE,1,37,TRUE,1,1,1,TRUE,TRUE,TRUE,FALSE,FALSE,0,1,1,14,0,19,1818,1518,1,0
notebooks/preparation/07_example_days.html,TRUE,TRUE,1,37,TRUE,1,1,1,TRUE,TRUE,TRUE,FALSE,FALSE,0,1,1,2,0,7,306,187,3,0
notebooks/placement_decision.html,TRUE,TRUE,1,37,TRUE,1,1,1,TRUE,TRUE,TRUE,FALSE,FALSE,0,1,1,0,0,0,0,0,0,0
