logical_order,path,role,accepted_source_sha256
1,index.qmd,shared,86766c377e7ee1dcfea6b1ada8704b04320bbc231630c4044cd9c9d93aa0bf80
2,supplementary_information.qmd,shared,8d013e4d37ca5ff438988e82907a26d65b98a9a47cc2d62ec3ddcd0e2b3862fa
3,notebooks/preparation/01_import_state_alignment.qmd,preparation,93869fb2fffb17474ada3126f48ad8ce788079b151840e4b362f6a7974977872
4,notebooks/preparation/02_coverage_sample_flow.qmd,preparation,572173e119c9e8faac93fd61687d3a209d470742dbd82efe44a12ac87e6275fd
5,notebooks/preparation/03_reference_profiles.qmd,preparation,4ec7a6880591157eefe969e85d7b2adf7c22690fafaf434f715af944a7906504
6,notebooks/preparation/04_metric_derivation.qmd,preparation,6b7239ca32ecc6e75b993115f74fa2a42781ddded98ebf9ce94f2202777086d4
7,notebooks/preparation/05_model_input_acquisition.qmd,preparation,184c40b45f349dc7129a86a2e8a0cf57665df7f9a82a4183ea1128b09954ad1d
8,notebooks/preparation/06_model_ready_datasets.qmd,preparation,23b201c404f3b30918d49459ce54a3155a26b758ff10872bc0be4264bd386f87
9,notebooks/preparation/07_example_days.qmd,preparation,e5b89c62b03af2e7989f76cb9578608b92420978393a7c857fd5edcc335dbcb1
10,notebooks/placement_decision.qmd,shared,b090bb87107f310662692db682118f339d7c404c09a45d9735af406d63a78498
11,notebooks/descriptives.qmd,shared,b631936d9e47c4988dd453ea22184090b076705e3716e8f037e1953e3309cd4c
12,notebooks/preregistration_deviations.qmd,shared,b542018a0e127b280fc5a106928d8689307c420f2e62913f4047d5c4c292bc6d
13,notebooks/hypotheses/H01.qmd,hypothesis_result,9448eacc1345a2b0bf73c988be588308d191e42d90c49d68c7f92db36ba83eeb
14,audit/hypotheses/H01/H01_analysis_preparation.qmd,hypothesis_companion,ed12b6232ef60905b648707240309e6574e627995d0436a19f671fdc033ecc5f
15,notebooks/hypotheses/H02.qmd,hypothesis_result,4f431eaba1fd449837186497dc988f95c30a9ece7ae83d57b2f0c377690f0f6d
16,audit/hypotheses/H02/H02_analysis_preparation.qmd,hypothesis_companion,92424e41a7f54d05b816ff79144850a27aabc8181aa705384b22f4c7cdc3b9a1
17,notebooks/hypotheses/H03.qmd,hypothesis_result,45ea5a009efd3b451c392dfc23bef584c7b16e087bf4093780b051cfde42ae41
18,audit/hypotheses/H03/H03_analysis_preparation.qmd,hypothesis_companion,59270288388e48ceef880ffa4a2ba0e87b8deeb9a8046b49510c4e525ff8c131
19,notebooks/hypotheses/H04.qmd,hypothesis_result,f8adb6d78be041ce296dd7e89eb92769b128631c1b4227ce5d8ab3d526daf1d5
20,audit/hypotheses/H04/H04_analysis_preparation.qmd,hypothesis_companion,efdb5be8dc194695f40c50249fab14905ec337bc63079ae589557de860188474
21,notebooks/hypotheses/H05.qmd,hypothesis_result,7c20e16629729de433d1ab400038e9d32c73aeb25c95ecd44d581b876755d5e0
22,audit/hypotheses/H05/H05_analysis_preparation.qmd,hypothesis_companion,843f60f890daac0e41c6655bc365ab0325e3f582e011610469a799946b2f2811
23,notebooks/hypotheses/H06.qmd,hypothesis_result,d65c197cb37db32101d8a43fcdc80198ab599a95cb73259abd187c9b2b58d350
24,audit/hypotheses/H06/H06_analysis_preparation.qmd,hypothesis_companion,f952d5ec72066ee86fded4888aaa815bdf763c11f466806ebc7391c79e22918b
25,notebooks/hypotheses/H06_daily.qmd,shared,8f696f3f89fe9ea18c8066b756a01fc5da6b41e86f8ac7d37d1e16f9c10ba639
26,audit/hypotheses/H06_daily/H06_daily_analysis_preparation.qmd,shared,b1d2c9ec6184e9c537af04119d94040b581ae691069e38e0a713935ab1582536
27,notebooks/hypotheses/H07.qmd,hypothesis_result,c779c57ffc64a15c82e519ef38e865a39108a6563d82e408e4522253c61e8226
28,audit/hypotheses/H07/H07_analysis_preparation.qmd,hypothesis_companion,a6c05e81333bb612e99ef431f42f47860ac26b6d5c0f0f44ecbce019ee470d1b
29,notebooks/hypotheses/H08.qmd,hypothesis_result,1b6b50b21e22d60909a65b125ce74be54829e5efc10de33f888fcd294c7374b1
30,audit/hypotheses/H08/H08_analysis_preparation.qmd,hypothesis_companion,3eeeda47c909be2ca32bf234af18f2d690f1c3e7b26e854f7311c0d8300f6f2d
31,notebooks/hypotheses/H09.qmd,hypothesis_result,c738a4365d01497030a260691ceff35fd5c2dab478148fd28676e27981e203c6
32,audit/hypotheses/H09/H09_analysis_preparation.qmd,hypothesis_companion,394a976e52faf002cb2034a13353a053aae8bfda8942a79c2eb007017cae014f
33,notebooks/hypotheses/H10.qmd,hypothesis_result,0cf302f74c482168c5f5d4c640bbc6a80ef451333f7d76f3c3be204ac1b5f64d
34,audit/hypotheses/H10/H10_analysis_preparation.qmd,hypothesis_companion,706fe46f293bd09bfd3cb75c14bc3082410a452acfff666d76219f266fded1a6
35,notebooks/hypotheses/H11.qmd,hypothesis_result,7909ba06782c84223197ab7fcd16493d7ee6e6d8b63c750aa81f17cb97977867
36,audit/hypotheses/H11/H11_analysis_preparation.qmd,hypothesis_companion,3f5a0d2ead03d2cb149451709110b59ba1387401f9ff633dfba1a0663f4b0816
37,notebooks/sensitivity_battery.qmd,shared,d2d1777062dbf58eca69cc58eadd6ad17a7ce80f4a8f335b6828f54ffcbfeb70
