check_id,pass,detail
single_promotion_and_navigation_manifest_reseal,TRUE,promotion=1 html=37 assets=3 navigation_resealer=1 rows=37
resealed_manifest_live,TRUE,manifest=c42c326230818a93aa89322155b933c2f536f09bd447ab09b72f934fba75e76f sources=37/37 html=37/37
exact_promoted_build_delta,TRUE,members=1183 added=3 changed=37 removed=0 symlinks=0
shared_assets_search_sitemap_robots,TRUE,assets=3/3 search=exact sitemap=exact robots=exact
live_dom_tables_figures_navigation,TRUE,routes=37 tables=572 figures=160 anchors=86
live_local_links_resources_downloads,TRUE,references=46385 unresolved=0
protected_science_source_profile_lock,TRUE,changed=6 authorized_added=6 removed=0 protected_exact=11/11 accepted_source_hashes_retained=37/37 live_source_drift=1
postflight_browser_all_routes,TRUE,rows=74 routes=37 widths=390/1440
postflight_browser_manual_matrix,TRUE,rows=15 route_classes=5 widths=390/708/1440
postflight_secure_loopback_and_stability,TRUE,live_only=TRUE symlinks=0 tabs_closed=TRUE viewport_restored=TRUE server_stopped=TRUE listener_cleared=TRUE build_stable=TRUE
