route,viewport_width,toc_interaction,navbar_interaction,title_meta_aligned,page_overflow,console_errors,pass
index.html,1440,true,true,true,false,0,true
index.html,708,true,true,true,false,0,true
index.html,390,true,true,true,false,0,true
notebooks/preparation/01_import_state_alignment.html,1440,true,true,true,false,0,true
notebooks/preparation/01_import_state_alignment.html,708,true,true,true,false,0,true
notebooks/preparation/01_import_state_alignment.html,390,true,true,true,false,0,true
notebooks/hypotheses/H02.html,1440,true,true,true,false,0,true
notebooks/hypotheses/H02.html,708,true,true,true,false,0,true
notebooks/hypotheses/H02.html,390,true,true,true,false,0,true
audit/hypotheses/H02/H02_analysis_preparation.html,1440,true,true,true,false,0,true
audit/hypotheses/H02/H02_analysis_preparation.html,708,true,true,true,false,0,true
audit/hypotheses/H02/H02_analysis_preparation.html,390,true,true,true,false,0,true
notebooks/sensitivity_battery.html,1440,true,true,true,false,0,true
notebooks/sensitivity_battery.html,708,true,true,true,false,0,true
notebooks/sensitivity_battery.html,390,true,true,true,false,0,true
