logical_order,path,role,accepted_source_sha256,live_source_sha256,live_bytes,live_mtime_utc,corpus_acceptance_claim
1,index.qmd,shared,86766c377e7ee1dcfea6b1ada8704b04320bbc231630c4044cd9c9d93aa0bf80,86766c377e7ee1dcfea6b1ada8704b04320bbc231630c4044cd9c9d93aa0bf80,91250,2026-08-13 05:10:18 UTC,MATCHES_ACCEPTED_SOURCE_BASELINE
2,supplementary_information.qmd,shared,8d013e4d37ca5ff438988e82907a26d65b98a9a47cc2d62ec3ddcd0e2b3862fa,8d013e4d37ca5ff438988e82907a26d65b98a9a47cc2d62ec3ddcd0e2b3862fa,993,2026-07-29 22:42:15 UTC,MATCHES_ACCEPTED_SOURCE_BASELINE
3,notebooks/preparation/01_import_state_alignment.qmd,preparation,93869fb2fffb17474ada3126f48ad8ce788079b151840e4b362f6a7974977872,93869fb2fffb17474ada3126f48ad8ce788079b151840e4b362f6a7974977872,34924,2026-08-13 10:26:05 UTC,MATCHES_ACCEPTED_SOURCE_BASELINE
4,notebooks/preparation/02_coverage_sample_flow.qmd,preparation,572173e119c9e8faac93fd61687d3a209d470742dbd82efe44a12ac87e6275fd,572173e119c9e8faac93fd61687d3a209d470742dbd82efe44a12ac87e6275fd,28373,2026-08-13 11:21:32 UTC,MATCHES_ACCEPTED_SOURCE_BASELINE
5,notebooks/preparation/03_reference_profiles.qmd,preparation,4ec7a6880591157eefe969e85d7b2adf7c22690fafaf434f715af944a7906504,4ec7a6880591157eefe969e85d7b2adf7c22690fafaf434f715af944a7906504,43231,2026-08-13 12:44:51 UTC,MATCHES_ACCEPTED_SOURCE_BASELINE
6,notebooks/preparation/04_metric_derivation.qmd,preparation,6b7239ca32ecc6e75b993115f74fa2a42781ddded98ebf9ce94f2202777086d4,6b7239ca32ecc6e75b993115f74fa2a42781ddded98ebf9ce94f2202777086d4,80557,2026-08-13 14:07:57 UTC,MATCHES_ACCEPTED_SOURCE_BASELINE
7,notebooks/preparation/05_model_input_acquisition.qmd,preparation,184c40b45f349dc7129a86a2e8a0cf57665df7f9a82a4183ea1128b09954ad1d,184c40b45f349dc7129a86a2e8a0cf57665df7f9a82a4183ea1128b09954ad1d,32178,2026-08-12 12:49:01 UTC,MATCHES_ACCEPTED_SOURCE_BASELINE
8,notebooks/preparation/06_model_ready_datasets.qmd,preparation,23b201c404f3b30918d49459ce54a3155a26b758ff10872bc0be4264bd386f87,23b201c404f3b30918d49459ce54a3155a26b758ff10872bc0be4264bd386f87,87267,2026-08-13 15:52:43 UTC,MATCHES_ACCEPTED_SOURCE_BASELINE
9,notebooks/preparation/07_example_days.qmd,preparation,e5b89c62b03af2e7989f76cb9578608b92420978393a7c857fd5edcc335dbcb1,e5b89c62b03af2e7989f76cb9578608b92420978393a7c857fd5edcc335dbcb1,39361,2026-08-14 11:05:06 UTC,MATCHES_ACCEPTED_SOURCE_BASELINE
10,notebooks/placement_decision.qmd,shared,b090bb87107f310662692db682118f339d7c404c09a45d9735af406d63a78498,b090bb87107f310662692db682118f339d7c404c09a45d9735af406d63a78498,2425,2026-08-13 05:20:02 UTC,MATCHES_ACCEPTED_SOURCE_BASELINE
