logical_order,source,route,header_count,navbar_route_count,navbar_route_set_exact,navbar_route_unique,active_state,breadcrumb_count,expected_breadcrumb_count,old_sidebar_count,margin_toc_count,toc_title_exact,nathealth_styles_count,mobile_script_count,search_count,bootstrap_exact,body_nav_fixed,content_page_navbar,layout_class_affected,main_column_page_left,title_meta_column_page_left,main_column_page_right,title_meta_column_page_right,protected_main_exact,page_navigation_exact,main_semantics_exact,new_duplicate_ids,gt_tables,header_tokens,unresolved_header_tokens,figures,error_nodes
1,index.qmd,index.html,1,37,TRUE,TRUE,TRUE,0,0,0,1,TRUE,1,1,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,0,0,24,0
2,supplementary_information.qmd,supplementary_information.html,1,37,TRUE,TRUE,TRUE,0,0,0,1,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0
3,notebooks/preparation/01_import_state_alignment.qmd,notebooks/preparation/01_import_state_alignment.html,1,37,TRUE,TRUE,TRUE,1,1,0,1,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0,14,647,486,0,0
4,notebooks/preparation/02_coverage_sample_flow.qmd,notebooks/preparation/02_coverage_sample_flow.html,1,37,TRUE,TRUE,TRUE,1,1,0,1,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0,11,950,615,0,0
5,notebooks/preparation/03_reference_profiles.qmd,notebooks/preparation/03_reference_profiles.html,1,37,TRUE,TRUE,TRUE,1,1,0,1,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0,11,549,497,1,0
6,notebooks/preparation/04_metric_derivation.qmd,notebooks/preparation/04_metric_derivation.html,1,37,TRUE,TRUE,TRUE,1,1,0,1,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0,14,1075,862,1,0
7,notebooks/preparation/05_model_input_acquisition.qmd,notebooks/preparation/05_model_input_acquisition.html,1,37,TRUE,TRUE,TRUE,1,1,0,1,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0,9,400,342,0,0
8,notebooks/preparation/06_model_ready_datasets.qmd,notebooks/preparation/06_model_ready_datasets.html,1,37,TRUE,TRUE,TRUE,1,1,0,1,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0,19,1818,1518,1,0
9,notebooks/preparation/07_example_days.qmd,notebooks/preparation/07_example_days.html,1,37,TRUE,TRUE,TRUE,1,1,0,1,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0,7,306,187,3,0
10,notebooks/placement_decision.qmd,notebooks/placement_decision.html,1,37,TRUE,TRUE,TRUE,1,1,0,1,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0
11,notebooks/descriptives.qmd,notebooks/descriptives.html,1,37,TRUE,TRUE,TRUE,1,1,0,1,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0,8,2813,1002,23,0
12,notebooks/preregistration_deviations.qmd,notebooks/preregistration_deviations.html,1,37,TRUE,TRUE,TRUE,1,1,0,1,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,0,0,0,0
13,notebooks/hypotheses/H01.qmd,notebooks/hypotheses/H01.html,1,37,TRUE,TRUE,TRUE,1,1,0,1,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0,36,11084,0,10,0
14,audit/hypotheses/H01/H01_analysis_preparation.qmd,audit/hypotheses/H01/H01_analysis_preparation.html,1,37,TRUE,TRUE,TRUE,1,1,0,1,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0,20,1442,0,2,0
15,notebooks/hypotheses/H02.qmd,notebooks/hypotheses/H02.html,1,37,TRUE,TRUE,TRUE,1,1,0,1,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0,15,530,0,5,0
