logical_order,source,expected_html,historical_source_sha256,live_authoring_source_sha256,source_matches_accepted_baseline,historical_html_sha256,resealed_html_sha256,live_html_sha256,html_changed
1,index.qmd,_build/nathealth/index.html,86766c377e7ee1dcfea6b1ada8704b04320bbc231630c4044cd9c9d93aa0bf80,86766c377e7ee1dcfea6b1ada8704b04320bbc231630c4044cd9c9d93aa0bf80,TRUE,d4c795294e45b1c7badc9cb69c3b4162f30348449c22517eecb2ab802e4c1871,200bdbbf148542dbef34434e02aec515035f34f8148472e076dd09bfc44753a3,200bdbbf148542dbef34434e02aec515035f34f8148472e076dd09bfc44753a3,TRUE
2,supplementary_information.qmd,_build/nathealth/supplementary_information.html,8d013e4d37ca5ff438988e82907a26d65b98a9a47cc2d62ec3ddcd0e2b3862fa,8d013e4d37ca5ff438988e82907a26d65b98a9a47cc2d62ec3ddcd0e2b3862fa,TRUE,a0b5d097b12ee4a7cbfbcd5cb4740f1eac81bf1c9dba1e4e00a9d5644bfec4eb,77b421098310328c22838c6a357b4868d36c61fefabe286f4a3ae9c9228992b9,77b421098310328c22838c6a357b4868d36c61fefabe286f4a3ae9c9228992b9,TRUE
3,notebooks/preparation/01_import_state_alignment.qmd,_build/nathealth/notebooks/preparation/01_import_state_alignment.html,93869fb2fffb17474ada3126f48ad8ce788079b151840e4b362f6a7974977872,93869fb2fffb17474ada3126f48ad8ce788079b151840e4b362f6a7974977872,TRUE,6a312ee826c0a4944bf2d9e5c3d0d3ea09521a6e1ae26c84ac30f0493973907e,eea99c7724f254c69a2300e5d9c4336d96fa0c6c5883370f93677006ffe41800,eea99c7724f254c69a2300e5d9c4336d96fa0c6c5883370f93677006ffe41800,TRUE
4,notebooks/preparation/02_coverage_sample_flow.qmd,_build/nathealth/notebooks/preparation/02_coverage_sample_flow.html,572173e119c9e8faac93fd61687d3a209d470742dbd82efe44a12ac87e6275fd,572173e119c9e8faac93fd61687d3a209d470742dbd82efe44a12ac87e6275fd,TRUE,0eeb0114db9161d5bc69b9a0186bd629b302d5fec2e08dcf35e78d049f20886d,a702718dde2d186fa49d35cf9e8787a08d422c7039198485b4d3f0961859a4d2,a702718dde2d186fa49d35cf9e8787a08d422c7039198485b4d3f0961859a4d2,TRUE
5,notebooks/preparation/03_reference_profiles.qmd,_build/nathealth/notebooks/preparation/03_reference_profiles.html,4ec7a6880591157eefe969e85d7b2adf7c22690fafaf434f715af944a7906504,4ec7a6880591157eefe969e85d7b2adf7c22690fafaf434f715af944a7906504,TRUE,43d8260933342e9cc511fed115672e5fd1065b76a6a5c6fcf136964f2735f77d,ae17ebacb3a2a2fd8d15eae99c90ad84df2641d32eda0887f9292b55644a8330,ae17ebacb3a2a2fd8d15eae99c90ad84df2641d32eda0887f9292b55644a8330,TRUE
6,notebooks/preparation/04_metric_derivation.qmd,_build/nathealth/notebooks/preparation/04_metric_derivation.html,6b7239ca32ecc6e75b993115f74fa2a42781ddded98ebf9ce94f2202777086d4,6b7239ca32ecc6e75b993115f74fa2a42781ddded98ebf9ce94f2202777086d4,TRUE,9dd7797e5c3924aae5348dad0d2f1abdb3d66a281503e3500f73d0f47124479e,d19bd8868108bb380d2ce9811d32b58d5fb18b716326fbc30b22096a0140a059,d19bd8868108bb380d2ce9811d32b58d5fb18b716326fbc30b22096a0140a059,TRUE
7,notebooks/preparation/05_model_input_acquisition.qmd,_build/nathealth/notebooks/preparation/05_model_input_acquisition.html,184c40b45f349dc7129a86a2e8a0cf57665df7f9a82a4183ea1128b09954ad1d,184c40b45f349dc7129a86a2e8a0cf57665df7f9a82a4183ea1128b09954ad1d,TRUE,53486a2922558b5cf1d550b942533408741d443bee50669da8be0a1bc07e5b91,5dd5114fe1f415ef1ccf2a81a326f5d7756f502329bf0527b88ff63b69b1af7e,5dd5114fe1f415ef1ccf2a81a326f5d7756f502329bf0527b88ff63b69b1af7e,TRUE
8,notebooks/preparation/06_model_ready_datasets.qmd,_build/nathealth/notebooks/preparation/06_model_ready_datasets.html,23b201c404f3b30918d49459ce54a3155a26b758ff10872bc0be4264bd386f87,23b201c404f3b30918d49459ce54a3155a26b758ff10872bc0be4264bd386f87,TRUE,7306d9d51e9a20da1e09ffd8a3147f7bdf1f8b6b3b1c80e0e23455ad43d96565,0c46d4fa41cd7f32b33ad2bc0e1d5016e7e6c8d33b150b09034a50fdfa0e6b7b,0c46d4fa41cd7f32b33ad2bc0e1d5016e7e6c8d33b150b09034a50fdfa0e6b7b,TRUE
9,notebooks/preparation/07_example_days.qmd,_build/nathealth/notebooks/preparation/07_example_days.html,e5b89c62b03af2e7989f76cb9578608b92420978393a7c857fd5edcc335dbcb1,e5b89c62b03af2e7989f76cb9578608b92420978393a7c857fd5edcc335dbcb1,TRUE,6ed53f8504f1de4db1b96e2cb1ea7babf06d0828e6ea43501eac93104c7b27b7,fc4bd5bfde614f73d223dafc2659d975e8b40e153f4f3cbc4150d28132f8e78d,fc4bd5bfde614f73d223dafc2659d975e8b40e153f4f3cbc4150d28132f8e78d,TRUE
10,notebooks/placement_decision.qmd,_build/nathealth/notebooks/placement_decision.html,b090bb87107f310662692db682118f339d7c404c09a45d9735af406d63a78498,b090bb87107f310662692db682118f339d7c404c09a45d9735af406d63a78498,TRUE,672ccfb77050e373e447c2e552131f95dd579bb6027e6a66979c79b7c4a3824c,550775eba93827409c5867211ef2867bbc4744f00cf54750fc917f20ad5fcb9b,550775eba93827409c5867211ef2867bbc4744f00cf54750fc917f20ad5fcb9b,TRUE
11,notebooks/descriptives.qmd,_build/nathealth/notebooks/descriptives.html,b631936d9e47c4988dd453ea22184090b076705e3716e8f037e1953e3309cd4c,b631936d9e47c4988dd453ea22184090b076705e3716e8f037e1953e3309cd4c,TRUE,51c674b3a416e3d5dda4c0f86c7e46818f8ae94fa052c0f060f5cd56821c4ffd,b8451d11fbabc889dff7f811c23df92f9d813975a0b8f00a9ec157b5128c3553,b8451d11fbabc889dff7f811c23df92f9d813975a0b8f00a9ec157b5128c3553,TRUE
12,notebooks/preregistration_deviations.qmd,_build/nathealth/notebooks/preregistration_deviations.html,b542018a0e127b280fc5a106928d8689307c420f2e62913f4047d5c4c292bc6d,b542018a0e127b280fc5a106928d8689307c420f2e62913f4047d5c4c292bc6d,TRUE,c033c1b8110e58375757e8ef8ac5c5d0dbf5f402a651454b247c1a622ded6880,2f97ce2e737e572819d309e96a7b63e4b985b60ed164a54de835a9624e677cb1,2f97ce2e737e572819d309e96a7b63e4b985b60ed164a54de835a9624e677cb1,TRUE
13,notebooks/hypotheses/H01.qmd,_build/nathealth/notebooks/hypotheses/H01.html,9448eacc1345a2b0bf73c988be588308d191e42d90c49d68c7f92db36ba83eeb,9448eacc1345a2b0bf73c988be588308d191e42d90c49d68c7f92db36ba83eeb,TRUE,df78ac3c2ed91515058b6af38e01b85b4baae74118699c008a29ba4dacf4d007,eab336d8cde80608968679d68cfc4ed67828c4f60969d51f90d3738b59e63839,eab336d8cde80608968679d68cfc4ed67828c4f60969d51f90d3738b59e63839,TRUE
14,audit/hypotheses/H01/H01_analysis_preparation.qmd,_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html,ed12b6232ef60905b648707240309e6574e627995d0436a19f671fdc033ecc5f,ed12b6232ef60905b648707240309e6574e627995d0436a19f671fdc033ecc5f,TRUE,5ab6587465f01f946fcf133f9f81a69168e08fa866f69830c2378e6c3cf250fe,52b24d00ed6e5a9251b813932969376e396b6ff89239de9ef413d1a3e9054578,52b24d00ed6e5a9251b813932969376e396b6ff89239de9ef413d1a3e9054578,TRUE
15,notebooks/hypotheses/H02.qmd,_build/nathealth/notebooks/hypotheses/H02.html,4f431eaba1fd449837186497dc988f95c30a9ece7ae83d57b2f0c377690f0f6d,4f431eaba1fd449837186497dc988f95c30a9ece7ae83d57b2f0c377690f0f6d,TRUE,736dc6311e53f2b70349326ce0845cc35d23e3b68c000a300833952e81190dd9,4298689a560cf3ceb693360533dec03c0f724c02022638b7cc8b075c8968f474,4298689a560cf3ceb693360533dec03c0f724c02022638b7cc8b075c8968f474,TRUE
16,audit/hypotheses/H02/H02_analysis_preparation.qmd,_build/nathealth/audit/hypotheses/H02/H02_analysis_preparation.html,92424e41a7f54d05b816ff79144850a27aabc8181aa705384b22f4c7cdc3b9a1,92424e41a7f54d05b816ff79144850a27aabc8181aa705384b22f4c7cdc3b9a1,TRUE,966f5556a637aece91ef2e2905dcfea8d0d0587ff8d4d61c47e89e9106bbc253,438cb5fe7505999f38ed9e17c424fb77bc3a380bc363ef1cb5b0e57a9c4402e6,438cb5fe7505999f38ed9e17c424fb77bc3a380bc363ef1cb5b0e57a9c4402e6,TRUE
17,notebooks/hypotheses/H03.qmd,_build/nathealth/notebooks/hypotheses/H03.html,45ea5a009efd3b451c392dfc23bef584c7b16e087bf4093780b051cfde42ae41,45ea5a009efd3b451c392dfc23bef584c7b16e087bf4093780b051cfde42ae41,TRUE,abe4be0b127c66b357eca66ab5e90609e0ac7902ca611c5f0e8a9adf410f2cc1,1ad80c1574ada455e978ce905a1e5bb4f53b0392bf5e4433cdeac41da85f7cac,1ad80c1574ada455e978ce905a1e5bb4f53b0392bf5e4433cdeac41da85f7cac,TRUE
18,audit/hypotheses/H03/H03_analysis_preparation.qmd,_build/nathealth/audit/hypotheses/H03/H03_analysis_preparation.html,59270288388e48ceef880ffa4a2ba0e87b8deeb9a8046b49510c4e525ff8c131,59270288388e48ceef880ffa4a2ba0e87b8deeb9a8046b49510c4e525ff8c131,TRUE,2583f765edc9ed9f01753ab452e5096fb0bf7ed68f22718fad3682450c1da91c,a95e89c6771b7b752b9968e0fa24b0d99f68e1d30853554ced33479ce4eb294e,a95e89c6771b7b752b9968e0fa24b0d99f68e1d30853554ced33479ce4eb294e,TRUE
