source_route,reference,target,inside_build,target_exists,fragment,fragment_resolves,resolved
index.html,site_libs/quarto-nav/quarto-nav.js,/private/tmp/nathealth-navigation-integration-6e1e958a273/candidate_build/site_libs/quarto-nav/quarto-nav.js,TRUE,TRUE,,TRUE,TRUE
index.html,site_libs/quarto-nav/headroom.min.js,/private/tmp/nathealth-navigation-integration-6e1e958a273/candidate_build/site_libs/quarto-nav/headroom.min.js,TRUE,TRUE,,TRUE,TRUE
index.html,site_libs/clipboard/clipboard.min.js,/private/tmp/nathealth-navigation-integration-6e1e958a273/candidate_build/site_libs/clipboard/clipboard.min.js,TRUE,TRUE,,TRUE,TRUE
index.html,site_libs/quarto-search/autocomplete.umd.js,/private/tmp/nathealth-navigation-integration-6e1e958a273/candidate_build/site_libs/quarto-search/autocomplete.umd.js,TRUE,TRUE,,TRUE,TRUE
index.html,site_libs/quarto-search/fuse.min.js,/private/tmp/nathealth-navigation-integration-6e1e958a273/candidate_build/site_libs/quarto-search/fuse.min.js,TRUE,TRUE,,TRUE,TRUE
index.html,site_libs/quarto-search/quarto-search.js,/private/tmp/nathealth-navigation-integration-6e1e958a273/candidate_build/site_libs/quarto-search/quarto-search.js,TRUE,TRUE,,TRUE,TRUE
index.html,./supplementary_information.html,/private/tmp/nathealth-navigation-integration-6e1e958a273/candidate_build/supplementary_information.html,TRUE,TRUE,,TRUE,TRUE
index.html,site_libs/quarto-html/quarto.js,/private/tmp/nathealth-navigation-integration-6e1e958a273/candidate_build/site_libs/quarto-html/quarto.js,TRUE,TRUE,,TRUE,TRUE
index.html,site_libs/quarto-html/tabsets/tabsets.js,/private/tmp/nathealth-navigation-integration-6e1e958a273/candidate_build/site_libs/quarto-html/tabsets/tabsets.js,TRUE,TRUE,,TRUE,TRUE
index.html,site_libs/quarto-html/popper.min.js,/private/tmp/nathealth-navigation-integration-6e1e958a273/candidate_build/site_libs/quarto-html/popper.min.js,TRUE,TRUE,,TRUE,TRUE
index.html,site_libs/quarto-html/tippy.umd.min.js,/private/tmp/nathealth-navigation-integration-6e1e958a273/candidate_build/site_libs/quarto-html/tippy.umd.min.js,TRUE,TRUE,,TRUE,TRUE
index.html,site_libs/quarto-html/anchor.min.js,/private/tmp/nathealth-navigation-integration-6e1e958a273/candidate_build/site_libs/quarto-html/anchor.min.js,TRUE,TRUE,,TRUE,TRUE
index.html,site_libs/quarto-html/tippy.css,/private/tmp/nathealth-navigation-integration-6e1e958a273/candidate_build/site_libs/quarto-html/tippy.css,TRUE,TRUE,,TRUE,TRUE
index.html,site_libs/quarto-html/quarto-syntax-highlighting-7f8f88aac4f3542376d5c11b86a4c14d.css,/private/tmp/nathealth-navigation-integration-6e1e958a273/candidate_build/site_libs/quarto-html/quarto-syntax-highlighting-7f8f88aac4f3542376d5c11b86a4c14d.css,TRUE,TRUE,,TRUE,TRUE
index.html,site_libs/bootstrap/bootstrap.min.js,/private/tmp/nathealth-navigation-integration-6e1e958a273/candidate_build/site_libs/bootstrap/bootstrap.min.js,TRUE,TRUE,,TRUE,TRUE
index.html,site_libs/bootstrap/bootstrap-icons.css,/private/tmp/nathealth-navigation-integration-6e1e958a273/candidate_build/site_libs/bootstrap/bootstrap-icons.css,TRUE,TRUE,,TRUE,TRUE
index.html,site_libs/bootstrap/bootstrap-972c31c23100bce3c5dc8576c7cea842.min.css,/private/tmp/nathealth-navigation-integration-6e1e958a273/candidate_build/site_libs/bootstrap/bootstrap-972c31c23100bce3c5dc8576c7cea842.min.css,TRUE,TRUE,,TRUE,TRUE
index.html,site_libs/quarto-contrib/glightbox/glightbox.min.js,/private/tmp/nathealth-navigation-integration-6e1e958a273/candidate_build/site_libs/quarto-contrib/glightbox/glightbox.min.js,TRUE,TRUE,,TRUE,TRUE
index.html,site_libs/quarto-contrib/glightbox/glightbox.min.css,/private/tmp/nathealth-navigation-integration-6e1e958a273/candidate_build/site_libs/quarto-contrib/glightbox/glightbox.min.css,TRUE,TRUE,,TRUE,TRUE
index.html,site_libs/quarto-contrib/glightbox/lightbox.css,/private/tmp/nathealth-navigation-integration-6e1e958a273/candidate_build/site_libs/quarto-contrib/glightbox/lightbox.css,TRUE,TRUE,,TRUE,TRUE
index.html,styles.css,/private/tmp/nathealth-navigation-integration-6e1e958a273/candidate_build/styles.css,TRUE,TRUE,,TRUE,TRUE
index.html,styles-nathealth.css,/private/tmp/nathealth-navigation-integration-6e1e958a273/candidate_build/styles-nathealth.css,TRUE,TRUE,,TRUE,TRUE
index.html,./index.html,/private/tmp/nathealth-navigation-integration-6e1e958a273/candidate_build/index.html,TRUE,TRUE,,TRUE,TRUE
index.html,./index.html,/private/tmp/nathealth-navigation-integration-6e1e958a273/candidate_build/index.html,TRUE,TRUE,,TRUE,TRUE
index.html,#,/private/tmp/nathealth-navigation-integration-6e1e958a273/candidate_build/index.html,TRUE,TRUE,,TRUE,TRUE
index.html,./notebooks/preparation/01_import_state_alignment.html,/private/tmp/nathealth-navigation-integration-6e1e958a273/candidate_build/notebooks/preparation/01_import_state_alignment.html,TRUE,TRUE,,TRUE,TRUE
index.html,./notebooks/preparation/02_coverage_sample_flow.html,/private/tmp/nathealth-navigation-integration-6e1e958a273/candidate_build/notebooks/preparation/02_coverage_sample_flow.html,TRUE,TRUE,,TRUE,TRUE
index.html,./notebooks/preparation/03_reference_profiles.html,/private/tmp/nathealth-navigation-integration-6e1e958a273/candidate_build/notebooks/preparation/03_reference_profiles.html,TRUE,TRUE,,TRUE,TRUE
index.html,./notebooks/preparation/04_metric_derivation.html,/private/tmp/nathealth-navigation-integration-6e1e958a273/candidate_build/notebooks/preparation/04_metric_derivation.html,TRUE,TRUE,,TRUE,TRUE
index.html,./notebooks/preparation/05_model_input_acquisition.html,/private/tmp/nathealth-navigation-integration-6e1e958a273/candidate_build/notebooks/preparation/05_model_input_acquisition.html,TRUE,TRUE,,TRUE,TRUE
index.html,./notebooks/preparation/06_model_ready_datasets.html,/private/tmp/nathealth-navigation-integration-6e1e958a273/candidate_build/notebooks/preparation/06_model_ready_datasets.html,TRUE,TRUE,,TRUE,TRUE
index.html,./notebooks/preparation/07_example_days.html,/private/tmp/nathealth-navigation-integration-6e1e958a273/candidate_build/notebooks/preparation/07_example_days.html,TRUE,TRUE,,TRUE,TRUE
index.html,./notebooks/placement_decision.html,/private/tmp/nathealth-navigation-integration-6e1e958a273/candidate_build/notebooks/placement_decision.html,TRUE,TRUE,,TRUE,TRUE
index.html,./notebooks/descriptives.html,/private/tmp/nathealth-navigation-integration-6e1e958a273/candidate_build/notebooks/descriptives.html,TRUE,TRUE,,TRUE,TRUE
index.html,./notebooks/preregistration_deviations.html,/private/tmp/nathealth-navigation-integration-6e1e958a273/candidate_build/notebooks/preregistration_deviations.html,TRUE,TRUE,,TRUE,TRUE
index.html,#,/private/tmp/nathealth-navigation-integration-6e1e958a273/candidate_build/index.html,TRUE,TRUE,,TRUE,TRUE
index.html,./notebooks/hypotheses/H01.html,/private/tmp/nathealth-navigation-integration-6e1e958a273/candidate_build/notebooks/hypotheses/H01.html,TRUE,TRUE,,TRUE,TRUE
index.html,./audit/hypotheses/H01/H01_analysis_preparation.html,/private/tmp/nathealth-navigation-integration-6e1e958a273/candidate_build/audit/hypotheses/H01/H01_analysis_preparation.html,TRUE,TRUE,,TRUE,TRUE
index.html,./notebooks/hypotheses/H02.html,/private/tmp/nathealth-navigation-integration-6e1e958a273/candidate_build/notebooks/hypotheses/H02.html,TRUE,TRUE,,TRUE,TRUE
