logical_order,route,accepted_sha256,candidate_sha256,layout_class_affected,main_right_before,main_layout_replacements,main_left_after,title_meta_right_before,title_meta_layout_replacements,title_meta_left_after,protected_main_sha256,page_navigation_sha256
1,index.html,d4c795294e45b1c7badc9cb69c3b4162f30348449c22517eecb2ab802e4c1871,200bdbbf148542dbef34434e02aec515035f34f8148472e076dd09bfc44753a3,FALSE,0,0,0,0,0,0,e449853729fd9514074a74f105705bebf702245f9e7eeb0eedadc1e373c2cde7,43d71adeea699721b3c3d0b246c58ab2ee94190befac0b3d2a62ebf3f05c1677
2,supplementary_information.html,a0b5d097b12ee4a7cbfbcd5cb4740f1eac81bf1c9dba1e4e00a9d5644bfec4eb,77b421098310328c22838c6a357b4868d36c61fefabe286f4a3ae9c9228992b9,TRUE,1,1,1,1,1,1,6cd104a3e84e0679d5f77beb6fb08490cb61cf68c0bfb0d5ff74c168db52b9ae,9985113835fd763f9f2a0dc053457f64f551564c181a4ea1abd509baa06e9696
3,notebooks/preparation/01_import_state_alignment.html,6a312ee826c0a4944bf2d9e5c3d0d3ea09521a6e1ae26c84ac30f0493973907e,eea99c7724f254c69a2300e5d9c4336d96fa0c6c5883370f93677006ffe41800,TRUE,1,1,1,1,1,1,ae0296f7344896875718f4de46f39242483fa6290f32576b19d38eb8677d026e,4d6b497890f9a6db446047e15ed8a3f8e17ea8c9b70db33fb5f92de06ebe9ec5
4,notebooks/preparation/02_coverage_sample_flow.html,0eeb0114db9161d5bc69b9a0186bd629b302d5fec2e08dcf35e78d049f20886d,a702718dde2d186fa49d35cf9e8787a08d422c7039198485b4d3f0961859a4d2,TRUE,1,1,1,1,1,1,d25ab86b7f391a5b59ade386498579724c16fd8103363249b00974b7b5eedf31,77f667f4182ff28d110d17475234f2860556e5051a6ebb3c7b1b9193808235f3
5,notebooks/preparation/03_reference_profiles.html,43d8260933342e9cc511fed115672e5fd1065b76a6a5c6fcf136964f2735f77d,ae17ebacb3a2a2fd8d15eae99c90ad84df2641d32eda0887f9292b55644a8330,TRUE,1,1,1,1,1,1,a3b2702cdd99cd2b0851b734203f28a4ab266ba8533ef56d8966653db7b90231,76dc7cabaf60664f8a24a61336e5473b27a1ab45b13e2487474324732f770300
6,notebooks/preparation/04_metric_derivation.html,9dd7797e5c3924aae5348dad0d2f1abdb3d66a281503e3500f73d0f47124479e,d19bd8868108bb380d2ce9811d32b58d5fb18b716326fbc30b22096a0140a059,TRUE,1,1,1,1,1,1,01e9360472c0b0f70684869809786bbb9c3ec0bb09580d526eea7d8c461aa8ce,2e6ac22058e5ae0c9d7d39bfc41c4a6354db97c21e10ac52dc1102ddf3c5fdd2
7,notebooks/preparation/05_model_input_acquisition.html,53486a2922558b5cf1d550b942533408741d443bee50669da8be0a1bc07e5b91,5dd5114fe1f415ef1ccf2a81a326f5d7756f502329bf0527b88ff63b69b1af7e,TRUE,1,1,1,1,1,1,4101868f8dbd6c01acc82ef85f0360a7b3acb219925d5d1d3e2e130f91d08d65,e5c836e92f5370432ec29e46bf0499712d8a3e95769636e71687d47bec1df209
8,notebooks/preparation/06_model_ready_datasets.html,7306d9d51e9a20da1e09ffd8a3147f7bdf1f8b6b3b1c80e0e23455ad43d96565,0c46d4fa41cd7f32b33ad2bc0e1d5016e7e6c8d33b150b09034a50fdfa0e6b7b,TRUE,1,1,1,1,1,1,4517e3356d2c6269f4e7821a5fe9182f3716cabcc91df108bbe628671bf7b3c3,1eb6ce93a32c47eec85a0e334e2f4128a8d0b50e92e002aed79ced31c485772a
9,notebooks/preparation/07_example_days.html,6ed53f8504f1de4db1b96e2cb1ea7babf06d0828e6ea43501eac93104c7b27b7,fc4bd5bfde614f73d223dafc2659d975e8b40e153f4f3cbc4150d28132f8e78d,TRUE,1,1,1,1,1,1,3d0918819ab2788d67ec4e52ef2559c52eb8b01c5846e91640be328f1a09d21c,02e3aca52146274c959451a4f97ca903158da1b57e54712817e435ee70a1155b
10,notebooks/placement_decision.html,672ccfb77050e373e447c2e552131f95dd579bb6027e6a66979c79b7c4a3824c,550775eba93827409c5867211ef2867bbc4744f00cf54750fc917f20ad5fcb9b,TRUE,1,1,1,1,1,1,022760769c5bbe220320fe1500ac8cc7f1cbff56601d0a18fd88f13f7c6eaf4e,b5400dd5683e44a7d378db84707c7b9e5bb88b75b4947663fbcec757ddd68d32
11,notebooks/descriptives.html,51c674b3a416e3d5dda4c0f86c7e46818f8ae94fa052c0f060f5cd56821c4ffd,b8451d11fbabc889dff7f811c23df92f9d813975a0b8f00a9ec157b5128c3553,TRUE,1,1,1,1,1,1,1f709ef0ee048b2a5e3261ebde481f6c893a863054eb6eff02434275abd11905,09cb1eecc86cdfae861523476250c2574cc2c239d2607095b4f02734b9deed6b
12,notebooks/preregistration_deviations.html,c033c1b8110e58375757e8ef8ac5c5d0dbf5f402a651454b247c1a622ded6880,2f97ce2e737e572819d309e96a7b63e4b985b60ed164a54de835a9624e677cb1,TRUE,1,1,1,1,1,1,0eeee141fc1574c165aff15daa38be1920ca9a7f9624986601ca2819f9855e58,2bdcf2b00ac4d4bd97a138f7788e99a8b956ae267498d95529ee3b2ea952c13f
