check_id,pass,detail
accepted_build_still_sealed,TRUE,members=1180 unchanged=TRUE
bounded_build_delta,TRUE,members=1183 added=3 changed=37 removed=0 symlinks=0
exact_shared_assets,TRUE,exact=3/3
exact_layout_class_transform,TRUE,affected_paths=34 main_replacements=34 title_meta_replacements=34
all_route_dom_and_scientific_content,TRUE,routes=37 tables=572 figures=160 anchors=86
navbar_contract,TRUE,routes=37 H01-H11_pairs=11/11 H06_daily_pair=1/1
all_local_links_and_resources,TRUE,references=46385 unresolved=0 outside=0
preserved_shared_reader_files,TRUE,search.json=exact sitemap.xml=exact robots.txt=exact
candidate_browser_all_routes,TRUE,rows=74 routes=37 widths=390/1440
candidate_browser_manual_matrix,TRUE,rows=15 route_classes=5 widths=390/708/1440
candidate_secure_loopback,TRUE,candidate_only=TRUE symlinks=0 server_stopped=TRUE listener_cleared=TRUE
