run_id,placement,metric_order,metric_id,metric,analysis_unit,participants,participant_days,observations,support_hours,sites,status
main__glasses__all_available,Near eye,1,interdaily_stability,Interdaily stability,Participant,141,816,141,18851,9,FITTED
main__chest__all_available,Chest,1,interdaily_stability,Interdaily stability,Participant,153,900,153,20845.366666666665,8,FITTED
main__glasses__all_available,Near eye,2,intradaily_variability,Intradaily variability,Participant,141,816,141,18851,9,FITTED
main__chest__all_available,Chest,2,intradaily_variability,Intradaily variability,Participant,153,900,153,20845.366666666665,8,FITTED
main__glasses__all_available,Near eye,3,daily_geometric_mean_medi,Mean melEDI,Participant-day,141,816,816,18851,9,FITTED
main__chest__all_available,Chest,3,daily_geometric_mean_medi,Mean melEDI,Participant-day,154,902,902,20891.75,8,FITTED
main__glasses__all_available,Near eye,4,m10_mean_medi,Brightest 10 h mean,Participant-day,141,816,816,NA,9,FITTED
main__chest__all_available,Chest,4,m10_mean_medi,Brightest 10 h mean,Participant-day,154,902,902,NA,8,FITTED
main__glasses__all_available,Near eye,5,l10_mean_medi,Darkest 10 h mean,Participant-day,141,816,816,NA,9,FITTED
main__chest__all_available,Chest,5,l10_mean_medi,Darkest 10 h mean,Participant-day,154,902,902,NA,8,FITTED
main__glasses__all_available,Near eye,6,duration_above_1000,"Time above 1,000 lx melEDI",Participant-day,141,816,816,18851,9,FITTED
main__chest__all_available,Chest,6,duration_above_1000,"Time above 1,000 lx melEDI",Participant-day,154,902,902,20891.75,8,FITTED
main__glasses__all_available,Near eye,7,duration_above_250_wake,Time above 250 lx melEDI during wake,Participant-day,141,737,737,9174.283333333333,9,FITTED
main__chest__all_available,Chest,7,duration_above_250_wake,Time above 250 lx melEDI during wake,Participant-day,154,818,818,10297.716666666667,8,FITTED
main__glasses__all_available,Near eye,8,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,Participant-day,139,655,655,1925.5333333333333,9,FITTED
main__chest__all_available,Chest,8,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,Participant-day,153,743,743,2180.1,8,FITTED
main__glasses__all_available,Near eye,9,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,Participant-day,141,778,778,6282.516666666666,9,FITTED
main__chest__all_available,Chest,9,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,Participant-day,154,861,861,6871.416666666667,8,FITTED
main__glasses__all_available,Near eye,10,longest_bout_above_250,Longest continuous period above 250 lx melEDI,Participant-day,141,816,816,18851,9,FITTED
main__chest__all_available,Chest,10,longest_bout_above_250,Longest continuous period above 250 lx melEDI,Participant-day,154,902,902,20891.75,8,FITTED
main__glasses__all_available,Near eye,11,m10_midpoint,Midpoint of the brightest 10 hours,Participant-day,141,816,816,NA,9,FITTED
main__chest__all_available,Chest,11,m10_midpoint,Midpoint of the brightest 10 hours,Participant-day,154,902,902,NA,8,FITTED
main__glasses__all_available,Near eye,12,l10_midpoint,Midpoint of the darkest 10 hours,Participant-day,141,816,816,NA,9,FITTED
main__chest__all_available,Chest,12,l10_midpoint,Midpoint of the darkest 10 hours,Participant-day,154,902,902,NA,8,FITTED
main__glasses__all_available,Near eye,13,mean_timing_above_250,Mean timing of exposure above 250 lx melEDI,Participant-day,141,742,742,17209.633333333335,9,FITTED
main__chest__all_available,Chest,13,mean_timing_above_250,Mean timing of exposure above 250 lx melEDI,Participant-day,154,831,831,19336.133333333335,8,FITTED
main__glasses__all_available,Near eye,14,first_timing_above_250,First light timing above 250 lx melEDI,Participant-day,140,727,727,16832.5,9,FITTED
main__chest__all_available,Chest,14,first_timing_above_250,First light timing above 250 lx melEDI,Participant-day,154,802,802,18634.65,8,FITTED
main__glasses__all_available,Near eye,15,last_timing_above_250,Last light timing above 250 lx melEDI,Participant-day,141,687,687,15995.05,9,FITTED
main__chest__all_available,Chest,15,last_timing_above_250,Last light timing above 250 lx melEDI,Participant-day,154,787,787,18358.116666666665,8,FITTED
main__glasses__all_available,Near eye,16,dose_time_sensitive_corrected_medi,melEDI dose,Participant-day,141,761,761,17678.816666666666,9,FITTED
main__chest__all_available,Chest,16,dose_time_sensitive_corrected_medi,melEDI dose,Participant-day,154,851,851,19814.9,8,FITTED
main__glasses__all_available,Near eye,17,mder_ratio_of_integrals,Melanopic daylight efficacy ratio,Participant-day,141,760,760,17656.566666666666,9,FITTED
main__chest__all_available,Chest,17,mder_ratio_of_integrals,Melanopic daylight efficacy ratio,Participant-day,154,850,850,19793.283333333333,8,FITTED
