panel_display_name,source_site,time_hour,estimate_melEDI_lx,pointwise_lower_melEDI_lx,pointwise_upper_melEDI_lx
Borås (SE),BAUA,0.25,0.08748888449399417,0,0.4076109104592457
Borås (SE),BAUA,0.75,0.05265674469755749,0,0.2717874915051164
Borås (SE),BAUA,1.25,0.03337126207477489,0,0.19609044457327748
Borås (SE),BAUA,1.75,0.02018972125830971,0,0.14626250759498063
Borås (SE),BAUA,2.25,0.00840335970822463,0,0.10636478327491342
Borås (SE),BAUA,2.75,0,0,0.07471449558128057
Borås (SE),BAUA,3.25,0,0,0.055333394094721766
Borås (SE),BAUA,3.75,0,0,0.050640619796473885
Borås (SE),BAUA,4.25,0.00342516746893671,0,0.06279519040648165
Borås (SE),BAUA,4.75,0.02751893386935169,0,0.09750483978919738
Borås (SE),BAUA,5.25,0.07569255580577353,0.013932996533021297,0.1709300650810003
Borås (SE),BAUA,5.75,0.17054417754176812,0.0736880898403808,0.32141146274921395
Borås (SE),BAUA,6.25,0.36781982357664855,0.19434596309467014,0.6435311326518733
Borås (SE),BAUA,6.75,0.8206565153746926,0.4662641756116268,1.3968427384380488
Borås (SE),BAUA,7.25,1.894722543174036,1.0983152524876694,3.22042675413383
Borås (SE),BAUA,7.75,4.3664681936120155,2.5129086669572964,7.534915975757609
Borås (SE),BAUA,8.25,9.653099085567606,5.445466972231849,17.053278930199113
Borås (SE),BAUA,8.75,19.399764225014813,10.70321313950401,35.09701036358752
Borås (SE),BAUA,9.25,34.11024125402412,18.458543371635272,62.962094002877
Borås (SE),BAUA,9.75,53.71214419074826,28.559631844684755,100.93922053496064
Borås (SE),BAUA,10.25,77.1907893977462,40.359133812357626,147.5518541754378
Borås (SE),BAUA,10.75,102.4729631910064,52.840905243499286,198.6350372909512
Borås (SE),BAUA,11.25,127.3764485440603,65.16996331145252,248.86972679246355
Borås (SE),BAUA,11.75,148.56985778829673,75.80534458336032,291.0880149693393
Borås (SE),BAUA,12.25,163.3381511225199,83.31608435411039,320.1263622079426
Borås (SE),BAUA,12.75,172.12308233620735,87.9915000147563,336.6043367908999
Borås (SE),BAUA,13.25,177.69739682523235,91.51742772773878,344.94258744057794
Borås (SE),BAUA,13.75,183.12053160736028,95.58884450055209,350.7221191059531
Borås (SE),BAUA,14.25,190.1776896692159,100.91814207388889,358.3069004097517
