run_id,response,linear_predictor,fitted_value,pearson_residual,ar_standardized_residual,site,participant,participant_day,time_hour,ar_start
main__glasses__all_available,-1,-0.9237204645076768,-0.9237204645076768,-0.07627953549232325,-0.07627953549232325,BAUA,BAUA::BAUA_S001,BAUA::BAUA_S001::2025-06-11,0.25,TRUE
main__glasses__all_available,-1,-0.9611168396036053,-0.9611168396036053,-0.03888316039639472,0.011010960794991455,BAUA,BAUA::BAUA_S001,BAUA::BAUA_S001::2025-06-11,0.75,FALSE
main__glasses__all_available,-1,-0.9750896943669561,-0.9750896943669561,-0.02491030563304386,-8.920183345354169e-4,BAUA,BAUA::BAUA_S001,BAUA::BAUA_S001::2025-06-11,1.25,FALSE
main__glasses__all_available,-1,-0.9779442586903423,-0.9779442586903423,-0.022055741309657706,-0.008363606595438505,BAUA,BAUA::BAUA_S001,BAUA::BAUA_S001::2025-06-11,1.75,FALSE
main__glasses__all_available,-1,-0.9723980551303285,-0.9723980551303285,-0.02760194486967149,-0.017723418466913745,BAUA,BAUA::BAUA_S001,BAUA::BAUA_S001::2025-06-11,2.25,FALSE
main__glasses__all_available,-1,-0.9459476013761264,-0.9459476013761264,-0.054052398623873565,-0.047113695127387126,BAUA,BAUA::BAUA_S001,BAUA::BAUA_S001::2025-06-11,2.75,FALSE
main__glasses__all_available,-1,-0.8757586492301629,-0.8757586492301629,-0.12424135076983711,-0.11576647593695041,BAUA,BAUA::BAUA_S001,BAUA::BAUA_S001::2025-06-11,3.25,FALSE
main__glasses__all_available,-1,-0.7409119343496463,-0.7409119343496463,-0.2590880656503537,-0.23224508595272014,BAUA,BAUA::BAUA_S001,BAUA::BAUA_S001::2025-06-11,3.75,FALSE
main__glasses__all_available,-1,-0.5321452177458118,-0.5321452177458118,-0.4678547822541882,-0.39173899291999253,BAUA,BAUA::BAUA_S001,BAUA::BAUA_S001::2025-06-11,4.25,FALSE
main__glasses__all_available,-1,-0.25479958257316404,-0.25479958257316404,-0.745200417426836,-0.5800512309263102,BAUA,BAUA::BAUA_S001,BAUA::BAUA_S001::2025-06-11,4.75,FALSE
main__glasses__all_available,0.03039730085676186,0.07793899734779482,0.07793899734779482,-0.04754169649103296,0.5322800994782777,BAUA,BAUA::BAUA_S001,BAUA::BAUA_S001::2025-06-11,5.25,FALSE
main__glasses__all_available,0.7741599757741385,0.44522022184325594,0.44522022184325594,0.3289397539308826,0.45822331691285384,BAUA,BAUA::BAUA_S001,BAUA::BAUA_S001::2025-06-11,5.75,FALSE
main__glasses__all_available,1.3271567842934342,0.8283603558634222,0.8283603558634222,0.49879642843001204,0.37569403226787335,BAUA,BAUA::BAUA_S001,BAUA::BAUA_S001::2025-06-11,6.25,FALSE
main__glasses__all_available,1.9177263058433474,1.219432910392419,1.219432910392419,0.6982933954509283,0.49547975951485884,BAUA,BAUA::BAUA_S001,BAUA::BAUA_S001::2025-06-11,6.75,FALSE
main__glasses__all_available,2.3272104946604726,1.596366196071632,1.596366196071632,0.7308442985888406,0.3783182600563411,BAUA,BAUA::BAUA_S001,BAUA::BAUA_S001::2025-06-11,7.25,FALSE
main__glasses__all_available,2.7792239187638095,1.9327241236420578,1.9327241236420578,0.8464997951217517,0.5002230425407659,BAUA,BAUA::BAUA_S001,BAUA::BAUA_S001::2025-06-11,7.75,FALSE
main__glasses__all_available,2.514494034356397,2.213937530158121,2.213937530158121,0.30055650419827584,-0.2895392292198636,BAUA,BAUA::BAUA_S001,BAUA::BAUA_S001::2025-06-11,8.25,FALSE
main__glasses__all_available,2.529514264799331,2.4270680772407807,2.4270680772407807,0.1024461875585505,-0.10825878787699833,BAUA,BAUA::BAUA_S001,BAUA::BAUA_S001::2025-06-11,8.75,FALSE
main__glasses__all_available,2.245431504190896,2.569311091724007,2.569311091724007,-0.32387958753311086,-0.4954499806067606,BAUA,BAUA::BAUA_S001,BAUA::BAUA_S001::2025-06-11,9.25,FALSE
main__glasses__all_available,2.3014223723149345,2.667484261248218,2.667484261248218,-0.3660618889332836,-0.21008457926628818,BAUA,BAUA::BAUA_S001,BAUA::BAUA_S001::2025-06-11,9.75,FALSE
